Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lbgm50 308 1,lbgm50 308 2,lbgm50 308 3,lbgm50 308 4,lbgm50 308 5,lbgm50 308 6,lbgm50 311 1,lbgm50 311 2,lbgm50 311 3,lbgm50 311 4,lbgm50 311 5,lbgm50 311 6,tcm 308 1,tcm 308 2,tcm 308 3,tcm 308 4,tcm 308 5,tcm 308 6,tcm 311 1,tcm 311 2,tcm 311 3,tcm 311 4,tcm 311 5,tcm 311 6,tcmgm50 308 1,tcmgm50 308 2,tcmgm50 308 3,tcmgm50 308 4,tcmgm50 308 5,tcmgm50 308 6,tcmgm50 311 1,tcmgm50 311 2,tcmgm50 311 3,tcmgm50 311 4,tcmgm50 311 5,tcmgm50 311 6,empty,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,empty,empty,empty,empty,empty,empty,empty,lbgm50 309 2,lbgm50 309 3,lbgm50 309 4,lbgm50 309 5,lbgm50 309 6,empty,empty,empty,empty,empty,empty,empty,tcm 309 2,tcm 309 3,tcm 309 4,tcm 309 5,tcm 309 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,tcmgm50 309 2,tcmgm50 309 3,tcmgm50 309 4,tcmgm50 309 5,tcmgm50 309 6,tcm blank 1,tcm blank 2,tcm blank 3,tcm blank 4,tcm blank 5,tcm blank 6
0,75034,68775,73004,75144,72510,72256,80138,78688,78470,75181,74292,68202,95787,95857,99480,98254,99459,95987,105428,105954,105520,105280,98502,95598,39566,37605,40945,39471,37338,37572,47073,46579,41808,51587,49400,37183,42268,37774,41918,40547,36797,37802,46029,47673,43326,45746,44871,38189,43173,74600,74729,75165,72295,72622,2527,2482,2411,2478,2467,2378,57278,97401,98295,98569,101571,96446,2605,2548,2542,2522,2388,2346,24593,36667,39410,41296,37815,37870,72276,74415,74709,74877,70977,70974,29440,38459,42633,40430,39101,38034,38656,37898,38607,37571,35372,35801
0.5,70124,65463,68079,68922,69313,69059,80802,79626,77301,81952,69973,67588,89129,88782,92411,90774,92953,89051,104224,105584,100533,104016,96602,92442,36011,35536,37987,36103,35399,34029,57117,51439,43441,49064,45883,36377,36923,34617,37320,35940,34560,35408,50213,53768,45858,52058,49675,37329,39552,69851,70796,69975,67783,68147,2297,2258,2343,2243,2283,2330,53383,90539,91609,91031,96238,91103,2358,2344,2295,2294,2303,2262,21021,32733,35624,37820,34255,34742,69600,70996,72253,72180,68467,68366,25659,34131,38349,36067,35677,34329,35256,34914,35361,33697,31534,32327
1,71000,66987,68731,71068,70302,70020,83578,83114,80763,83756,73612,69801,90313,88875,93386,92501,94171,89363,105741,108176,102103,107121,99602,94430,35685,36482,37908,36402,34675,34252,59773,54456,46187,52331,48271,39009,36477,35389,37520,35833,34396,35042,54168,56906,48923,55528,52358,41036,39701,71571,71650,71595,69182,69105,2327,2296,2192,2234,2258,2210,53564,91634,92212,92142,96075,91584,2424,2406,2289,2276,2269,2248,21240,32432,35149,37853,34243,34032,68752,71200,71642,71175,68133,67067,25230,33540,39298,36056,34770,33301,33742,33508,33240,31797,29537,30152
1.5,71994,67558,69828,72220,71691,71636,89744,88053,84482,88893,77932,72057,91224,89975,92587,93296,94227,89800,112848,113227,114510,115193,101679,95987,35834,37224,38247,36410,34898,34499,61213,54727,46215,52642,48476,39646,36750,35295,37207,35491,34194,35146,54673,59194,48972,54714,52134,42577,40782,71745,72429,72764,70457,70538,2278,2203,2268,2234,2256,2245,53707,92592,92628,91828,96064,91784,2312,2286,2326,2245,2247,2114,21158,32005,34705,38965,33782,33448,69321,71304,71831,71596,67375,67424,25130,33257,39225,36279,35017,32980,32065,32133,32071,31243,28681,29129
2,74865,70777,71634,73977,73449,74348,97507,97288,89399,95693,84321,79206,92148,90874,94466,93175,93151,89093,121620,122210,109206,119634,108643,100152,37094,36934,38384,36285,35329,34600,60804,58284,47488,52865,49502,40331,36937,35166,37172,35509,34180,35610,54403,57315,49051,53221,52433,42656,41952,75651,74138,75625,74092,70418,2124,2277,2237,2131,2195,2119,56011,93314,94392,94826,98340,91736,2310,2165,2416,2197,2212,2214,20213,31353,34598,38021,33016,33171,68675,70395,71541,71088,67371,66749,25285,32708,40069,36301,34523,32535,31526,31580,31288,30181,28036,28120
2.5,80474,81065,76210,77988,78562,77682,106826,105740,97080,103712,92108,90271,98116,97600,99175,97859,100734,93877,127297,127370,112209,122214,110906,103455,37973,37043,39678,37070,35608,34243,63311,55989,50482,53831,49631,41585,36672,36133,37376,35890,34690,36101,55349,63599,50762,55969,55142,45294,45184,79711,78257,82107,79745,75573,2272,2277,2179,2192,2235,2159,59142,98408,99804,99790,104761,94282,2300,2316,2175,2229,2165,2212,20666,31480,33950,42243,33144,33291,69100,70726,70990,70884,67523,66447,25928,33267,42644,35347,35805,32948,31558,31503,31170,30250,28280,28073
3,91068,103128,85705,86993,88178,85268,115298,115204,107498,112561,103980,101532,109939,111565,109575,109269,109861,105265,137992,136152,121964,135425,123477,120708,36886,38251,41659,37492,36307,34869,63598,57211,49687,54472,51344,42285,37702,35614,38296,36689,35211,36121,55136,61058,51031,56401,54646,43906,51141,91017,85909,94694,90613,83474,2222,2254,2244,2213,2215,2140,66869,108842,112296,114039,115735,101788,2314,2231,2175,2213,2248,2137,20740,31840,34797,39145,33318,33470,68513,70702,71400,70689,67949,66478,25746,33396,42072,35511,35037,32582,31426,31048,30879,29725,27574,28089
3.5,106690,101864,100482,105172,114448,109224,135802,135627,126133,131726,124481,121727,126062,123938,126820,126371,123025,119145,165860,165307,150507,160728,148609,144963,37069,38593,41237,37130,36101,35686,64055,55350,49071,54081,49616,43520,37766,36139,38326,36373,35453,36771,56223,66408,51761,58503,56513,45692,61029,107991,98688,110934,104130,95955,2199,2187,2237,2122,2199,2041,76469,127316,129861,128426,128517,117214,2263,2267,2226,2171,2281,2163,20805,31286,34731,41654,33300,33918,68821,71131,71143,70291,67209,65952,25921,33307,43031,36021,35057,32782,31287,31336,31205,29733,27861,27687
4,119786,114940,112316,113963,115807,115669,168206,166491,155602,160404,153535,153180,140349,133796,139842,138937,135241,134354,190094,191537,177777,186591,181220,175962,37079,38517,44323,38089,36536,35769,68826,56668,49522,53861,50112,44549,37805,36458,38436,37187,35968,36660,56177,64948,51054,56774,56577,45458,68158,120983,115019,121947,115792,111050,2106,2149,2217,2176,2310,2173,82471,141744,142170,141451,139936,132485,2197,2202,2191,2209,2321,2226,20938,31806,34796,42000,34182,33608,68724,70387,70635,70796,67372,65614,25903,32977,45497,35788,35187,32798,31138,31138,30796,29823,27903,27954
4.5,128235,128004,124472,127704,132216,127332,207050,206523,189185,196997,185888,181684,146861,142152,150316,149102,146492,142107,225137,229063,209697,213531,200669,203774,39400,39360,40223,37604,36337,35451,70104,56280,49815,54671,50157,45894,38448,36257,38097,37031,35815,37138,56367,63786,53308,55464,55752,45158,78404,132175,126931,132561,125907,123877,2261,2200,2265,2175,2120,2195,91127,153408,152838,150690,150086,145011,2327,2203,2228,2258,2203,2140,20965,31615,34644,39495,33311,33599,68204,69961,70741,70654,66708,65137,25890,33238,43512,35837,35746,32184,31377,31014,30664,30053,27690,27309
