"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"pag03010","pag03010","Ribosome - Pseudomonas aeruginosa LESB58","26/204","66/2004",1.52051933088987e-10,1.06436353162291e-08,9.60327998456762e-09,"PLES_53211/PLES_51261/PLES_48121/PLES_23421/PLES_12351/PLES_06871/PLES_06861/PLES_06831/PLES_06821/PLES_06811/PLES_06801/PLES_06791/PLES_06781/PLES_06771/PLES_06761/PLES_06751/PLES_06741/PLES_06731/PLES_06721/PLES_06711/PLES_06701/PLES_06611/PLES_06601/PLES_06561/PLES_06551/PLES_06541",26
"pag00405","pag00405","Phenazine biosynthesis - Pseudomonas aeruginosa LESB58","11/204","24/2004",7.09813252314598e-06,0.000229077821501678,0.000206686756242115,"PLES_34251/PLES_34241/PLES_34221/PLES_34211/PLES_34201/PLES_34191/PLES_07161/PLES_07141/PLES_07131/PLES_07121/PLES_07111",11
"pag00540","pag00540","Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa LESB58","12/204","29/2004",9.81762092150047e-06,0.000229077821501678,0.000206686756242115,"PLES_54011/PLES_54001/PLES_53991/PLES_53851/PLES_53761/PLES_35371/PLES_20831/PLES_20811/PLES_18251/PLES_13921/PLES_13911/PLES_13891",12
"pag02024","pag02024","Quorum sensing - Pseudomonas aeruginosa LESB58","22/204","99/2004",0.000230451674181474,0.00340991680115615,0.00307661666269727,"PLES_59641/PLES_53301/PLES_52001/PLES_34251/PLES_34241/PLES_34231/PLES_34221/PLES_34211/PLES_34201/PLES_34191/PLES_28161/PLES_12341/PLES_09291/PLES_07161/PLES_07151/PLES_07141/PLES_07131/PLES_07121/PLES_07111/PLES_06521/PLES_04251/PLES_03701",22
"pag00030","pag00030","Pentose phosphate pathway - Pseudomonas aeruginosa LESB58","10/204","28/2004",0.000243565485796868,0.00340991680115615,0.00307661666269727,"PLES_55001/PLES_50561/PLES_33731/PLES_30431/PLES_29841/PLES_18871/PLES_18861/PLES_06041/PLES_05461/PLES_03271",10
"pag03060","pag03060","Protein export - Pseudomonas aeruginosa LESB58","7/204","19/2004",0.00177212305693667,0.0206747689975945,0.0186539269151228,"PLES_59641/PLES_54591/PLES_49421/PLES_12341/PLES_11541/PLES_06521/PLES_03701",7
"pag01240","pag01240","Biosynthesis of cofactors - Pseudomonas aeruginosa LESB58","31/204","183/2004",0.00207987877544043,0.0207987877544043,0.0187658235378084,"PLES_56541/PLES_56171/PLES_56151/PLES_53061/PLES_51351/PLES_51151/PLES_49121/PLES_47761/PLES_40401/PLES_40371/PLES_40361/PLES_40341/PLES_40321/PLES_32591/PLES_24761/PLES_20991/PLES_19251/PLES_13981/PLES_13811/PLES_10591/PLES_09571/PLES_09291/PLES_09251/PLES_06491/PLES_06341/PLES_05791/PLES_05441/PLES_04991/PLES_04181/PLES_03601/PLES_00231",31
"pag00550","pag00550","Peptidoglycan biosynthesis - Pseudomonas aeruginosa LESB58","7/204","20/2004",0.00249445798273071,0.0218265073488938,0.0196930893373477,"PLES_47951/PLES_47941/PLES_47911/PLES_47901/PLES_20851/PLES_13831/PLES_09731",7
"pag00900","pag00900","Terpenoid backbone biosynthesis - Pseudomonas aeruginosa LESB58","5/204","16/2004",0.0178221944074314,0.137368309408658,0.123941331797286,"PLES_50551/PLES_13851/PLES_13831/PLES_09571/PLES_09321",5
"pag01232","pag01232","Nucleotide metabolism - Pseudomonas aeruginosa LESB58","10/204","48/2004",0.0196240442012369,0.137368309408658,0.123941331797286,"PLES_57161/PLES_41651/PLES_24761/PLES_19051/PLES_13981/PLES_13811/PLES_12051/PLES_12041/PLES_03391/PLES_15321",10
