Time,lb 369 1,lb 369 2,lb 369 3,lb 369 4,lb 369 5,lb 369 6,lb 75 1,lb 75 2,lb 75 3,lb 75 4,lb 75 5,lb 75 6,lb 370 1,lb 370 2,lb 370 3,lb 370 4,lb 370 5,lb 370 6,lb 76 1,lb 76 2,lb 76 3,lb 76 4,lb 76 5,lb 76 6,lb 320 1,lb 320 2,lb 320 3,lb 320 4,lb 320 5,lb 320 6,lb 1 1,lb 1 2,lb 1 3,lb 1 4,lb 1 5,lb 1 6,lb 321 1,lb 321 2,lb 321 3,lb 321 4,lb 321 5,lb 321 6,empty,empty,empty,empty,empty,empty,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,empty,empty,empty,empty,empty,empty,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,empty,empty,empty,empty,empty,tsb blank 1,tsb blank 2,tsb blank 3,tsb blank 4,tsb blank 5,tsb blank 6
0,0.095,0.104,0.117,0.097,0.098,0.102,0.092,0.085,0.087,0.089,0.091,0.1,0.1,0.108,0.112,0.098,0.1,0.105,0.092,0.09,0.088,0.089,0.09,0.092,0.097,0.095,0.095,0.097,0.092,0.087,0.089,0.092,0.084,0.087,0.091,0.094,0.095,0.094,0.095,0.094,0.091,0.092,0.083,0.083,0.084,0.084,0.084,0.086,0.098,0.098,0.096,0.095,0.095,0.096,0.084,0.084,0.084,0.084,0.084,0.086,0.101,0.104,0.099,0.099,0.092,0.095,0.084,0.084,0.084,0.084,0.085,0.087,0.089,0.085,0.08,0.08,0.078,0.079,0.08,0.078,0.077,0.078,0.082,0.082,0.091,0.088,0.086,0.084,0.082,0.08,0.082,0.082,0.081,0.084,0.084,0.084
0.5,0.102,0.105,0.12,0.098,0.101,0.102,0.12,0.119,0.115,0.124,0.127,0.13,0.104,0.11,0.116,0.103,0.104,0.111,0.128,0.13,0.126,0.124,0.121,0.123,0.112,0.114,0.11,0.11,0.107,0.105,0.119,0.123,0.123,0.118,0.129,0.127,0.11,0.111,0.11,0.111,0.106,0.106,0.084,0.083,0.085,0.084,0.084,0.086,0.102,0.099,0.1,0.096,0.097,0.098,0.084,0.084,0.085,0.084,0.084,0.086,0.112,0.113,0.108,0.111,0.108,0.108,0.084,0.084,0.085,0.084,0.085,0.088,0.091,0.085,0.081,0.081,0.079,0.079,0.081,0.078,0.078,0.078,0.082,0.081,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.083,0.083,0.083
1,0.126,0.13,0.15,0.12,0.122,0.122,0.192,0.177,0.174,0.197,0.196,0.194,0.124,0.137,0.144,0.125,0.127,0.137,0.203,0.209,0.2,0.194,0.189,0.182,0.138,0.133,0.137,0.138,0.134,0.129,0.17,0.181,0.19,0.176,0.201,0.196,0.128,0.132,0.133,0.132,0.126,0.127,0.084,0.083,0.085,0.084,0.084,0.086,0.11,0.108,0.113,0.111,0.113,0.117,0.084,0.084,0.085,0.084,0.084,0.086,0.133,0.132,0.128,0.131,0.13,0.13,0.084,0.084,0.085,0.084,0.085,0.088,0.091,0.086,0.081,0.08,0.079,0.079,0.08,0.079,0.078,0.078,0.082,0.081,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.084,0.084,0.083
1.5,0.175,0.18,0.203,0.16,0.171,0.167,0.291,0.271,0.265,0.306,0.298,0.294,0.168,0.19,0.194,0.168,0.173,0.188,0.326,0.33,0.32,0.308,0.293,0.271,0.176,0.17,0.178,0.18,0.18,0.163,0.27,0.291,0.305,0.268,0.308,0.311,0.164,0.17,0.17,0.172,0.16,0.162,0.083,0.083,0.085,0.084,0.084,0.086,0.141,0.137,0.146,0.144,0.148,0.158,0.085,0.084,0.085,0.084,0.084,0.086,0.169,0.169,0.164,0.169,0.17,0.173,0.084,0.085,0.085,0.084,0.085,0.088,0.09,0.086,0.081,0.081,0.079,0.079,0.08,0.078,0.078,0.078,0.082,0.08,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.084,0.083,0.083
2,0.252,0.25,0.263,0.245,0.243,0.253,0.428,0.386,0.392,0.427,0.407,0.406,0.223,0.285,0.3,0.242,0.264,0.281,0.467,0.448,0.444,0.424,0.409,0.385,0.251,0.236,0.25,0.25,0.254,0.223,0.391,0.429,0.432,0.396,0.44,0.435,0.225,0.236,0.239,0.244,0.22,0.23,0.083,0.083,0.085,0.084,0.084,0.086,0.175,0.172,0.187,0.198,0.188,0.195,0.084,0.084,0.085,0.084,0.084,0.086,0.25,0.247,0.241,0.252,0.243,0.246,0.084,0.084,0.085,0.084,0.085,0.087,0.09,0.086,0.081,0.08,0.079,0.079,0.08,0.078,0.078,0.078,0.082,0.08,0.095,0.088,0.087,0.085,0.082,0.081,0.083,0.082,0.082,0.084,0.083,0.083
2.5,0.318,0.315,0.445,0.298,0.369,0.318,0.619,0.577,0.586,0.633,0.604,0.59,0.343,0.358,0.346,0.36,0.375,0.519,0.631,0.62,0.625,0.61,0.612,0.566,0.355,0.358,0.344,0.344,0.331,0.358,0.551,0.594,0.598,0.546,0.596,0.611,0.33,0.351,0.33,0.348,0.345,0.343,0.083,0.083,0.085,0.084,0.084,0.086,0.244,0.262,0.304,0.285,0.275,0.285,0.084,0.084,0.085,0.084,0.084,0.086,0.305,0.335,0.325,0.318,0.308,0.286,0.084,0.084,0.085,0.084,0.085,0.087,0.09,0.085,0.081,0.081,0.079,0.079,0.08,0.079,0.078,0.078,0.082,0.081,0.096,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.084,0.083,0.083
3,0.362,0.364,0.367,0.387,0.38,0.403,0.765,0.729,0.733,0.787,0.761,0.75,0.348,0.399,0.388,0.404,0.417,0.422,0.794,0.791,0.8,0.774,0.761,0.721,0.349,0.356,0.341,0.334,0.341,0.35,0.71,0.774,0.767,0.726,0.779,0.781,0.275,0.264,0.312,0.306,0.31,0.325,0.083,0.083,0.085,0.084,0.084,0.086,0.274,0.294,0.303,0.299,0.321,0.332,0.084,0.084,0.085,0.084,0.084,0.086,0.343,0.359,0.37,0.318,0.346,0.31,0.084,0.084,0.085,0.084,0.084,0.088,0.09,0.086,0.081,0.081,0.079,0.079,0.08,0.078,0.078,0.078,0.082,0.08,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.084,0.083,0.083
3.5,0.427,0.383,0.434,0.412,0.483,0.46,0.935,0.912,0.921,0.966,0.948,0.935,0.439,0.455,0.391,0.474,0.514,0.6,0.959,0.964,0.971,0.952,0.926,0.905,0.388,0.44,0.398,0.427,0.438,0.447,0.882,0.963,0.954,0.916,0.95,0.957,0.363,0.395,0.343,0.44,0.416,0.44,0.083,0.083,0.085,0.084,0.084,0.086,0.342,0.319,0.426,0.4,0.379,0.434,0.084,0.084,0.085,0.084,0.084,0.086,0.347,0.417,0.377,0.368,0.36,0.368,0.084,0.084,0.085,0.084,0.085,0.087,0.091,0.086,0.081,0.08,0.079,0.079,0.08,0.078,0.077,0.078,0.082,0.081,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.083,0.083,0.082
4,0.501,0.494,0.511,0.524,0.52,0.532,1.044,1.035,1.049,1.06,1.034,1.028,0.392,0.431,0.476,0.459,0.441,0.468,1.04,1.052,1.052,1.041,1.025,1.019,0.417,0.445,0.45,0.433,0.442,0.455,1.015,1.067,1.068,1.034,1.05,1.033,0.265,0.264,0.288,0.316,0.325,0.37,0.083,0.083,0.085,0.084,0.084,0.086,0.453,0.38,0.414,0.411,0.407,0.436,0.084,0.084,0.085,0.084,0.084,0.086,0.413,0.439,0.391,0.412,0.408,0.407,0.084,0.084,0.085,0.084,0.085,0.088,0.091,0.086,0.081,0.08,0.079,0.08,0.08,0.078,0.078,0.078,0.082,0.08,0.095,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.083,0.083,0.082
4.5,0.526,0.533,0.544,0.547,0.688,0.549,1.146,1.109,1.131,1.158,1.123,1.119,0.489,0.46,0.612,0.614,0.565,0.543,1.152,1.143,1.149,1.136,1.133,1.115,0.671,0.559,0.656,0.603,0.599,0.596,1.113,1.144,1.166,1.123,1.153,1.134,0.472,0.416,0.556,0.508,0.526,0.461,0.084,0.083,0.085,0.085,0.084,0.087,0.467,0.445,0.503,0.489,0.471,0.513,0.085,0.084,0.085,0.084,0.084,0.086,0.422,0.48,0.548,0.495,0.486,0.516,0.084,0.085,0.085,0.085,0.085,0.088,0.091,0.086,0.082,0.081,0.079,0.08,0.08,0.079,0.078,0.078,0.082,0.081,0.096,0.089,0.087,0.085,0.082,0.081,0.083,0.082,0.081,0.084,0.084,0.083
