Time,lb 369 1,lb 369 2,lb 369 3,lb 369 4,lb 369 5,lb 369 6,lb 75 1,lb 75 2,lb 75 3,lb 75 4,lb 75 5,lb 75 6,lb 370 1,lb 370 2,lb 370 3,lb 370 4,lb 370 5,lb 370 6,lb 76 1,lb 76 2,lb 76 3,lb 76 4,lb 76 5,lb 76 6,lb 320 1,lb 320 2,lb 320 3,lb 320 4,lb 320 5,lb 320 6,lb 1 1,lb 1 2,lb 1 3,lb 1 4,lb 1 5,lb 1 6,lb 321 1,lb 321 2,lb 321 3,lb 321 4,lb 321 5,lb 321 6,empty,empty,empty,empty,empty,empty,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,empty,empty,empty,empty,empty,empty,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,empty,empty,empty,empty,empty,tsb blank 1,tsb blank 2,tsb blank 3,tsb blank 4,tsb blank 5,tsb blank 6
0,40057,39487,40351,42416,42484,40853,62788,63334,63260,61566,59773,61136,40003,40891,41238,41738,41778,41829,60872,64352,62934,63671,60198,60959,43394,43770,44141,43980,44897,44089,62138,63579,66743,63299,63198,61434,44395,43199,43471,43963,43376,43427,2958,3065,2871,2850,2862,2683,41113,41243,41440,40799,42291,42383,2941,2888,2910,2984,2835,2706,40145,40771,42047,40958,41988,41738,2863,2851,2879,2840,2753,2650,39132,40515,40715,41052,39551,39809,44043,45235,44497,44880,43421,43570,39849,39735,39402,39873,39474,40069,66708,66818,67373,64351,64406,64698
0.5,38479,38008,38808,41191,39964,39749,58245,57737,57657,55613,54100,56122,38159,39100,39725,40076,40088,40338,55788,57514,57650,57367,55033,55459,42554,43043,43841,43813,44640,43272,55276,59487,60351,57294,56034,55990,43757,43169,43514,43539,42439,42316,2816,2743,2699,2751,2696,2848,39015,39027,39614,39271,40057,40303,2819,2962,2750,2727,2774,2746,38353,38565,39843,39127,38860,39111,2723,2628,2767,2726,2770,2538,37643,39682,39122,38883,38238,38198,42719,43482,42980,43539,41771,41636,37987,38569,38252,38514,37965,38876,64443,64292,64713,61992,61245,61679
1,37688,37978,38537,40878,40585,39252,56177,56163,56628,54286,52525,54689,37487,38864,39189,39136,39514,39699,53732,55413,55961,55439,53207,53804,43961,44536,45110,44335,45270,43904,54584,57460,58599,55876,54469,54330,43969,43816,44404,45014,43847,43633,2727,2727,2729,2742,2648,2681,39328,39367,39559,38743,39772,39705,2852,2808,2682,2779,2727,2735,38362,38032,40045,38567,39164,39106,2640,2646,2671,2741,2688,2571,37211,39247,39504,39682,38630,38292,42608,43997,43722,43570,42007,42075,38017,38445,38361,38026,38599,38506,64348,64581,64873,62212,60811,61756
1.5,37362,36977,37222,39658,38806,38278,53305,52928,53627,50724,49387,51267,36924,37462,37712,37713,38428,38751,50610,52001,51902,52265,50361,51120,44373,44394,45374,44340,45865,44246,51290,53485,53999,52428,50878,50826,45002,45020,45149,45067,44041,44309,2693,2860,2686,2711,2677,2774,38148,38063,38339,37613,39003,38751,2840,2738,2728,2757,2689,2605,37030,36861,38373,37477,37665,37608,2770,2673,2769,2831,2732,2625,37715,39528,39523,39224,37830,38082,42423,43428,43429,44229,41840,41572,38042,38652,38011,38544,37964,38439,64287,64403,64801,61883,61172,61309
2,35616,35148,35672,37295,36591,36180,50451,50660,50905,48482,47714,49768,35268,35508,35796,36207,36561,36365,48755,50479,50328,49860,48062,49163,45825,46225,47036,46573,47359,46014,49301,50119,51555,49583,48420,48440,46754,46668,46086,46742,45665,45309,2737,2764,2738,2831,2803,2722,36047,35772,36490,36304,36096,35941,2776,2773,2743,2794,2788,2593,35224,35150,36053,35106,34907,35073,2622,2716,2719,2680,2626,2640,37107,39486,39516,39883,38416,38651,42820,43680,43184,44109,41531,41431,37736,38344,38492,38189,38081,38690,64637,64860,64651,62485,61422,61581
2.5,34069,33188,34525,35595,35344,35087,48577,48882,49280,46946,46104,47481,34289,34397,35808,35291,35288,35979,45975,47577,47781,47189,46173,47189,49290,49297,49551,48208,49453,47837,46908,47074,47973,46880,45798,45919,49500,49517,48979,49660,48105,47823,2765,2774,2708,2803,2655,2710,34102,33159,34306,33583,33920,33745,2793,2651,2766,2759,2641,2711,33472,33450,33807,33297,33609,33872,2692,2747,2736,2718,2754,2553,36822,39276,39410,39530,38472,38428,42953,43206,43773,44021,42085,41165,37576,38656,38104,37876,38220,38278,64255,64653,64855,62331,61034,61975
3,34506,33261,34307,34659,35296,34368,45383,45546,45660,43297,43042,44342,34357,34584,35458,35105,35559,35076,43678,44155,44066,43576,42631,44182,52224,52323,53089,51807,53410,50368,42572,44061,44539,43738,43062,43261,52305,52206,52250,52535,50519,50987,2741,2726,2745,2679,2754,2602,33183,32221,32835,32188,32332,32743,2765,2813,2698,2798,2743,2653,33107,33207,33615,32937,32808,33046,2811,2714,2746,2591,2741,2548,37071,39276,38941,39369,38101,38403,42010,43869,43276,43559,41548,41465,37218,38645,37803,37805,37629,38005,64534,64358,65006,62227,60983,61489
3.5,35274,34176,35170,34922,35751,35099,43297,43456,43507,41436,41110,42203,34483,35233,37189,34864,35388,35752,41779,42265,42507,42524,41266,42212,59343,59307,57840,58388,59195,56925,41186,41661,42314,41781,40684,41115,59129,59508,59644,60423,57562,57196,2738,2799,2731,2733,2698,2784,31751,31036,31607,30605,30840,31021,2704,2799,2692,2768,2637,2661,32671,32409,32698,32648,31834,32422,2706,2647,2803,2619,2655,2573,36970,39503,39594,39250,38359,38569,42758,43739,43530,43730,42063,41066,37051,38608,38038,37387,37873,38016,64709,64645,65147,61837,61029,61167
4,37340,35558,36250,37310,37369,37265,41945,41796,42262,40522,39858,41854,36545,36490,36682,36714,36621,37767,41010,41141,41040,41314,40496,41031,66657,64785,69900,64660,65796,64516,39219,40127,41105,39906,39348,40124,66240,66963,67272,68452,64903,65129,2782,2771,2766,2713,2720,2713,31301,30418,31290,30660,30407,30624,2814,2676,2722,2749,2715,2556,32523,32097,32359,31819,31883,32012,2682,2736,2749,2623,2783,2604,37100,39141,39730,39186,38356,38110,42530,43457,43405,43795,41846,41065,36661,38207,37813,37377,37391,37630,63920,64574,64480,62240,61107,60760
4.5,38869,37747,37708,38870,38649,38125,41622,41849,41750,40683,39499,41272,38242,37582,38881,37863,38133,38562,40515,40876,40997,40897,39985,41239,78225,76123,81082,78540,78650,72294,38857,39048,39705,39157,38852,39342,77080,80229,77816,77590,77587,75690,2851,2773,2667,2728,2692,2663,31689,30400,30942,30575,30309,30477,2785,2709,2600,2826,2821,2694,31156,30994,31781,31145,31127,31760,2739,2718,2544,2707,2575,2529,36298,39230,39599,39084,38305,38185,42555,44025,43822,43287,41558,40946,36436,37516,37614,37587,36875,37233,64217,64412,64909,62069,61280,61209
