condition,cfu,measured cfu
pre-75:317 75 1,228000,456000000
pre-75:317 75 2,139500,279000000
pre-75:317 75 3,201000,402000000
post-75:317 75 1,305000000,305000000
post-75:317 75 2,350000000,350000000
post-75:317 75 3,395000000,395000000
pre-75:317 317 1,1050,210000000
pre-75:317 317 2,700,140000000
pre-75:317 317 3,975,195000000
post-75:317 317 1,190000000,190000000
post-75:317 317 2,145000000,145000000
post-75:317 317 3,160000000,160000000
pre-75:446 75 1,97666.66667,195333333.3
pre-75:446 75 2,144750,289500000
pre-75:446 75 3,120000,240000000
post-75:446 75 1,870000000,870000000
post-75:446 75 2,167666666.7,167666666.7
post-75:446 75 3,201333333.3,201333333.3
pre-75:446 446 1,88000,176000000
pre-75:446 446 2,109166.6667,218333333.3
pre-75:446 446 3,78666.66667,157333333.3
post-75:446 446 1,80333333.33,80333333.33
post-75:446 446 2,40000000,40000000
post-75:446 446 3,71000000,71000000
pre-75:323 75 1,90250,180500000
pre-75:323 75 2,137500,275000000
pre-75:323 75 3,129000,258000000
post-75:323 75 1,434666666.7,434666666.7
post-75:323 75 2,905000000,905000000
post-75:323 75 3,1045000000,1045000000
pre-75:323 323 1,3225,645000000
pre-75:323 323 2,1975,395000000
pre-75:323 323 3,4150,830000000
post-75:323 323 1,295000000,295000000
post-75:323 323 2,135000000,135000000
post-75:323 323 3,250000000,250000000
