Time,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 446 1,lb 446 2,lb 446 3,lb 446 4,lb 446 5,lb 446 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,0.1,0.098,0.095,0.091,0.092,0.095,0.099,0.09,0.098,0.091,0.091,0.108,0.092,0.104,0.103,0.104,0.097,0.094,0.093,0.09,0.101,0.097,0.099,0.096,0.092,0.104,0.103,0.092,0.091,0.094,0.094,0.094,0.086,0.09,0.102,0.094,0.096,0.097,0.101,0.096,0.095,0.095,0.104,0.098,0.096,0.1,0.099,0.1,0.084,0.084,0.084,0.084,0.083,0.084,0.084,0.084,0.085,0.084,0.084,0.087,0.085,0.086,0.084,0.086,0.084,0.086,0.084,0.084,0.084,0.084,0.084,0.088,0.086,0.085,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.088,0.088,0.086,0.086,0.086,0.085,0.084,0.084,0.083,0.082,0.081,0.083,0.084,0.083
0.5,0.107,0.108,0.1,0.098,0.101,0.129,0.103,0.102,0.108,0.102,0.095,0.11,0.102,0.112,0.109,0.108,0.102,0.1,0.097,0.1,0.108,0.101,0.102,0.103,0.103,0.137,0.109,0.097,0.097,0.099,0.099,0.101,0.097,0.095,0.106,0.102,0.107,0.102,0.104,0.1,0.099,0.099,0.108,0.105,0.101,0.107,0.103,0.104,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.087,0.085,0.085,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.087,0.086,0.084,0.085,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.088,0.088,0.087,0.087,0.086,0.085,0.084,0.084,0.082,0.08,0.081,0.081,0.082,0.081
1,0.133,0.132,0.117,0.115,0.12,0.172,0.108,0.107,0.114,0.106,0.098,0.114,0.112,0.134,0.135,0.134,0.12,0.118,0.099,0.109,0.111,0.109,0.106,0.105,0.113,0.132,0.136,0.112,0.111,0.111,0.104,0.11,0.1,0.101,0.112,0.108,0.13,0.118,0.124,0.112,0.111,0.11,0.116,0.111,0.106,0.113,0.112,0.108,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.086,0.086,0.086,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.087,0.087,0.084,0.085,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.088,0.088,0.087,0.087,0.086,0.085,0.084,0.084,0.082,0.08,0.08,0.081,0.082,0.081
1.5,0.182,0.177,0.156,0.153,0.208,0.158,0.121,0.115,0.125,0.118,0.103,0.127,0.138,0.174,0.182,0.185,0.157,0.154,0.105,0.114,0.121,0.116,0.114,0.116,0.136,0.177,0.187,0.141,0.146,0.142,0.112,0.118,0.108,0.11,0.126,0.118,0.173,0.151,0.165,0.141,0.144,0.143,0.133,0.122,0.114,0.124,0.125,0.116,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.087,0.086,0.085,0.085,0.086,0.084,0.086,0.084,0.085,0.084,0.084,0.085,0.087,0.087,0.085,0.085,0.085,0.085,0.084,0.085,0.084,0.084,0.084,0.089,0.088,0.087,0.087,0.087,0.085,0.085,0.084,0.083,0.08,0.083,0.081,0.082,0.081
2,0.251,0.268,0.223,0.225,0.252,0.234,0.135,0.128,0.146,0.131,0.113,0.143,0.191,0.265,0.299,0.292,0.249,0.23,0.115,0.124,0.142,0.129,0.127,0.131,0.193,0.25,0.298,0.205,0.212,0.202,0.122,0.128,0.117,0.12,0.143,0.131,0.231,0.198,0.23,0.182,0.192,0.204,0.14,0.14,0.129,0.14,0.147,0.127,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.086,0.085,0.085,0.084,0.086,0.084,0.085,0.084,0.085,0.084,0.084,0.084,0.087,0.086,0.084,0.085,0.084,0.084,0.084,0.085,0.084,0.084,0.084,0.088,0.087,0.087,0.086,0.086,0.085,0.084,0.084,0.082,0.08,0.079,0.082,0.081,0.081
2.5,0.268,0.317,0.277,0.255,0.336,0.317,0.155,0.144,0.166,0.151,0.122,0.17,0.264,0.418,0.443,0.466,0.395,0.351,0.123,0.14,0.161,0.145,0.14,0.148,0.253,0.328,0.412,0.329,0.305,0.334,0.135,0.14,0.188,0.133,0.163,0.144,0.305,0.261,0.289,0.253,0.274,0.289,0.156,0.154,0.144,0.158,0.173,0.14,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.087,0.086,0.085,0.084,0.086,0.084,0.086,0.084,0.084,0.084,0.084,0.085,0.087,0.087,0.085,0.085,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.088,0.087,0.087,0.087,0.086,0.085,0.084,0.084,0.082,0.081,0.085,0.081,0.082,0.081
3,0.373,0.413,0.317,0.316,0.386,0.385,0.168,0.153,0.181,0.157,0.129,0.178,0.347,0.443,0.504,0.47,0.438,0.395,0.131,0.149,0.175,0.156,0.149,0.159,0.383,0.448,0.469,0.409,0.377,0.4,0.144,0.162,0.146,0.142,0.176,0.156,0.352,0.351,0.352,0.328,0.319,0.315,0.192,0.174,0.157,0.174,0.196,0.152,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.086,0.086,0.085,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.087,0.086,0.085,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.088,0.087,0.087,0.087,0.086,0.085,0.084,0.084,0.082,0.08,0.081,0.081,0.082,0.081
3.5,0.441,0.46,0.44,0.388,0.451,0.463,0.198,0.182,0.218,0.189,0.147,0.211,0.42,0.555,0.522,0.506,0.476,0.488,0.145,0.169,0.203,0.181,0.172,0.186,0.46,0.422,0.534,0.489,0.516,0.444,0.16,0.168,0.414,0.161,0.2,0.172,0.452,0.652,0.48,0.424,0.392,0.413,0.196,0.194,0.182,0.193,0.24,0.169,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.086,0.085,0.085,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.087,0.087,0.085,0.085,0.085,0.084,0.084,0.085,0.084,0.084,0.084,0.088,0.088,0.087,0.087,0.086,0.086,0.084,0.084,0.082,0.08,0.08,0.081,0.081,0.081
4,0.456,0.584,0.432,0.444,0.603,0.525,0.224,0.2,0.241,0.208,0.158,0.234,0.396,0.643,0.648,0.695,0.717,0.533,0.16,0.19,0.236,0.202,0.192,0.207,0.46,0.412,0.664,0.533,0.538,0.576,0.18,0.189,0.238,0.182,0.23,0.194,0.457,0.504,0.451,0.462,0.461,0.46,0.338,0.227,0.211,0.338,0.288,0.197,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.084,0.084,0.086,0.085,0.085,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.085,0.087,0.086,0.084,0.085,0.085,0.084,0.084,0.085,0.084,0.084,0.084,0.088,0.087,0.087,0.087,0.086,0.085,0.084,0.084,0.082,0.08,0.08,0.081,0.081,0.081
4.5,0.562,0.62,0.553,0.566,0.592,0.578,0.239,0.215,0.262,0.226,0.169,0.252,0.497,0.576,0.589,0.685,0.611,0.581,0.171,0.207,0.261,0.225,0.212,0.225,0.405,0.453,0.546,0.534,0.569,0.536,0.195,0.207,0.177,0.201,0.256,0.214,0.492,0.458,0.511,0.498,0.482,0.481,0.384,0.331,0.233,0.365,0.338,0.214,0.084,0.084,0.084,0.084,0.083,0.084,0.084,0.084,0.084,0.084,0.084,0.086,0.085,0.085,0.084,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.087,0.086,0.084,0.085,0.084,0.084,0.084,0.084,0.084,0.084,0.084,0.088,0.088,0.086,0.086,0.086,0.085,0.084,0.084,0.082,0.08,0.079,0.081,0.081,0.08
