Time,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 446 1,lb 446 2,lb 446 3,lb 446 4,lb 446 5,lb 446 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,166285,165493,167212,174825,174815,172364,173209,173307,175106,170800,163491,168229,164736,169426,169661,173338,171731,173155,170354,172268,174348,175103,168173,166374,171465,170684,169887,170899,170621,170234,183031,188545,183269,189680,200107,181159,164205,168961,167833,167563,164330,167523,162676,163727,166321,166604,163407,162583,7394,7719,7632,7709,7598,7523,7428,7458,7168,7075,7004,6788,7668,7636,7793,7801,7644,7405,7326,7379,7382,7200,6874,6718,7476,7358,7670,7484,7606,7306,7176,7216,7200,7118,6860,6657,7367,7095,7378,7657,7331,7134,178177,177917,179020,172071,169564,167031
0.5,157343,156904,160489,165780,165332,166467,165833,165152,165888,161455,155369,157902,156513,160468,162392,165347,163886,164658,162076,163948,165417,164534,157104,156343,162697,169809,164391,161235,164680,162269,174908,180214,178242,178529,185417,171386,154794,157886,156800,157863,154647,157826,155106,155620,157985,158022,155114,154431,7254,7388,7451,7172,7223,7176,7046,6873,6812,6815,6778,6591,7328,7363,7297,7263,7252,7068,7153,6937,7114,6810,6749,6603,7109,7130,7417,7368,7292,6889,6927,6889,6807,7026,6622,6397,7358,7247,7291,7276,7226,7141,171846,171305,170677,164728,161582,156529
1,158193,158157,159564,167159,165943,167625,164974,165989,166581,161787,154789,158908,156029,162624,163900,170994,164959,163726,162671,163293,165929,165061,157851,156570,162355,170336,164110,162113,163309,162482,175010,181874,178178,181426,185134,173693,152665,157029,156123,158078,153113,156628,155080,156674,157864,157637,154894,154565,7158,7186,7182,7306,7249,7122,7047,6786,6942,6838,6623,6444,7462,7320,7400,7268,7417,7108,6814,6746,6972,7044,6730,6417,7133,7213,7398,7328,7157,7051,6915,6861,6800,6813,6585,6492,7076,7103,7031,7472,7128,7110,171717,171603,170621,164087,161217,156882
1.5,156199,156059,159243,165408,167061,162888,164612,164314,165390,161037,154764,158004,155971,161040,161181,162312,163031,163817,162001,163325,165607,164153,158279,155212,161641,158569,161803,160908,165500,161957,176427,186581,180053,186005,190348,177520,147609,153732,151249,153743,151448,154239,154076,155273,157330,156658,152483,152342,7180,7248,7252,7341,7194,7204,7186,7030,6939,6796,6751,6506,7309,7191,7430,7325,7188,6900,7101,6621,6864,6668,6407,6421,7105,7248,7200,7264,7192,6954,6777,6713,6627,6743,6625,6452,7265,7134,6997,7275,7108,7071,170925,170715,170600,163630,160285,155959
2,151517,150208,155886,160532,158443,157022,165571,164644,165339,161247,154287,158225,156344,152115,154767,155680,156162,158187,162517,163528,165930,165812,158791,155736,161982,159307,155003,156248,158597,157672,181334,188432,219117,193412,198728,183041,141374,146750,142429,149250,144644,143959,153705,154684,157210,155796,151320,152456,7198,7248,7283,7132,7262,7026,7122,7062,6796,6710,6629,6431,7215,7277,7335,7289,7309,6990,7010,6845,6946,6688,6560,6466,7189,7253,7269,7312,7258,6977,6849,6863,6847,6796,6355,6494,7260,6853,6776,7304,7017,6935,169543,169764,169923,162989,159871,154542
2.5,149375,146950,148868,154716,156147,153961,166034,169926,167059,161330,153963,159597,150698,150438,152545,153856,153460,153573,163019,163835,165020,168753,158888,156307,153363,154351,153855,150866,152440,152497,185252,195028,222845,217957,203494,187644,136492,140532,137391,140353,136746,138829,155560,154826,157656,155180,149977,153105,7148,7216,7053,7104,7145,6992,6887,6739,6799,6700,6640,6414,7108,7267,6974,7148,7130,7032,6956,6800,6820,6623,6398,6168,7029,6977,7153,7275,7128,6867,6836,6799,6710,6600,6370,6274,7089,6799,6922,7102,7166,6706,167780,168369,168705,161245,158186,152604
3,152306,149069,150026,156326,156036,156751,166379,165540,167010,162472,154811,159432,147974,151544,154897,158377,155290,156067,162833,164776,167146,168156,159007,157200,154687,155254,157036,150705,153558,152002,189313,206615,193538,203242,212885,193863,133615,134420,133865,134311,133019,136323,155894,154516,156661,155002,148534,152494,7174,7226,7128,7197,6965,7130,7082,6726,6674,6728,6551,6432,7122,7186,7237,7276,7157,7029,7008,6757,6945,6792,6578,6424,7117,7107,7321,7144,7002,7011,6848,6605,6790,6542,6527,6324,7154,6885,6903,7235,7216,6847,167268,168098,166908,161548,156883,150956
3.5,159847,157725,154396,158071,163701,163668,167516,166777,168714,164130,155049,161411,153277,157619,162430,162538,159838,157997,164333,164990,168359,168077,160858,158564,158460,164186,164821,153839,155997,158715,195552,208591,265883,212253,223793,203190,130479,130545,128686,130426,128342,130626,153052,154525,155766,155439,143044,152160,7238,7137,7188,7138,7011,6992,6967,6935,6667,6960,6618,6530,7205,7183,7285,7085,7229,6973,6992,6594,6699,6767,6587,6373,7083,7122,7063,6989,6956,6850,6722,6798,6750,6572,6552,6293,7105,6842,6871,7255,7065,6863,165028,166341,166780,160060,156227,149266
4,174710,168844,166038,173235,176456,176017,168294,167719,169786,164512,156072,163197,164832,171093,176460,176670,171524,170048,164101,168098,169547,171713,161158,160115,165925,175327,177693,166066,170201,169843,204525,223174,292705,225585,246610,216218,135385,131679,136396,130959,130958,133582,153795,150272,155872,155428,140998,152386,7095,7060,6995,7237,7019,6961,6988,6781,6759,6636,6511,6171,7008,7143,7238,7147,7183,6989,6810,6721,6676,6574,6787,6335,6877,6997,7369,7209,7182,6858,6757,6749,6647,6700,6386,6250,7162,6840,7027,7235,7077,6982,163074,165303,165653,159357,156121,147668
4.5,194383,185790,182105,187859,197269,198955,169294,169453,169238,165364,156469,162791,179181,189043,192289,196078,188265,185638,164784,166650,169595,174063,161837,161925,178015,203144,196993,180840,183202,186725,215547,229708,215639,243277,252103,229458,159955,156244,176872,148852,154943,164101,151806,152898,154563,154628,139591,144674,7130,7096,7037,7145,6803,6905,7086,6616,6824,6683,6485,6374,6952,7160,7155,7208,6932,6937,6575,6802,6627,6502,6639,6299,6963,7113,7259,7153,7025,6840,6817,6691,6577,6624,6441,6261,7051,6879,7017,7131,6974,6856,161485,163763,163973,159204,155038,146590
