Time,tsb 75 1,tsb 75 2,tsb 75 3,tsb 75 4,tsb 75 5,tsb 75 6,tsb 76 1,tsb 76 2,tsb 76 3,tsb 76 4,tsb 76 5,tsb 76 6,tsb 1 1,tsb 1 2,tsb 1 3,tsb 1 4,tsb 1 5,tsb 1 6,tsb blank 1,tsb blank 2,tsb blank 3,tsb blank 4,tsb blank 5,tsb blank 6
0,977,754,973,830,1027,913,932,876,841,1032,774,836,588,639,621,617,649,667,633,698,636,608,677,602
0.5,1421,1398,1269,1417,1605,1410,1510,1584,1524,1522,1368,1358,559,612,568,592,525,523,651,597,636,642,594,585
1,2050,2048,1911,2081,2345,2093,2326,2377,2230,2218,2037,1954,562,561,582,556,524,560,596,600,609,630,596,619
1.5,3230,3288,3019,3316,3686,3501,3859,3935,3557,3670,3146,3140,556,524,506,550,485,546,641,635,604,603,635,567
2,5130,5102,5062,5320,5805,5545,6149,5987,5852,5618,5415,5380,514,498,495,501,499,525,640,627,645,577,613,656
2.5,7530,7377,7447,7298,7628,7925,8081,7927,7809,7943,7615,7714,417,415,469,494,481,453,658,630,602,606,611,695
3,8841,8731,8493,8342,8976,8995,9357,8814,8863,9123,8951,9066,434,408,417,449,441,463,686,668,632,611,622,644
3.5,9405,9226,9399,9201,9567,9924,10059,9437,9749,9871,9785,10038,465,422,419,433,419,379,686,650,596,562,559,587
4,10684,10285,10320,10044,10839,11188,11633,10723,10868,11086,10888,11051,401,420,403,399,404,383,662,639,638,578,582,667
4.5,13418,12906,12465,12381,13042,13408,14683,13078,13152,13484,13314,13284,463,425,388,449,426,390,575,590,630,645,622,635
5,18184,17253,16246,16300,17385,17540,19967,17572,17639,17358,17469,17844,422,409,386,463,401,412,623,676,645,614,635,613
5.5,24297,23044,21984,20736,22384,22643,25959,22721,22616,22564,21872,23172,443,407,399,411,363,379,630,637,653,582,595,609
6,29700,28406,27128,25883,27801,27883,31354,27936,27589,27214,27133,28104,391,383,360,442,386,425,654,594,668,592,651,672
6.5,34921,33641,32418,30672,31898,33293,36258,32181,32072,31574,31571,32977,414,380,399,406,399,462,614,629,689,637,631,579
7,39642,38211,36304,34434,36675,36797,40093,36466,35828,35300,35409,37331,449,408,354,384,417,393,705,608,676,598,636,619
7.5,42911,41383,39767,37071,38406,39708,42859,39137,38469,38578,37993,39581,405,408,399,406,429,378,632,674,692,605,610,659
8,46180,44507,43088,39959,41036,43374,45515,41507,41410,40717,40482,42712,386,411,418,419,419,428,622,608,659,654,602,575
8.5,49029,47188,46323,42681,44501,45506,47342,44002,43947,43968,43578,45919,405,396,407,441,434,445,674,660,640,590,606,592
9,51299,49864,48472,44756,46355,46853,49972,46353,45359,45014,44973,47176,465,396,416,406,437,409,643,664,678,620,632,584
9.5,52492,50715,49337,45456,46698,48575,51354,46491,46513,45793,45580,48198,410,442,426,432,403,428,681,588,680,607,643,589
10,55682,53549,52190,48656,49494,51300,53714,48504,48610,48045,48142,50642,434,393,420,455,458,422,679,633,690,626,591,597
10.5,58490,55635,54569,51141,51270,53055,56150,50506,50439,50326,49944,52470,426,417,429,381,449,424,652,624,632,667,615,584
11,61480,57438,56595,52777,53388,54857,58739,52192,51676,51055,51582,54037,449,406,402,394,436,447,684,679,635,581,619,587
11.5,64689,60299,59334,54535,55810,57453,62328,54600,54591,53770,53582,56526,460,456,438,438,429,443,724,645,617,679,633,641
12,68187,63412,62069,57862,58106,59775,65221,57223,56510,55980,56433,59652,459,455,446,480,445,487,623,601,642,652,665,596
12.5,72945,66699,65117,60196,60869,62587,68776,59177,58859,57753,58220,62017,468,467,495,453,486,490,611,690,625,591,662,586
13,75980,69697,67739,62456,63245,65520,72510,61865,61481,60553,60304,64258,475,510,497,431,446,493,668,696,662,605,621,570
13.5,80428,73612,70811,65323,66643,68497,77446,65507,64619,63972,63386,67348,518,500,460,473,474,540,647,646,605,660,697,551
14,86033,77711,75136,69143,70043,72040,82836,69920,67721,66837,67163,71366,533,461,497,488,473,562,652,633,667,610,599,590
14.5,92666,82635,78923,73603,74708,76653,88700,74610,71902,70243,72267,75701,502,468,479,527,539,534,674,656,676,668,618,584
15,98953,88423,84813,77658,79483,81782,95753,79297,78099,75796,77826,81030,597,478,521,529,533,547,681,626,599,618,689,603
15.5,104278,94547,89966,83616,85263,87776,101827,86575,83296,81406,82630,87629,538,508,553,562,520,585,642,643,666,636,696,569
16,113092,102247,97740,90477,91353,95037,108925,93556,90276,88160,90186,95506,524,522,527,522,515,596,641,667,630,609,632,596
