Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 309 1,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb 317 1,lb 317 2,lb 317 3,lb 317 4,lb 317 5,lb 317 6,empty,empty,empty,empty,empty,empty,lb 318 1,lb 318 2,lb 318 3,lb 318 4,lb 318 5,lb 318 6,empty,empty,empty,empty,empty,empty,lb 323 1,lb 323 2,lb 323 3,lb 323 4,lb 323 5,lb 323 6,empty,empty,empty,empty,empty,empty,lb 324 1,lb 324 2,lb 324 3,lb 324 4,lb 324 5,lb 324 6,empty,empty,empty,empty,empty,empty,lb 366 1,lb 366 2,lb 366 3,lb 366 4,lb 366 5,lb 366 6,empty,empty,empty,empty,empty,empty,lb 367 1,lb 367 2,lb 367 3,lb 367 4,lb 367 5,lb 367 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 446 1,lb 446 2,lb 446 3,lb 446 4,lb 446 5,lb 446 6,lb 3 7,lb 3 8,lb 3 9,lb 3 10,lb 3 11,lb 3 12,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 7,lb blank 8,lb blank 9,lb blank 10,lb blank 11,lb blank 12
0,207418,193338,211133,205007,202424,205310,189577,185412,190417,184924,178857,183772,195839,198565,205939,201988,206309,213488,191326,188828,192264,192913,183431,189052,213109,209645,216666,224044,217114,214664,7444,7216,7474,7405,7375,7109,240853,214475,228891,231236,222963,218471,7414,7432,7539,7360,7277,6980,204347,208854,208186,211581,206434,209592,7425,7483,7386,7238,7333,7170,196598,202448,204362,203532,207656,199252,7407,7393,7525,7365,7197,7231,182389,182037,186975,189333,196474,189348,7610,7450,7282,7278,7327,6990,190748,176853,180717,187427,186936,183705,195008,195372,199329,190681,187010,189555,166285,165493,167212,174825,174815,172364,173209,173307,175106,170800,163491,168229,164736,169426,169661,173338,171731,173155,170354,172268,174348,175103,168173,166374,171465,170684,169887,170899,170621,170234,183031,188545,183269,189680,200107,181159,164205,168961,167833,167563,164330,167523,162676,163727,166321,166604,163407,162583,7394,7719,7632,7709,7598,7523,7428,7458,7168,7075,7004,6788,7668,7636,7793,7801,7644,7405,7326,7379,7382,7200,6874,6718,7476,7358,7670,7484,7606,7306,7176,7216,7200,7118,6860,6657,7367,7095,7378,7657,7331,7134,178177,177917,179020,172071,169564,167031
0.5,185274,190826,192981,192147,190105,190523,172065,172787,173407,169150,159887,167894,182652,184814,189735,191215,190604,192572,171929,171434,172419,179074,166098,165671,210804,210501,208538,208947,207853,212662,6935,6985,6914,7088,7195,6984,220250,207698,210261,214730,203527,204652,7300,7283,7195,7287,7208,7077,199739,205245,201532,200758,199005,199564,7214,7265,7214,6885,7166,7042,195444,197089,194180,194464,195653,196922,7183,7262,7384,7178,7176,6887,168923,168527,176148,175004,184836,175075,7082,7316,7181,7280,6798,6760,178693,165563,166872,173522,174259,170988,185303,186720,188100,179596,176701,176577,157343,156904,160489,165780,165332,166467,165833,165152,165888,161455,155369,157902,156513,160468,162392,165347,163886,164658,162076,163948,165417,164534,157104,156343,162697,169809,164391,161235,164680,162269,174908,180214,178242,178529,185417,171386,154794,157886,156800,157863,154647,157826,155106,155620,157985,158022,155114,154431,7254,7388,7451,7172,7223,7176,7046,6873,6812,6815,6778,6591,7328,7363,7297,7263,7252,7068,7153,6937,7114,6810,6749,6603,7109,7130,7417,7368,7292,6889,6927,6889,6807,7026,6622,6397,7358,7247,7291,7276,7226,7141,171846,171305,170677,164728,161582,156529
1,193590,197438,203263,198710,196534,198057,171090,170757,169805,166617,156622,164121,188772,193362,195014,198757,196541,202111,171949,169241,169262,175270,164020,160921,237441,238324,235557,232738,231421,239799,7133,7043,7094,7132,7068,6990,241604,239483,235636,242250,234056,232685,7359,7367,7261,7269,7031,6780,210255,214598,213057,212187,209684,210462,7219,7051,7120,7188,7033,7039,215125,209724,205309,210462,203719,212517,7319,7288,7408,7104,7057,6919,167611,166409,173491,173486,181121,172697,7358,7132,7142,7180,7081,6770,176112,163168,165596,171170,173754,169192,183452,184649,186508,178143,175406,174617,158193,158157,159564,167159,165943,167625,164974,165989,166581,161787,154789,158908,156029,162624,163900,170994,164959,163726,162671,163293,165929,165061,157851,156570,162355,170336,164110,162113,163309,162482,175010,181874,178178,181426,185134,173693,152665,157029,156123,158078,153113,156628,155080,156674,157864,157637,154894,154565,7158,7186,7182,7306,7249,7122,7047,6786,6942,6838,6623,6444,7462,7320,7400,7268,7417,7108,6814,6746,6972,7044,6730,6417,7133,7213,7398,7328,7157,7051,6915,6861,6800,6813,6585,6492,7076,7103,7031,7472,7128,7110,171717,171603,170621,164087,161217,156882
1.5,201951,204252,213610,205301,203125,205278,168077,166662,166148,163128,157755,159237,195099,199244,202403,207089,203513,210343,168323,165258,165223,170717,159108,153533,258743,258861,255581,254040,251129,260218,6875,7140,7016,7103,6928,6738,266713,260455,258585,264948,256951,255476,7285,7089,7110,7040,7080,6906,229142,226823,225941,225163,221738,226270,7022,7113,7115,7176,7066,6898,229313,224017,220684,221514,218642,227482,7281,7262,7287,7102,7084,6861,163291,163949,169199,168573,176217,168887,7101,7108,7153,7101,6937,6637,172353,160489,162420,168872,170435,167113,183183,184232,184778,177322,173523,172528,156199,156059,159243,165408,167061,162888,164612,164314,165390,161037,154764,158004,155971,161040,161181,162312,163031,163817,162001,163325,165607,164153,158279,155212,161641,158569,161803,160908,165500,161957,176427,186581,180053,186005,190348,177520,147609,153732,151249,153743,151448,154239,154076,155273,157330,156658,152483,152342,7180,7248,7252,7341,7194,7204,7186,7030,6939,6796,6751,6506,7309,7191,7430,7325,7188,6900,7101,6621,6864,6668,6407,6421,7105,7248,7200,7264,7192,6954,6777,6713,6627,6743,6625,6452,7265,7134,6997,7275,7108,7071,170925,170715,170600,163630,160285,155959
2,223675,221975,227798,223227,220105,223793,158780,157668,157581,152004,146980,150994,212622,216548,219604,224030,221396,224465,163923,159350,159770,163600,150270,150148,299002,303652,291585,287224,283180,304693,7074,7132,6881,7264,7000,6931,321291,304574,308882,302769,303705,307011,7110,7422,7316,7195,6933,7061,263433,253263,255173,250364,250417,252802,7100,7141,7148,7043,7104,7016,264065,250035,242473,242210,244133,259006,7241,7291,7313,7105,7003,6946,154582,156713,157505,158578,164826,159257,7047,7299,7023,7119,6968,6890,164188,153407,154349,164673,161709,159677,181277,182305,184024,175615,172972,170728,151517,150208,155886,160532,158443,157022,165571,164644,165339,161247,154287,158225,156344,152115,154767,155680,156162,158187,162517,163528,165930,165812,158791,155736,161982,159307,155003,156248,158597,157672,181334,188432,219117,193412,198728,183041,141374,146750,142429,149250,144644,143959,153705,154684,157210,155796,151320,152456,7198,7248,7283,7132,7262,7026,7122,7062,6796,6710,6629,6431,7215,7277,7335,7289,7309,6990,7010,6845,6946,6688,6560,6466,7189,7253,7269,7312,7258,6977,6849,6863,6847,6796,6355,6494,7260,6853,6776,7304,7017,6935,169543,169764,169923,162989,159871,154542
2.5,256503,246386,259691,249337,247980,250378,149896,148089,149316,146439,140736,144071,238192,240115,242131,252406,242935,249811,154982,152264,152324,154574,146566,145386,362288,356439,349601,356281,336151,362393,6860,6953,7039,7120,6874,6785,397633,361813,379637,366661,360852,362169,7045,7079,7081,7184,7067,7050,306194,286908,298685,288529,286895,291769,7136,7131,7003,7141,7062,7000,306721,289740,280308,278095,284879,298264,7019,7220,7149,7161,7016,7021,151953,148093,152461,152918,156338,152130,7186,7167,7110,7190,6799,6649,156012,145551,147635,157354,153957,151600,180169,181221,182312,173545,170737,168043,149375,146950,148868,154716,156147,153961,166034,169926,167059,161330,153963,159597,150698,150438,152545,153856,153460,153573,163019,163835,165020,168753,158888,156307,153363,154351,153855,150866,152440,152497,185252,195028,222845,217957,203494,187644,136492,140532,137391,140353,136746,138829,155560,154826,157656,155180,149977,153105,7148,7216,7053,7104,7145,6992,6887,6739,6799,6700,6640,6414,7108,7267,6974,7148,7130,7032,6956,6800,6820,6623,6398,6168,7029,6977,7153,7275,7128,6867,6836,6799,6710,6600,6370,6274,7089,6799,6922,7102,7166,6706,167780,168369,168705,161245,158186,152604
3,294101,285301,300082,287501,286500,289121,145725,143416,143509,142259,136285,139412,271930,274459,276896,294285,270033,285512,150121,147650,148844,150487,144014,146634,433583,441171,429434,420910,407421,425903,7023,6880,7078,7066,6985,6868,500585,450459,483327,451855,450393,451605,7143,7161,7182,7048,6902,6872,362011,341487,352605,340380,339260,341724,7165,7090,7170,7076,7062,6827,370837,347797,340828,339379,346624,359469,7175,7106,7193,7003,6961,6871,148746,143010,146806,146535,152820,149011,7084,7148,6881,7062,6971,6716,151830,141915,144273,151104,148782,148969,177550,179696,180954,172987,169525,165169,152306,149069,150026,156326,156036,156751,166379,165540,167010,162472,154811,159432,147974,151544,154897,158377,155290,156067,162833,164776,167146,168156,159007,157200,154687,155254,157036,150705,153558,152002,189313,206615,193538,203242,212885,193863,133615,134420,133865,134311,133019,136323,155894,154516,156661,155002,148534,152494,7174,7226,7128,7197,6965,7130,7082,6726,6674,6728,6551,6432,7122,7186,7237,7276,7157,7029,7008,6757,6945,6792,6578,6424,7117,7107,7321,7144,7002,7011,6848,6605,6790,6542,6527,6324,7154,6885,6903,7235,7216,6847,167268,168098,166908,161548,156883,150956
3.5,355042,342000,361181,380823,338694,334584,143636,142911,141571,137861,134577,137965,333477,328669,330671,344227,329011,346295,147010,148677,148904,151987,146316,146986,584000,595369,646891,540606,518408,544532,6997,7121,7049,7178,6922,6872,646772,703933,618410,595053,574581,612547,7105,7130,7078,7227,6989,6894,458561,421754,429407,425745,416431,420107,6912,7217,7076,6989,6916,6988,463474,442752,418579,416102,430606,443793,7195,7182,7066,6996,7069,6946,143468,139391,144292,145612,149924,143270,6929,7309,7097,7127,7021,6700,149680,137436,141777,146156,146490,148361,177200,179259,179823,171496,169033,163298,159847,157725,154396,158071,163701,163668,167516,166777,168714,164130,155049,161411,153277,157619,162430,162538,159838,157997,164333,164990,168359,168077,160858,158564,158460,164186,164821,153839,155997,158715,195552,208591,265883,212253,223793,203190,130479,130545,128686,130426,128342,130626,153052,154525,155766,155439,143044,152160,7238,7137,7188,7138,7011,6992,6967,6935,6667,6960,6618,6530,7205,7183,7285,7085,7229,6973,6992,6594,6699,6767,6587,6373,7083,7122,7063,6989,6956,6850,6722,6798,6750,6572,6552,6293,7105,6842,6871,7255,7065,6863,165028,166341,166780,160060,156227,149266
4,409542,389267,420555,393562,412374,402744,144149,144562,144417,141036,136759,140751,383418,387278,383853,410161,384195,401058,150213,152679,152537,151076,145449,146548,755718,715183,687953,680378,649486,699809,6835,7090,6734,6846,6950,6748,828872,768312,779642,736432,704842,719438,7028,7150,7054,7113,6992,6911,521834,520279,525562,505959,497937,499781,7178,7094,7243,6981,6883,6855,560709,539170,511268,512546,523691,533216,7076,7271,7228,7118,7001,6863,151818,137770,144314,145198,148525,146816,7185,7169,6877,7160,7015,6651,148392,140318,144568,144848,148357,150391,176092,177891,179333,170465,166907,161147,174710,168844,166038,173235,176456,176017,168294,167719,169786,164512,156072,163197,164832,171093,176460,176670,171524,170048,164101,168098,169547,171713,161158,160115,165925,175327,177693,166066,170201,169843,204525,223174,292705,225585,246610,216218,135385,131679,136396,130959,130958,133582,153795,150272,155872,155428,140998,152386,7095,7060,6995,7237,7019,6961,6988,6781,6759,6636,6511,6171,7008,7143,7238,7147,7183,6989,6810,6721,6676,6574,6787,6335,6877,6997,7369,7209,7182,6858,6757,6749,6647,6700,6386,6250,7162,6840,7027,7235,7077,6982,163074,165303,165653,159357,156121,147668
4.5,494090,440104,490889,465951,469613,475397,165841,162106,159455,165347,159331,162589,431897,440803,423703,460708,448127,470259,150470,148338,149777,148097,144464,142108,952796,830163,834800,853875,821758,893804,6992,7084,6988,6925,7016,6866,993845,889457,936592,882146,877561,855891,6986,7004,7057,7095,6926,6705,641925,655309,624443,602008,626604,624693,7167,6997,7019,6969,6908,6645,678626,692142,616038,614866,606487,646535,7106,7127,6972,6722,6795,6865,191200,141363,145817,160505,169065,181110,7149,7026,6993,6934,6895,6661,150175,150475,167756,152542,176253,191664,175344,175468,176310,168207,165739,158482,194383,185790,182105,187859,197269,198955,169294,169453,169238,165364,156469,162791,179181,189043,192289,196078,188265,185638,164784,166650,169595,174063,161837,161925,178015,203144,196993,180840,183202,186725,215547,229708,215639,243277,252103,229458,159955,156244,176872,148852,154943,164101,151806,152898,154563,154628,139591,144674,7130,7096,7037,7145,6803,6905,7086,6616,6824,6683,6485,6374,6952,7160,7155,7208,6932,6937,6575,6802,6627,6502,6639,6299,6963,7113,7259,7153,7025,6840,6817,6691,6577,6624,6441,6261,7051,6879,7017,7131,6974,6856,161485,163763,163973,159204,155038,146590
