Time,lb 369 1,lb 369 2,lb 369 3,lb 369 4,lb 369 5,lb 369 6,lb 370 1,lb 370 2,lb 370 3,lb 370 4,lb 370 5,lb 370 6,lb 320 1,lb 320 2,lb 320 3,lb 320 4,lb 320 5,lb 320 6,lb 321 1,lb 321 2,lb 321 3,lb 321 4,lb 321 5,lb 321 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 3 7,lb 3 8,lb 3 9,lb 3 10,lb 3 11,lb 3 12,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,lb blank 7,lb blank 8,lb blank 9,lb blank 10,lb blank 11,lb blank 12
0,40057,39487,40351,42416,42484,40853,40003,40891,41238,41738,41778,41829,43394,43770,44141,43980,44897,44089,44395,43199,43471,43963,43376,43427,41113,41243,41440,40799,42291,42383,40145,40771,42047,40958,41988,41738,44043,45235,44497,44880,43421,43570,47704,46642,45072,46302,48891,48711,50251,49346,52538,49491,44608,49697,45450,47768,48069,49597,49045,48463,46834,48759,52738,50766,48138,47158,44374,48130,48864,45445,45710,46842,39904,41177,41273,41160,40197,40894,40221,40523,40616,40949,40357,40129,44100,43865,43636,42498,41961,41345
0.5,38479,38008,38808,41191,39964,39749,38159,39100,39725,40076,40088,40338,42554,43043,43841,43813,44640,43272,43757,43169,43514,43539,42439,42316,39015,39027,39614,39271,40057,40303,38353,38565,39843,39127,38860,39111,42719,43482,42980,43539,41771,41636,48224,48160,45399,46889,50058,49185,50249,48645,50515,48324,42664,47878,46415,48889,53122,51515,49709,49787,45247,48200,51367,49394,46612,45674,44023,71876,52149,45934,45760,47909,38276,39892,38917,39137,38323,39150,38879,38654,39049,39286,38165,38100,42833,42973,42687,41086,40189,39021
1,37688,37978,38537,40878,40585,39252,37487,38864,39189,39136,39514,39699,43961,44536,45110,44335,45270,43904,43969,43816,44404,45014,43847,43633,39328,39367,39559,38743,39772,39705,38362,38032,40045,38567,39164,39106,42608,43997,43722,43570,42007,42075,53828,53849,49174,50737,55268,55052,49461,48492,52484,48802,42237,47814,48169,53323,57782,69631,55011,53929,45095,48137,51264,49822,46023,45333,47059,53488,59405,50838,49634,51992,37483,39091,38280,39040,38142,38742,38840,38533,39328,38784,38081,37921,42395,42253,42182,41248,39806,38587
1.5,37362,36977,37222,39658,38806,38278,36924,37462,37712,37713,38428,38751,44373,44394,45374,44340,45865,44246,45002,45020,45149,45067,44041,44309,38148,38063,38339,37613,39003,38751,37030,36861,38373,37477,37665,37608,42423,43428,43429,44229,41840,41572,58515,58621,52365,54584,68094,56217,52047,62880,51814,50548,43413,49796,51526,68709,63683,67273,59839,62006,46073,49740,51615,52846,47826,46542,50351,68072,64876,54130,61077,55860,36457,38041,37859,37859,37363,38138,38159,38390,38941,38678,37320,37802,42202,42683,42337,40275,39665,38244
2,35616,35148,35672,37295,36591,36180,35268,35508,35796,36207,36561,36365,45825,46225,47036,46573,47359,46014,46754,46668,46086,46742,45665,45309,36047,35772,36490,36304,36096,35941,35224,35150,36053,35106,34907,35073,42820,43680,43184,44109,41531,41431,67222,68065,62705,71429,70971,68339,53837,54874,55987,53041,44279,52520,58477,67966,73156,74493,71528,73054,47103,52337,54498,67335,49813,48969,65426,85962,76353,61259,71725,64303,34726,36133,35193,36368,35447,35642,38580,37954,39106,39071,37266,37833,42309,42493,42128,40344,39506,38166
2.5,34069,33188,34525,35595,35344,35087,34289,34397,35808,35291,35288,35979,49290,49297,49551,48208,49453,47837,49500,49517,48979,49660,48105,47823,34102,33159,34306,33583,33920,33745,33472,33450,33807,33297,33609,33872,42953,43206,43773,44021,42085,41165,79728,82186,68979,72932,82428,78086,55823,57055,59095,54762,44981,55259,75267,78724,85157,85446,80053,77141,48313,52849,56148,60222,51113,50846,67723,84969,89150,71901,70518,74161,33204,34243,33202,34442,33320,34278,38273,38572,39133,38267,36507,36948,41832,41612,41638,40601,39245,37560
3,34506,33261,34307,34659,35296,34368,34357,34584,35458,35105,35559,35076,52224,52323,53089,51807,53410,50368,52305,52206,52250,52535,50519,50987,33183,32221,32835,32188,32332,32743,33107,33207,33615,32937,32808,33046,42010,43869,43276,43559,41548,41465,96996,101352,85789,87875,98626,91553,59556,58156,62704,56983,46464,57715,83263,94718,103072,114633,95957,92081,49988,55732,59660,64946,53196,54361,88489,108298,104672,81636,84515,88514,31904,32133,31830,32413,31609,32727,38598,37986,38957,38608,36031,37553,41331,41721,41319,40188,38928,37345
3.5,35274,34176,35170,34922,35751,35099,34483,35233,37189,34864,35388,35752,59343,59307,57840,58388,59195,56925,59129,59508,59644,60423,57562,57196,31751,31036,31607,30605,30840,31021,32671,32409,32698,32648,31834,32422,42758,43739,43530,43730,42063,41066,129734,135347,120892,124665,142566,125403,62683,57826,64515,60710,48826,62283,107781,122149,144360,140075,124639,121222,55228,61358,63188,72299,55506,58159,108978,127311,140004,111304,114048,112820,30748,31024,30471,30789,30451,31104,37971,37974,38786,38239,35354,37094,40554,41121,41234,39676,38550,37004
4,37340,35558,36250,37310,37369,37265,36545,36490,36682,36714,36621,37767,66657,64785,69900,64660,65796,64516,66240,66963,67272,68452,64903,65129,31301,30418,31290,30660,30407,30624,32523,32097,32359,31819,31883,32012,42530,43457,43405,43795,41846,41065,147850,153233,132056,135525,158216,150993,66427,65710,70297,64083,50489,66884,129354,150705,167233,171612,153928,142087,53901,65133,68037,73294,58894,60838,135247,155800,171619,134900,138011,137442,30649,30631,30802,30719,30221,30622,37923,37175,38530,38433,33908,37574,40324,40478,40655,39409,38588,36268
4.5,38869,37747,37708,38870,38649,38125,38242,37582,38881,37863,38133,38562,78225,76123,81082,78540,78650,72294,77080,80229,77816,77590,77587,75690,31689,30400,30942,30575,30309,30477,31156,30994,31781,31145,31127,31760,42555,44025,43822,43287,41558,40946,184406,179325,161020,162170,185931,179063,72458,65516,76509,70040,52564,75894,158869,170755,190695,201433,182337,176978,56994,66169,74378,76472,62838,66338,150035,189256,189600,158168,159485,164315,30982,31379,31537,31198,30472,31312,37112,37093,38130,38430,33595,36989,40029,40157,40284,39447,38029,36260
