Time,lb 446 1,lb 446 2,lb 446 3,lb 446 4,lb 446 5,lb 446 6,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,151242,150718,146160,187744,152175,148834,126650,137425,135489,129835,121171,128845,146211,144764,144579,140128,130459,136554
0.5,143330,139832,136436,147391,141821,135880,114577,123732,123517,116507,110074,116389,134350,134188,134199,128406,120199,125610
1,140046,137350,136296,146225,139440,133929,113178,123546,122112,115567,109544,114781,132543,133842,132310,126643,118209,122962
1.5,143225,139643,138895,151037,141168,135331,111954,122499,121397,115202,108524,113950,131069,131462,131569,125888,116666,120790
2,145764,143845,140769,181311,151441,139574,110765,121208,120608,113586,108127,112979,127805,130317,130368,124916,115726,119565
2.5,162124,148774,143132,159269,146141,142751,110667,120191,119762,113601,107292,111882,126758,127913,127754,122861,113865,117627
3,159268,154164,192351,163864,150292,144627,110665,119594,119041,113183,107425,114275,124607,126749,126753,121977,112653,116408
3.5,162868,161709,152556,170840,155406,185234,110937,119886,120994,113545,108050,113025,122016,126178,125238,120045,111184,114261
4,180709,169302,200109,207341,160053,219143,112010,122211,120764,114385,108714,118208,118964,123682,123588,119982,109914,112936
4.5,183141,182118,165168,221546,170453,212069,112800,121866,121607,115525,108849,118333,117576,123060,122368,118003,109477,112350
5,198411,198973,203623,230959,216884,249113,112806,120894,120519,114960,110029,114016,115885,121642,122239,118228,108207,110226
5.5,229221,219683,245319,227060,187382,264302,111771,120258,118573,113180,109122,112984,112462,119943,120573,116670,107829,109057
6,253842,247361,365884,292744,237823,284194,112805,120983,117568,113543,108344,112013,109505,117539,118211,115767,105541,107130
6.5,277937,278569,328458,319263,228852,295655,113648,120407,118479,114316,107199,112216,106857,116447,116726,114313,104540,106054
7,312202,306655,332318,343950,297895,375027,111481,118091,117392,112756,106303,113121,104823,114073,116051,112967,102801,104358
7.5,326258,335229,381166,397646,293653,364145,115179,121143,123026,113929,108713,115703,99655,111882,114299,111761,102837,101658
8,357888,393470,405642,431318,339576,429342,117216,128391,129704,119823,110381,117894,97368,111224,113480,111471,102454,100926
8.5,376621,414653,453805,422913,365687,411162,118725,131401,120817,124147,114036,119479,93593,108671,111276,110164,100824,98644
9,414771,441646,448970,415825,396104,386527,120742,129001,125423,125721,118289,121178,90215,105510,108992,108250,99973,96564
9.5,446019,451776,469771,437193,452633,414073,119015,117027,117280,113885,119820,124770,85727,103052,107736,106665,97829,94719
10,460787,476306,509042,475186,426694,456031,126064,133490,120168,118282,117822,127247,80934,104546,105614,105603,97257,92209
10.5,492904,694487,512691,478268,442015,469297,126775,144226,130307,117384,117655,115187,76913,98872,102989,103725,95369,89663
11,528697,734443,468375,497041,500782,500334,135187,134930,124060,128716,133091,118353,72234,99627,102049,102773,94187,87999
11.5,545704,946565,538274,539117,544268,556573,138571,146093,132611,121465,138487,117663,66602,94505,99452,100626,92453,85110
12,586556,834365,614523,673936,514351,624931,141459,149589,131664,134093,131510,124388,62430,91366,97659,100484,91353,83178
12.5,640607,1308866,531121,580338,538340,780379,146358,147638,149266,143005,149327,138850,56968,87652,95543,97636,89946,81010
13,684620,1120259,555940,664557,551540,1007796,149635,152179,141964,142330,142450,139265,51419,84916,94455,97578,89458,78834
13.5,671130,1244526,607660,703893,571986,816370,151386,158491,158796,149817,157511,151754,45300,82877,91861,94868,87391,75556
14,717791,1187458,604775,768945,646417,1161216,158772,153427,152697,174379,143723,157268,39330,78536,89555,93647,85690,72741
14.5,737908,1133117,697425,912392,597042,1180239,163357,175089,157112,182732,141851,164974,33210,75424,86211,91823,83632,69684
15,739172,628909,605341,856760,655889,978195,165831,169892,172938,189285,155062,160209,25584,71576,83605,89177,81845,66846
15.5,748275,1017518,622217,929518,618963,964376,171709,179249,175745,197928,151471,168852,18448,68969,82050,88086,80594,64818
16,779655,1421053,643229,872569,631241,985546,175020,180354,193135,202353,181014,172215,10130,64734,77871,85334,78261,60769
