Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lbgm50 308 1,lbgm50 308 2,lbgm50 308 3,lbgm50 308 4,lbgm50 308 5,lbgm50 308 6,lbgm50 311 1,lbgm50 311 2,lbgm50 311 3,lbgm50 311 4,lbgm50 311 5,lbgm50 311 6,tcm 308 1,tcm 308 2,tcm 308 3,tcm 308 4,tcm 308 5,tcm 308 6,tcm 311 1,tcm 311 2,tcm 311 3,tcm 311 4,tcm 311 5,tcm 311 6,tcmgm50 308 1,tcmgm50 308 2,tcmgm50 308 3,tcmgm50 308 4,tcmgm50 308 5,tcmgm50 308 6,tcmgm50 311 1,tcmgm50 311 2,tcmgm50 311 3,tcmgm50 311 4,tcmgm50 311 5,tcmgm50 311 6,empty,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,empty,empty,empty,empty,empty,empty,empty,lbgm50 309 2,lbgm50 309 3,lbgm50 309 4,lbgm50 309 5,lbgm50 309 6,empty,empty,empty,empty,empty,empty,empty,tcm 309 2,tcm 309 3,tcm 309 4,tcm 309 5,tcm 309 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,tcmgm50 309 2,tcmgm50 309 3,tcmgm50 309 4,tcmgm50 309 5,tcmgm50 309 6,tcm blank 1,tcm blank 2,tcm blank 3,tcm blank 4,tcm blank 5,tcm blank 6
0,9296331,9056488,9830981,9430873,10026409,10139113,9561898,9578369,9496200,9762138,9184922,9505824,9081841,9346853,9849118,9691628,9201578,9641661,9589288,9540246,9849303,9396451,9164565,9043163,9375353,9446418,9450859,9709024,10031406,10019007,10041399,9926104,9454561,9360363,9345003,9546353,9909449,9871140,10024744,9945906,10131711,10082484,10127269,10174831,10098584,9943315,9902231,9998650,5377411,10164652,10343979,10684868,10235347,9681450,10220727,9942390,9956825,10221652,10328619,10328989,6402296,10291606,10190746,10135042,10204626,9887241,9715871,10235162,9846527,10082484,10045656,10089331,8621402,10055834,10538297,10355453,9890017,9653690,9909449,10061757,10015305,10306411,9697550,9558937,9824689,9815806,9920367,9841900,10239048,9829316,9648323,9960897,9967374,10325473,9359253,9766764
0.5,9191399,9590768,9988101,9442532,9865218,9501382,9505268,9732157,9454006,9806923,9128663,9391084,8834225,9271347,9488242,9675898,9768615,9389233,9516187,8985978,9542466,9607054,9186218,8963030,9286708,9486207,9238406,9780829,9725310,9888166,9601317,9936098,9416438,9327792,9340746,9411441,9828946,9778978,9637034,9949978,9856520,10153178,10069714,10466492,9487502,10072305,9777313,9944241,5118136,10172795,10256074,9676453,9480840,9456226,10148367,9894829,10340093,10262181,10378772,10271064,5664075,10355639,10277171,10177422,10246266,10151698,9872621,10173535,9927585,10232571,10371739,10203146,7604474,10091367,10260701,10263291,10046766,9687187,9961267,10115610,10317145,10448171,10013455,9934432,8854397,9444197,9905562,10199814,9918517,10022893,9872251,9607979,9805998,10006607,9491944,9808959
1,8980426,9025027,9844121,9895384,10118201,9337230,9488983,9477509,9383126,9622969,9102013,9202318,8821086,9290409,9799335,9701622,9461223,9456411,9643881,8963585,9681264,9331123,9150685,8926758,9444752,9534879,9260243,9716427,9822098,9858556,9406444,10006422,9323720,9229338,9288558,9313172,9891312,9797670,10042510,9837829,9728271,10267733,10117831,10189266,9405149,9701066,9770280,9835608,5480306,10084704,10348236,10081373,9945536,9427171,10008088,10424482,10303821,10160396,10163727,10255149,5595046,10388395,10163357,10159100,10045656,10239603,10065273,10158545,9949793,9977737,10187785,10173165,7676649,10055094,10227019,10233681,10081003,9699401,9970705,9977552,10535336,10525342,10070084,9948497,8876605,9428282,9736784,9944056,9691073,10038253,10048062,10059721,10214435,9939799,9635369,9839865
1.5,8947670,9217494,9793969,9869660,9754735,9654245,9600021,9435499,9627596,9715131,9076660,9232854,8790550,9203058,9744741,9692924,9351295,9469921,9617602,9181961,9582995,9273383,9083137,8946374,9345373,9389603,9233779,9658687,9819507,9837274,9529882,9948867,9348519,9045384,9367210,9303363,9726605,9719388,9972556,9872066,9726975,10340648,10056205,9917591,9581145,9685336,9744186,9665349,5439037,9995504,10368963,10485183,10010124,9506934,9969224,10366187,10474080,10193892,10235532,10196483,5537121,10248116,10165948,9907598,10110243,10053614,10169649,10184084,9946462,9941280,10138558,10051578,7689788,10069344,10198519,10435216,10329544,9869845,9804517,10085445,10459089,10495917,10029740,10049727,8963770,9448084,9666274,9501567,9821173,9936468,9962377,10159841,10160581,10007163,9592249,9760102
2,8953777,9376834,9834498,9679784,9769725,10120977,9771576,9601502,9926104,9797115,9227302,9242292,8858654,9113487,9733638,9628521,9345188,9493979,9449009,9398116,9421804,9386827,9119409,8832745,9297441,9391639,9503973,9841160,9957750,10057130,9604093,9947017,9396080,9110341,9392564,9401632,9669420,9766394,9888721,9905377,10053058,10344165,9850413,9680524,9823394,9796559,9855780,10026964,5191051,9992172,10315295,10583082,10170019,9567265,9989211,10209438,10549586,10389690,10279392,10244970,5596157,10222022,10225353,9984770,10398388,9998279,10147256,10362116,10102841,10335837,9983474,10274580,7593000,10109503,10324363,10560505,10666731,10113019,9850783,10289386,10339538,10532930,10038253,10047877,9072773,9603167,9763433,9413106,10056760,9930916,9981439,10283834,9971260,10263106,9288928,9905007
2.5,8955443,9536544,9895939,9780274,9904637,10316775,10040659,9687557,9958676,9811180,9169377,9178630,8878456,9133844,9815621,9651284,9385162,9615382,9512486,9291149,9462519,9421989,9104419,8814239,9432723,9226192,9537470,9910374,10363041,10297898,10010124,10084149,9484726,9208425,9255247,9394785,9657946,9742336,9873916,9961267,10136893,10354898,9880579,9758066,9874472,9793969,9851524,9773241,5215109,10050097,10312889,10401534,10295123,9636479,10032146,10216840,10570313,10440583,10349716,10396723,5661669,10188711,10279577,10121902,10474820,10019747,10046211,10489255,10198149,10344720,10052873,10380622,7753080,10131526,10369888,10583453,10695231,10148182,9912595,10465937,10487219,10586784,10093588,10119682,9083137,9670901,9739190,9436424,10185750,9991432,10050653,10326213,10037698,10255704,9512671,9930361
3,9092020,9349629,9870955,9912040,9766579,9966634,9961822,9595025,9886686,9824689,9123851,9245808,8866242,9150870,9804702,9605573,9402743,9629261,9506564,9604648,9340931,9365175,9143838,8965621,9374058,9216198,9512486,9915926,10355639,10278467,9889277,10067123,9449194,9214532,9317798,9407554,9644622,9744556,9917777,9976257,10064718,10385249,9901861,9660352,9874657,9812105,9884280,9976627,5180688,10023633,10402460,10528859,10303450,9587437,10006607,10286239,10597517,10412083,10293087,10393577,5606705,10217766,10274765,10138188,10467232,10010309,10045656,10538297,10202775,10451872,10050283,10384694,7732353,10109318,10459089,10580677,10722806,10172240,10016786,10598628,10397093,10549401,10121717,10047692,8914728,9675157,9714206,9416808,10101545,10019377,10030851,10332505,10071935,10285684,9497866,9910189
3.5,9079251,9370542,9849858,9841900,9828020,10342869,10048062,9934432,9839494,9915926,9256727,9207685,8840888,9127737,9831352,9595950,9462704,9662018,9583736,9552830,9399412,9366470,9083507,8998192,9390714,9198432,9517668,9846527,10345090,10334541,10134487,10134857,9616862,9330938,9156607,9393860,9696440,9750108,9887056,10024188,10106172,10373405,9899270,9615011,9918887,9847267,9886871,9795449,5206226,10075081,10391911,10156694,10225908,9681820,10052688,10200370,10507021,10303821,10293457,10477226,5666481,10194633,10326954,10259775,10531635,10030666,9965338,10744088,10263662,10481297,10155399,10383028,7788057,10135227,10373035,10613988,10738721,10269954,10087851,10653222,10441878,10472414,10141519,10017526,9117374,9691628,9758621,9461778,10137263,10019747,10075451,10372479,10131526,10336762,9535064,9914816
4,9008556,9538580,9873361,9780644,9813956,10291236,9927215,9855410,9860407,9861147,9221195,9162344,8787219,9070367,9710320,9514337,9323350,9858186,9493054,9746777,9501197,9407554,9072588,8777411,9234704,9127737,9443087,9624820,10231275,10227759,10120607,9924439,9698290,9319649,9208055,9340376,9592804,9555421,9671456,10069714,10232016,10228499,9882614,9417178,9920182,9792673,9880764,9699586,5056880,10124863,10153919,10008643,10036403,9585401,9999020,10400609,10374515,10178717,10239788,10464271,5671293,10143740,10328249,10292532,10426333,9889277,9891682,10943588,10192227,10362116,10261441,10369888,7798791,10120977,10541443,10589375,10668767,10477596,10090627,10594371,10523492,10351197,10174831,9966819,8905475,9671456,9840605,9530067,10222577,10184824,10117646,10452982,9929991,10316035,9306324,9868735
4.5,9067777,9645732,9915741,9649248,9943871,10384138,10117646,9854114,9999390,9876322,9167896,9255247,8822752,9131069,9754550,9572077,9365545,9983289,9597430,9818952,9426801,9363139,9147169,8780927,9400707,9165120,9491944,9708654,10328619,10289571,10184824,10113574,9537099,9358698,9219714,9392749,9640550,9575038,9758251,10100065,10309558,10290866,9964968,9521554,9973111,9878358,9915186,9789712,5084454,10194818,10241639,10181678,10195743,9652024,10041029,10352307,10540518,10432440,10359155,10445580,5737916,10216655,10371554,10312519,10552732,10046581,9973111,10883257,10342684,10577531,10144110,10387655,7852275,10171315,10549771,10655813,10760004,10478151,10144480,10732429,10523122,10539407,10222762,10115425,8988384,9722164,9855225,9545612,10296603,10208142,10191857,10505541,10029000,10341574,9522294,9815436
