Time,lb 308 1,lb 308 2,lb 308 3,lb 308 4,lb 308 5,lb 308 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 309 1,lb 309 2,lb 309 3,lb 309 4,lb 309 5,lb 309 6,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,lb 317 1,lb 317 2,lb 317 3,lb 317 4,lb 317 5,lb 317 6,empty,empty,empty,empty,empty,empty,lb 318 1,lb 318 2,lb 318 3,lb 318 4,lb 318 5,lb 318 6,empty,empty,empty,empty,empty,empty,lb 323 1,lb 323 2,lb 323 3,lb 323 4,lb 323 5,lb 323 6,empty,empty,empty,empty,empty,empty,lb 324 1,lb 324 2,lb 324 3,lb 324 4,lb 324 5,lb 324 6,empty,empty,empty,empty,empty,empty,lb 366 1,lb 366 2,lb 366 3,lb 366 4,lb 366 5,lb 366 6,empty,empty,empty,empty,empty,empty,lb 367 1,lb 367 2,lb 367 3,lb 367 4,lb 367 5,lb 367 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,0.098,0.109,0.102,0.105,0.097,0.101,0.087,0.091,0.09,0.092,0.093,0.101,0.114,0.102,0.103,0.103,0.104,0.103,0.083,0.086,0.084,0.091,0.091,0.092,0.1,0.105,0.098,0.093,0.096,0.098,0.083,0.084,0.083,0.084,0.085,0.087,0.1,0.103,0.103,0.104,0.101,0.104,0.084,0.084,0.084,0.084,0.083,0.086,0.1,0.093,0.095,0.095,0.094,0.093,0.084,0.084,0.086,0.084,0.084,0.087,0.098,0.098,0.095,0.101,0.099,0.098,0.084,0.085,0.084,0.084,0.085,0.088,0.099,0.09,0.099,0.098,0.089,0.094,0.084,0.084,0.087,0.084,0.09,0.087,0.095,0.099,0.102,0.088,0.096,0.094,0.08,0.089,0.078,0.08,0.083,0.08
0.5,0.102,0.105,0.106,0.103,0.099,0.101,0.096,0.096,0.096,0.101,0.098,0.101,0.106,0.106,0.104,0.106,0.103,0.103,0.094,0.1,0.099,0.104,0.107,0.121,0.104,0.103,0.099,0.099,0.098,0.102,0.083,0.084,0.083,0.084,0.085,0.086,0.103,0.105,0.104,0.104,0.102,0.108,0.084,0.083,0.084,0.085,0.084,0.086,0.114,0.107,0.109,0.107,0.105,0.104,0.084,0.084,0.086,0.084,0.084,0.087,0.112,0.11,0.104,0.106,0.105,0.11,0.085,0.085,0.084,0.084,0.086,0.088,0.107,0.097,0.099,0.099,0.097,0.096,0.085,0.084,0.087,0.084,0.09,0.088,0.102,0.104,0.102,0.094,0.098,0.095,0.081,0.08,0.079,0.08,0.081,0.08
1,0.125,0.13,0.129,0.129,0.117,0.125,0.108,0.112,0.112,0.125,0.12,0.121,0.13,0.124,0.125,0.129,0.12,0.123,0.106,0.118,0.117,0.124,0.13,0.153,0.123,0.122,0.117,0.114,0.114,0.121,0.083,0.084,0.083,0.085,0.085,0.086,0.116,0.123,0.12,0.124,0.12,0.127,0.084,0.084,0.084,0.084,0.084,0.086,0.136,0.126,0.129,0.126,0.124,0.126,0.084,0.084,0.086,0.084,0.084,0.087,0.135,0.13,0.121,0.124,0.121,0.128,0.085,0.085,0.084,0.085,0.086,0.088,0.127,0.11,0.115,0.119,0.115,0.116,0.086,0.084,0.087,0.085,0.091,0.088,0.117,0.118,0.118,0.102,0.111,0.106,0.082,0.08,0.079,0.08,0.081,0.081
1.5,0.165,0.174,0.178,0.171,0.151,0.156,0.14,0.149,0.148,0.155,0.155,0.162,0.167,0.159,0.161,0.172,0.156,0.158,0.127,0.148,0.149,0.161,0.171,0.205,0.158,0.156,0.147,0.143,0.143,0.154,0.083,0.084,0.084,0.085,0.085,0.087,0.146,0.155,0.151,0.157,0.151,0.159,0.084,0.084,0.084,0.085,0.084,0.086,0.174,0.161,0.165,0.158,0.157,0.159,0.085,0.085,0.086,0.084,0.084,0.087,0.17,0.162,0.148,0.15,0.15,0.16,0.085,0.085,0.084,0.085,0.086,0.088,0.164,0.135,0.15,0.154,0.149,0.151,0.086,0.084,0.088,0.085,0.091,0.088,0.142,0.146,0.148,0.121,0.136,0.129,0.081,0.08,0.079,0.08,0.081,0.081
2,0.236,0.228,0.252,0.209,0.233,0.218,0.216,0.198,0.215,0.213,0.222,0.242,0.232,0.232,0.221,0.241,0.234,0.215,0.176,0.218,0.22,0.242,0.257,0.301,0.222,0.194,0.188,0.205,0.202,0.224,0.083,0.084,0.084,0.084,0.085,0.086,0.22,0.223,0.225,0.198,0.196,0.206,0.084,0.084,0.084,0.085,0.084,0.086,0.27,0.229,0.236,0.222,0.223,0.222,0.084,0.084,0.086,0.084,0.084,0.087,0.264,0.228,0.204,0.206,0.21,0.227,0.084,0.085,0.084,0.085,0.086,0.088,0.212,0.178,0.241,0.239,0.234,0.199,0.086,0.084,0.088,0.085,0.091,0.088,0.19,0.206,0.208,0.162,0.169,0.156,0.082,0.08,0.079,0.081,0.081,0.081
2.5,0.262,0.266,0.297,0.276,0.342,0.292,0.308,0.284,0.299,0.328,0.317,0.321,0.314,0.33,0.298,0.318,0.351,0.315,0.25,0.301,0.308,0.366,0.335,0.347,0.315,0.286,0.274,0.319,0.292,0.35,0.083,0.084,0.084,0.084,0.085,0.086,0.286,0.268,0.275,0.309,0.283,0.294,0.084,0.084,0.084,0.084,0.084,0.086,0.322,0.298,0.316,0.298,0.3,0.305,0.084,0.084,0.086,0.084,0.084,0.087,0.337,0.256,0.323,0.32,0.336,0.336,0.085,0.086,0.084,0.084,0.086,0.088,0.25,0.257,0.295,0.275,0.318,0.256,0.086,0.084,0.087,0.084,0.091,0.088,0.261,0.327,0.316,0.2,0.27,0.273,0.082,0.08,0.079,0.081,0.081,0.081
3,0.355,0.314,0.379,0.333,0.372,0.336,0.351,0.551,0.37,0.386,0.374,0.408,0.348,0.367,0.35,0.398,0.392,0.371,0.31,0.345,0.35,0.381,0.384,0.4,0.348,0.336,0.334,0.38,0.354,0.366,0.083,0.084,0.084,0.085,0.085,0.086,0.296,0.333,0.311,0.325,0.322,0.313,0.084,0.084,0.084,0.085,0.084,0.086,0.305,0.31,0.291,0.275,0.267,0.274,0.084,0.084,0.086,0.084,0.084,0.086,0.392,0.274,0.374,0.367,0.35,0.34,0.085,0.085,0.084,0.085,0.085,0.088,0.338,0.312,0.412,0.328,0.393,0.359,0.086,0.084,0.088,0.084,0.091,0.088,0.358,0.383,0.382,0.319,0.393,0.328,0.082,0.08,0.079,0.081,0.081,0.081
3.5,0.384,0.382,0.448,0.398,0.44,0.424,0.429,0.418,0.438,0.472,0.445,0.439,0.41,0.449,0.428,0.516,0.496,0.446,0.387,0.415,0.416,0.417,0.415,0.433,0.44,0.452,0.444,0.475,0.441,0.456,0.083,0.084,0.084,0.084,0.085,0.086,0.309,0.416,0.353,0.374,0.37,0.392,0.084,0.083,0.084,0.085,0.084,0.086,0.295,0.35,0.291,0.319,0.3,0.28,0.084,0.084,0.086,0.084,0.084,0.086,0.366,0.257,0.408,0.416,0.394,0.33,0.085,0.085,0.084,0.084,0.085,0.088,0.408,0.409,0.388,0.327,0.496,0.491,0.086,0.084,0.087,0.084,0.091,0.088,0.415,0.431,0.42,0.504,0.424,0.356,0.082,0.08,0.079,0.081,0.081,0.08
4,0.489,0.536,0.533,0.511,0.505,0.502,0.482,0.476,0.491,0.498,0.501,0.486,0.461,0.516,0.51,0.511,0.502,0.525,0.425,0.449,0.44,0.461,0.462,0.466,0.454,0.49,0.438,0.535,0.451,0.466,0.084,0.084,0.084,0.085,0.085,0.086,0.379,0.368,0.383,0.411,0.378,0.351,0.084,0.084,0.084,0.085,0.084,0.086,0.374,0.439,0.396,0.367,0.36,0.343,0.084,0.084,0.086,0.084,0.084,0.087,0.428,0.346,0.43,0.432,0.431,0.359,0.085,0.085,0.084,0.085,0.086,0.088,0.43,0.415,0.442,0.419,0.487,0.479,0.086,0.085,0.088,0.085,0.091,0.088,0.441,0.482,0.457,0.377,0.426,0.406,0.082,0.08,0.079,0.081,0.081,0.081
4.5,0.534,0.601,0.624,0.595,0.698,0.599,0.591,0.536,0.553,0.644,0.558,0.529,0.569,0.57,0.587,0.59,0.815,0.654,0.467,0.494,0.484,0.596,0.517,0.557,0.659,0.424,0.515,0.666,0.656,0.675,0.083,0.084,0.084,0.085,0.085,0.086,0.451,0.452,0.447,0.681,0.433,0.451,0.084,0.084,0.084,0.085,0.084,0.086,0.411,0.566,0.426,0.549,0.474,0.572,0.084,0.084,0.086,0.084,0.084,0.087,0.524,0.461,0.493,0.301,0.404,0.479,0.085,0.086,0.084,0.084,0.085,0.088,0.528,0.454,0.55,0.533,0.547,0.464,0.086,0.085,0.088,0.085,0.091,0.088,0.534,0.583,0.535,0.588,0.485,0.511,0.082,0.08,0.079,0.08,0.081,0.08
