Time,lb 369 1,lb 369 2,lb 369 3,lb 369 4,lb 369 5,lb 369 6,tsb 75 1,tsb 75 2,tsb 75 3,tsb 75 4,tsb 75 5,tsb 75 6,lb 370 1,lb 370 2,lb 370 3,lb 370 4,lb 370 5,lb 370 6,tsb 76 1,tsb 76 2,tsb 76 3,tsb 76 4,tsb 76 5,tsb 76 6,lb 320 1,lb 320 2,lb 320 3,lb 320 4,lb 320 5,lb 320 6,tsb 1 1,tsb 1 2,tsb 1 3,tsb 1 4,tsb 1 5,tsb 1 6,lb 321 1,lb 321 2,lb 321 3,lb 321 4,lb 321 5,lb 321 6,empty,empty,empty,empty,empty,empty,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,empty,empty,empty,empty,empty,empty,lb 6 1,lb 6 2,lb 6 3,lb 6 4,lb 6 5,lb 6 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6,empty,empty,empty,empty,empty,empty,tsb blank 1,tsb blank 2,tsb blank 3,tsb blank 4,tsb blank 5,tsb blank 6
0,409,390,404,422,446,420,977,754,973,830,1027,913,432,442,439,429,421,413,932,876,841,1032,774,836,406,449,420,430,403,444,588,639,621,617,649,667,481,422,454,438,438,450,148,162,153,180,150,170,471,411,417,417,461,439,153,156,120,137,165,153,413,409,479,469,452,446,180,166,160,145,168,138,392,415,390,392,419,411,433,451,457,431,455,484,446,435,409,418,406,426,633,698,636,608,677,602
0.5,434,397,405,438,408,414,1421,1398,1269,1417,1605,1410,386,344,423,426,401,449,1510,1584,1524,1522,1368,1358,397,411,445,409,423,433,559,612,568,592,525,523,427,395,368,446,402,416,149,149,168,145,159,135,390,417,414,392,425,429,153,154,144,146,164,163,393,418,407,414,405,433,133,151,161,146,148,151,429,416,369,422,454,357,434,480,454,424,391,415,410,405,402,415,397,410,651,597,636,642,594,585
1,402,392,397,442,419,385,2050,2048,1911,2081,2345,2093,406,401,455,367,443,400,2326,2377,2230,2218,2037,1954,392,411,455,403,459,415,562,561,582,556,524,560,400,466,416,421,413,415,139,164,124,146,152,144,425,399,403,446,409,415,139,147,169,145,142,156,438,329,412,426,408,410,157,164,175,151,150,135,391,445,420,406,414,409,442,431,455,475,421,367,389,393,409,399,431,411,596,600,609,630,596,619
1.5,420,378,346,384,420,387,3230,3288,3019,3316,3686,3501,397,381,430,417,392,422,3859,3935,3557,3670,3146,3140,398,430,447,410,439,429,556,524,506,550,485,546,422,392,429,395,371,423,142,147,154,140,128,161,400,397,438,414,398,382,155,151,139,134,151,133,385,373,396,390,372,423,151,165,132,152,148,138,412,425,424,434,439,419,425,427,428,482,425,426,401,434,407,400,397,420,641,635,604,603,635,567
2,394,357,362,398,353,363,5130,5102,5062,5320,5805,5545,377,356,357,374,386,370,6149,5987,5852,5618,5415,5380,368,408,385,389,433,392,514,498,495,501,499,525,430,386,414,378,364,371,160,156,145,116,146,135,392,370,373,406,401,407,181,152,165,172,145,153,363,381,370,362,377,372,139,149,122,146,159,152,396,434,402,412,400,409,432,425,442,409,439,422,369,394,387,390,401,451,640,627,645,577,613,656
2.5,385,356,340,357,327,333,7530,7377,7447,7298,7628,7925,366,356,388,359,363,369,8081,7927,7809,7943,7615,7714,411,346,347,383,411,404,417,415,469,494,481,453,359,370,389,345,356,376,166,147,146,143,164,150,371,325,344,356,386,335,117,162,139,144,165,138,361,364,365,357,345,355,188,140,144,128,144,143,379,424,406,393,392,433,447,458,416,445,422,441,457,405,399,426,361,426,658,630,602,606,611,695
3,396,408,338,422,384,366,8841,8731,8493,8342,8976,8995,410,433,419,373,361,359,9357,8814,8863,9123,8951,9066,438,395,414,404,388,406,434,408,417,449,441,463,378,359,379,403,402,372,160,152,152,137,141,149,378,365,405,384,421,390,140,154,168,154,153,139,396,357,380,329,376,371,149,152,150,158,145,151,434,407,393,396,420,430,433,438,500,437,424,440,437,412,369,381,387,407,686,668,632,611,622,644
3.5,403,380,403,389,380,393,9405,9226,9399,9201,9567,9924,410,381,398,393,389,407,10059,9437,9749,9871,9785,10038,415,414,429,403,447,438,465,422,419,433,419,379,408,398,386,429,377,409,170,166,128,143,147,147,388,338,384,391,363,358,152,160,139,141,122,144,448,405,386,389,387,387,145,148,161,154,124,131,423,416,372,415,443,416,437,443,416,459,444,429,416,399,406,433,414,403,686,650,596,562,559,587
4,443,387,429,438,424,432,10684,10285,10320,10044,10839,11188,411,391,414,431,418,438,11633,10723,10868,11086,10888,11051,479,461,462,503,507,480,401,420,403,399,404,383,527,489,450,487,442,435,176,129,139,99,145,128,425,359,434,381,373,364,140,156,124,156,139,153,495,494,447,454,436,449,173,135,141,147,143,172,400,451,369,425,399,447,410,455,440,455,413,417,401,404,431,387,435,413,662,639,638,578,582,667
4.5,515,468,469,464,462,496,13418,12906,12465,12381,13042,13408,474,519,448,445,501,513,14683,13078,13152,13484,13314,13284,545,572,558,510,488,555,463,425,388,449,426,390,502,544,518,534,559,561,139,151,157,162,160,158,424,483,489,433,439,442,161,147,155,145,131,135,530,576,590,541,616,529,123,155,162,139,156,158,448,425,390,440,388,424,446,404,493,436,449,421,429,417,416,400,419,428,575,590,630,645,622,635
5,610,567,592,501,515,535,18184,17253,16246,16300,17385,17540,579,560,556,542,538,599,19967,17572,17639,17358,17469,17844,734,602,639,652,646,655,422,409,386,463,401,412,649,601,721,658,605,633,137,125,113,137,150,151,507,523,565,531,445,537,177,120,141,157,151,144,692,669,688,696,686,667,135,152,128,170,133,144,463,385,404,383,426,369,472,440,441,471,412,414,406,399,434,399,427,445,623,676,645,614,635,613
5.5,636,680,646,563,601,558,24297,23044,21984,20736,22384,22643,632,638,690,606,664,702,25959,22721,22616,22564,21872,23172,776,834,741,778,757,804,443,407,399,411,363,379,803,775,778,718,733,783,152,155,144,145,146,158,622,564,594,586,546,629,140,142,141,156,151,154,819,833,779,813,837,743,160,156,177,133,125,146,407,433,419,422,400,449,442,432,463,466,413,441,386,412,418,394,396,448,630,637,653,582,595,609
6,733,722,746,621,635,649,29700,28406,27128,25883,27801,27883,699,724,839,724,725,738,31354,27936,27589,27214,27133,28104,915,863,878,783,863,846,391,383,360,442,386,425,916,845,844,879,795,819,145,132,165,132,159,145,660,609,672,643,613,719,122,133,147,147,146,150,985,939,925,952,1005,917,150,131,135,167,122,162,363,464,355,396,381,435,425,476,454,479,427,431,400,429,416,379,433,419,654,594,668,592,651,672
6.5,756,776,899,641,696,725,34921,33641,32418,30672,31898,33293,778,830,921,703,811,798,36258,32181,32072,31574,31571,32977,1021,980,997,1014,990,965,414,380,399,406,399,462,961,962,1049,998,990,941,153,153,149,153,135,134,631,643,675,694,641,724,116,142,140,159,120,134,1109,943,1033,1115,1112,1062,141,146,118,140,130,132,437,465,434,420,451,433,430,422,451,441,467,418,385,402,404,434,404,414,614,629,689,637,631,579
7,815,801,936,724,780,697,39642,38211,36304,34434,36675,36797,788,902,974,820,878,861,40093,36466,35828,35300,35409,37331,1152,1047,1074,1107,1121,1075,449,408,354,384,417,393,1062,1122,1100,1112,1075,1029,156,136,150,161,137,144,678,740,736,730,693,775,134,134,118,134,129,142,1107,1086,1104,1131,1134,1145,145,174,156,141,151,134,393,414,415,460,441,435,468,430,497,413,430,412,404,385,413,397,386,443,705,608,676,598,636,619
7.5,877,960,1034,782,819,792,42911,41383,39767,37071,38406,39708,786,960,1025,818,915,980,42859,39137,38469,38578,37993,39581,1142,1137,1229,1148,1156,1067,405,408,399,406,429,378,1144,1139,1076,1115,1013,1108,141,161,143,139,145,165,725,678,856,853,690,845,146,144,156,138,145,173,1153,1181,1189,1141,1138,1199,128,156,164,143,139,163,406,425,398,432,397,425,390,420,452,452,435,437,345,402,447,409,410,399,632,674,692,605,610,659
8,952,1018,1061,820,910,810,46180,44507,43088,39959,41036,43374,838,1089,1117,955,1021,1027,45515,41507,41410,40717,40482,42712,1309,1124,1218,1208,1170,1100,386,411,418,419,419,428,1211,1186,1184,1086,1085,1221,136,161,138,169,135,139,737,717,833,843,780,899,149,153,129,129,164,130,1228,1237,1260,1251,1220,1284,145,145,142,135,141,136,383,417,462,426,410,430,412,498,460,449,458,433,400,444,413,388,408,390,622,608,659,654,602,575
8.5,945,948,1068,856,867,900,49029,47188,46323,42681,44501,45506,841,989,1173,909,989,1112,47342,44002,43947,43968,43578,45919,1278,1321,1232,1206,1220,1163,405,396,407,441,434,445,1253,1151,1185,1160,1155,1233,161,150,153,147,165,159,769,710,858,937,769,892,131,136,135,149,143,137,1293,1182,1172,1205,1201,1270,135,132,137,159,140,153,394,444,406,455,407,409,449,432,482,444,404,428,386,385,414,393,447,415,674,660,640,590,606,592
9,1040,1023,1090,812,856,872,51299,49864,48472,44756,46355,46853,839,1047,1073,929,1039,1056,49972,46353,45359,45014,44973,47176,1306,1215,1298,1332,1279,1161,465,396,416,406,437,409,1278,1195,1191,1261,1073,1189,143,158,151,146,152,160,762,745,856,887,814,933,118,143,130,160,149,157,1261,1255,1211,1154,1234,1270,145,151,151,152,125,139,381,422,436,406,402,437,470,401,511,470,453,454,400,400,414,407,390,426,643,664,678,620,632,584
9.5,1002,1080,1173,886,939,856,52492,50715,49337,45456,46698,48575,870,1140,1172,923,1123,1152,51354,46491,46513,45793,45580,48198,1382,1264,1276,1233,1259,1132,410,442,426,432,403,428,1227,1209,1166,1204,1140,1235,145,129,125,131,142,143,879,885,890,896,810,1000,155,146,156,163,126,140,1272,1198,1175,1134,1162,1215,153,139,147,147,146,161,377,395,456,402,429,442,438,474,540,476,424,422,414,400,428,401,430,422,681,588,680,607,643,589
10,1040,1081,1164,921,910,942,55682,53549,52190,48656,49494,51300,887,1127,1141,959,1156,1251,53714,48504,48610,48045,48142,50642,1313,1261,1247,1246,1412,1242,434,393,420,455,458,422,1316,1231,1214,1221,1184,1173,155,144,171,145,125,164,815,791,890,917,782,1012,160,142,151,142,165,147,1281,1225,1182,1205,1241,1155,169,140,151,154,134,139,417,415,434,421,415,423,448,434,530,436,447,424,400,424,387,399,433,410,679,633,690,626,591,597
10.5,1129,1065,1219,893,959,980,58490,55635,54569,51141,51270,53055,884,1161,1225,910,1126,1141,56150,50506,50439,50326,49944,52470,1309,1317,1316,1241,1289,1267,426,417,429,381,449,424,1265,1247,1277,1204,1240,1136,148,139,141,147,147,138,848,790,942,988,806,979,150,142,132,159,121,147,1305,1243,1231,1189,1131,1237,161,141,149,144,145,134,426,417,454,420,439,436,477,452,514,446,451,436,383,422,413,405,397,435,652,624,632,667,615,584
11,993,1087,1193,946,885,917,61480,57438,56595,52777,53388,54857,919,1144,1248,961,1194,1198,58739,52192,51676,51055,51582,54037,1441,1256,1352,1302,1311,1228,449,406,402,394,436,447,1368,1297,1210,1197,1129,1182,155,141,133,117,150,132,859,865,967,993,838,1036,151,139,141,133,134,156,1232,1202,1172,1156,1157,1277,152,129,127,148,123,147,388,425,447,431,412,412,405,457,571,507,479,413,387,409,379,440,415,413,684,679,635,581,619,587
11.5,1113,1132,1242,916,997,915,64689,60299,59334,54535,55810,57453,948,1194,1284,886,1233,1216,62328,54600,54591,53770,53582,56526,1408,1244,1331,1303,1292,1278,460,456,438,438,429,443,1376,1358,1265,1273,1249,1114,138,144,142,156,132,135,841,816,960,1090,806,1057,150,172,131,155,146,154,1289,1221,1253,1187,1158,1176,133,133,130,156,136,143,391,418,456,455,416,447,471,450,534,494,474,423,348,406,418,422,453,407,724,645,617,679,633,641
12,1135,1154,1303,990,949,919,68187,63412,62069,57862,58106,59775,896,1139,1239,963,1164,1227,65221,57223,56510,55980,56433,59652,1460,1262,1356,1264,1329,1196,459,455,446,480,445,487,1417,1277,1222,1237,1218,1186,159,135,135,134,157,141,858,846,1024,1104,812,1041,164,166,152,154,152,160,1293,1199,1222,1174,1254,1126,134,127,125,149,140,154,418,433,444,414,432,420,458,480,497,447,429,410,411,446,393,442,432,406,623,601,642,652,665,596
12.5,1136,1229,1285,982,1049,993,72945,66699,65117,60196,60869,62587,935,1128,1286,1016,1158,1304,68776,59177,58859,57753,58220,62017,1380,1307,1282,1275,1339,1247,468,467,495,453,486,490,1409,1304,1291,1179,1244,1153,127,147,148,126,149,124,876,850,966,1002,907,1027,132,129,144,144,158,129,1364,1171,1219,1109,1191,1201,136,154,149,142,140,117,393,419,444,408,460,384,449,455,461,491,468,456,385,393,396,404,440,391,611,690,625,591,662,586
13,1193,1203,1316,1031,1054,1074,75980,69697,67739,62456,63245,65520,1015,1237,1329,1033,1273,1292,72510,61865,61481,60553,60304,64258,1453,1312,1305,1212,1287,1230,475,510,497,431,446,493,1410,1247,1232,1236,1202,1138,132,153,142,136,140,162,845,875,1086,1083,975,1094,139,159,154,145,155,152,1388,1195,1265,1167,1215,1214,124,140,131,156,135,147,393,423,436,447,440,436,417,412,441,437,447,432,369,418,393,416,440,399,668,696,662,605,621,570
13.5,1255,1215,1329,1034,1155,1054,80428,73612,70811,65323,66643,68497,1056,1280,1370,1081,1362,1370,77446,65507,64619,63972,63386,67348,1434,1278,1270,1308,1283,1235,518,500,460,473,474,540,1460,1221,1250,1188,1198,1225,145,164,142,145,150,142,912,936,1076,1069,980,1102,138,133,126,137,143,119,1359,1241,1257,1152,1215,1180,152,144,147,139,113,131,403,438,411,429,462,459,474,465,554,484,476,436,392,400,432,367,424,389,647,646,605,660,697,551
