Time,lb 311 1,lb 311 2,lb 311 3,lb 311 4,lb 311 5,lb 311 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 312 1,lb 312 2,lb 312 3,lb 312 4,lb 312 5,lb 312 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb 313 1,lb 313 2,lb 313 3,lb 313 4,lb 313 5,lb 313 6,lb 446 1,lb 446 2,lb 446 3,lb 446 4,lb 446 5,lb 446 6,lb 3 1,lb 3 2,lb 3 3,lb 3 4,lb 3 5,lb 3 6,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,47704,46642,45072,46302,48891,48711,50251,49346,52538,49491,44608,49697,45450,47768,48069,49597,49045,48463,46834,48759,52738,50766,48138,47158,44374,48130,48864,45445,45710,46842,45862,47219,45932,47261,49722,45233,39904,41177,41273,41160,40197,40894,40221,40523,40616,40949,40357,40129,2686,2785,2741,2709,2724,2684,2583,2499,2551,2621,2505,2397,2722,2698,2845,2757,2717,2725,2579,2631,2468,2634,2533,2414,2673,2702,2795,2660,2578,2701,2594,2454,2547,2580,2394,2405,2619,2623,2681,2635,2540,2613,44100,43865,43636,42498,41961,41345
0.5,48224,48160,45399,46889,50058,49185,50249,48645,50515,48324,42664,47878,46415,48889,53122,51515,49709,49787,45247,48200,51367,49394,46612,45674,44023,71876,52149,45934,45760,47909,44192,46009,47208,45766,47492,43234,38276,39892,38917,39137,38323,39150,38879,38654,39049,39286,38165,38100,2574,2561,2674,2623,2645,2630,2575,2498,2374,2456,2365,2273,2627,2571,2693,2748,2566,2588,2468,2445,2391,2383,2418,2272,2559,2516,2673,2697,2544,2507,2508,2433,2493,2423,2301,2183,2540,2493,2583,2569,2496,2463,42833,42973,42687,41086,40189,39021
1,53828,53849,49174,50737,55268,55052,49461,48492,52484,48802,42237,47814,48169,53323,57782,69631,55011,53929,45095,48137,51264,49822,46023,45333,47059,53488,59405,50838,49634,51992,43775,46085,45279,47168,47413,44193,37483,39091,38280,39040,38142,38742,38840,38533,39328,38784,38081,37921,2453,2637,2522,2452,2454,2532,2508,2411,2459,2426,2411,2287,2585,2491,2588,2526,2559,2413,2412,2431,2352,2363,2258,2261,2415,2639,2549,2411,2504,2503,2403,2377,2364,2288,2315,2160,2572,2440,2443,2585,2483,2476,42395,42253,42182,41248,39806,38587
1.5,58515,58621,52365,54584,68094,56217,52047,62880,51814,50548,43413,49796,51526,68709,63683,67273,59839,62006,46073,49740,51615,52846,47826,46542,50351,68072,64876,54130,61077,55860,45003,49218,46134,48948,49179,45758,36457,38041,37859,37859,37363,38138,38159,38390,38941,38678,37320,37802,2541,2506,2645,2601,2480,2510,2488,2406,2413,2432,2302,2288,2503,2592,2613,2574,2525,2400,2523,2364,2418,2388,2329,2300,2455,2470,2603,2509,2489,2481,2414,2397,2356,2331,2276,2308,2544,2441,2505,2552,2465,2458,42202,42683,42337,40275,39665,38244
2,67222,68065,62705,71429,70971,68339,53837,54874,55987,53041,44279,52520,58477,67966,73156,74493,71528,73054,47103,52337,54498,67335,49813,48969,65426,85962,76353,61259,71725,64303,46221,48934,60056,56512,51482,47161,34726,36133,35193,36368,35447,35642,38580,37954,39106,39071,37266,37833,2472,2536,2557,2485,2488,2443,2552,2328,2351,2321,2368,2239,2439,2529,2630,2532,2553,2402,2394,2512,2415,2425,2373,2272,2492,2573,2578,2567,2453,2382,2446,2388,2307,2313,2277,2301,2598,2435,2377,2396,2471,2467,42309,42493,42128,40344,39506,38166
2.5,79728,82186,68979,72932,82428,78086,55823,57055,59095,54762,44981,55259,75267,78724,85157,85446,80053,77141,48313,52849,56148,60222,51113,50846,67723,84969,89150,71901,70518,74161,50566,50397,54742,60315,54257,48908,33204,34243,33202,34442,33320,34278,38273,38572,39133,38267,36507,36948,2501,2526,2448,2518,2451,2455,2466,2398,2401,2400,2366,2252,2430,2514,2486,2512,2496,2389,2399,2350,2296,2299,2212,2248,2445,2480,2509,2452,2475,2328,2341,2300,2289,2283,2234,2213,2457,2421,2480,2498,2425,2359,41832,41612,41638,40601,39245,37560
3,96996,101352,85789,87875,98626,91553,59556,58156,62704,56983,46464,57715,83263,94718,103072,114633,95957,92081,49988,55732,59660,64946,53196,54361,88489,108298,104672,81636,84515,88514,49040,59822,51049,56724,56053,50863,31904,32133,31830,32413,31609,32727,38598,37986,38957,38608,36031,37553,2521,2584,2470,2568,2545,2407,2346,2323,2365,2308,2312,2212,2536,2455,2541,2589,2497,2490,2481,2320,2342,2277,2245,2263,2523,2568,2551,2461,2405,2378,2388,2283,2269,2396,2274,2159,2526,2499,2558,2465,2332,2479,41331,41721,41319,40188,38928,37345
3.5,129734,135347,120892,124665,142566,125403,62683,57826,64515,60710,48826,62283,107781,122149,144360,140075,124639,121222,55228,61358,63188,72299,55506,58159,108978,127311,140004,111304,114048,112820,56900,55254,54929,65261,59104,52737,30748,31024,30471,30789,30451,31104,37971,37974,38786,38239,35354,37094,2364,2470,2350,2445,2526,2311,2409,2339,2359,2352,2248,2227,2454,2519,2490,2535,2434,2359,2323,2281,2319,2398,2331,2206,2524,2450,2480,2565,2497,2328,2311,2329,2303,2389,2322,2157,2440,2479,2434,2495,2416,2485,40554,41121,41234,39676,38550,37004
4,147850,153233,132056,135525,158216,150993,66427,65710,70297,64083,50489,66884,129354,150705,167233,171612,153928,142087,53901,65133,68037,73294,58894,60838,135247,155800,171619,134900,138011,137442,53418,62472,71233,60696,63066,56932,30649,30631,30802,30719,30221,30622,37923,37175,38530,38433,33908,37574,2493,2471,2501,2582,2449,2411,2525,2336,2350,2365,2313,2138,2503,2546,2443,2532,2429,2391,2321,2334,2416,2387,2219,2235,2456,2512,2473,2424,2440,2454,2348,2316,2325,2369,2213,2223,2348,2392,2378,2525,2345,2414,40324,40478,40655,39409,38588,36268
4.5,184406,179325,161020,162170,185931,179063,72458,65516,76509,70040,52564,75894,158869,170755,190695,201433,182337,176978,56994,66169,74378,76472,62838,66338,150035,189256,189600,158168,159485,164315,56940,60504,57834,64626,67521,59943,30982,31379,31537,31198,30472,31312,37112,37093,38130,38430,33595,36989,2319,2403,2403,2380,2451,2426,2343,2291,2356,2310,2276,2254,2372,2463,2426,2400,2442,2265,2349,2384,2238,2332,2391,2292,2443,2494,2526,2540,2429,2425,2324,2292,2403,2305,2234,2186,2439,2383,2440,2447,2347,2403,40029,40157,40284,39447,38029,36260
