Time,lb 4 1,lb 4 2,lb 4 3,lb 4 4,lb 4 5,lb 4 6,lb 442 1,lb 442 2,lb 442 3,lb 442 4,lb 442 5,lb 442 6,lb 443 1,lb 443 2,lb 443 3,lb 443 4,lb 443 5,lb 443 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,34403,36175,35955,34083,32683,34560,43791,45199,52606,43167,41517,42942,39962,41811,43403,43372,40066,44392,39543,38930,38759,37101,35074,36990
0.5,31492,33569,33363,31813,30398,31581,42085,42601,50527,41481,39201,40363,38997,39565,41125,41688,38480,42521,36433,36640,36625,35204,32496,34485
1,31176,33745,33303,31461,29988,31808,40844,41472,48729,40012,39156,39327,41780,42828,40626,61591,38797,40978,36346,36204,35875,34609,32825,33994
1.5,30500,33068,32959,31189,30163,31272,42597,43351,43151,41071,40161,40298,44450,41784,42210,60065,39610,41724,35567,35993,36009,34186,32349,33895
2,30819,32833,32610,31080,29654,31042,43671,44733,45419,42727,41743,41650,52027,48731,43522,57659,39921,42651,34969,35458,35810,34306,31964,33399
2.5,30267,32214,32045,30593,29374,30915,45648,48443,46229,44100,42377,43393,47998,47085,46463,61876,41791,45090,34768,35433,35279,33895,31157,32515
3,30889,32448,32031,30529,29474,32726,47369,49176,48085,45869,44515,45702,62302,55156,47852,49084,42607,47669,34514,35122,34920,33501,31226,32706
3.5,30369,32618,32486,30731,29501,31222,50592,52237,50869,48637,46998,48344,52052,73253,50499,61224,44223,51259,34106,34544,34680,33517,30934,31733
4,30340,31879,32350,30666,29313,32140,53762,54595,60252,50683,49091,50325,69452,56013,57132,57962,75056,54612,32726,33745,34206,32674,30462,31331
4.5,30044,31900,31984,30571,28958,31960,58875,59429,62835,55899,55382,54695,52080,73712,57220,73400,53347,66327,32696,34180,33504,32819,30169,31188
5,29684,31620,30952,29918,29027,30426,63298,64282,66581,57961,58044,61455,81737,65482,60853,64467,71649,65252,32224,33599,33559,32553,30369,30888
5.5,29312,31077,30220,29572,28408,30067,71534,77551,73033,63684,64620,66347,83328,66792,69561,68390,68408,73297,31440,33481,33018,31952,29498,30424
6,28859,30391,29690,29358,27954,29029,84400,84604,82589,71196,72966,76317,83064,87539,73419,75013,77284,81569,30755,32981,32593,32270,29584,29845
6.5,28786,29462,29316,28655,27086,28833,91191,91964,89513,81003,79730,84795,87308,85554,83066,82071,66601,90905,29988,32399,32607,31996,29282,29351
7,28528,28906,29185,27631,26679,27907,99838,97883,98948,92523,86334,90038,100614,99165,97100,99882,82492,99187,28806,31687,31985,31422,28810,29468
7.5,27996,29042,29566,27459,26796,28687,103612,106905,106078,101528,92490,102330,109123,103909,95556,113747,86036,105421,28374,31083,31946,31802,28815,28304
8,27725,29933,29532,27918,26257,28316,112281,110359,117457,109873,103291,105807,111973,111137,103474,110119,90804,113688,27481,30935,31927,30739,28661,27801
8.5,27640,29912,28448,28449,26763,28346,118060,119253,122044,115621,112183,112305,113942,113287,111186,114490,100826,118108,26595,31119,30978,30626,28515,27997
9,27261,28906,28915,28083,26838,29295,129908,130803,126008,119802,125990,149090,119768,131778,117352,130842,102253,131453,25533,30112,30622,30706,27879,27290
9.5,28273,29585,27394,26497,27552,28145,150497,129780,133292,132562,126054,178252,132685,136357,125278,134947,113775,133806,24295,28922,30042,30125,27602,26914
10,28740,31985,27553,27542,27652,28628,139551,137599,142505,131225,132322,190826,136957,133932,130032,133243,123035,135313,23242,30631,29510,29596,27245,26355
10.5,28541,31557,30460,27166,28728,26857,140794,144091,146083,136325,226639,140229,140195,136970,136079,141210,124921,172608,21840,27685,29196,28948,27136,25549
11,29402,30480,29580,28821,29084,27583,184613,161622,233634,153380,260000,141141,234082,142231,144770,148420,131974,212767,20752,29017,28964,28590,26894,25134
11.5,30329,39120,31756,29923,29757,29451,209500,274393,158202,147434,412519,146930,348166,149403,148026,168676,137781,155548,19334,26495,28340,28428,26421,24801
12,30592,39817,31682,30650,30050,33666,324967,177883,160110,153069,160131,152988,336204,154599,155610,156315,142924,167864,18142,26062,27945,28077,26133,24013
12.5,30798,39873,35006,31509,31622,37093,254475,300319,164635,155578,439050,171621,367952,165856,160165,159661,148194,223266,16527,25235,26907,27590,25573,23181
13,31359,40720,35746,31770,31743,32312,347718,259533,171029,162375,222147,195126,284458,167604,168251,168222,152441,267741,15100,24483,26524,27482,25411,22304
13.5,31723,42164,36905,32964,32866,33991,273234,345504,173176,167290,328721,289635,369046,171675,172168,172237,175262,175984,13545,23352,25965,26646,24745,21524
14,32538,39305,38611,35518,33070,35060,421200,346084,182370,173680,375857,198949,484131,181360,175032,178201,162169,179734,11579,22678,25155,26583,24217,21299
14.5,33049,43897,39104,36299,33490,36941,520977,372537,186193,177657,370772,194803,516630,184685,179791,180992,237481,185532,9718,21741,24854,26126,23869,20511
15,33008,42950,39865,37442,37216,39963,318314,362209,185665,177992,184007,384920,487832,184904,183225,184220,172380,195760,7938,20682,24188,25502,23410,19320
15.5,33436,45423,41571,39146,40981,39164,429710,344793,191626,183759,299818,283272,475607,190406,187293,188795,216772,236150,5896,19759,23792,24922,22733,18621
16,33042,45043,41989,39318,39597,40880,315824,373235,195461,183640,402639,434229,507382,191518,190109,191975,240497,207686,3506,22353,22597,24428,22604,17681
