Time,lb 1 1,lb 1 2,lb 1 3,lb 1 4,lb 1 5,lb 1 6,lb 75 1,lb 75 2,lb 75 3,lb 75 4,lb 75 5,lb 75 6,lb 76 1,lb 76 2,lb 76 3,lb 76 4,lb 76 5,lb 76 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,1050,1006,994,1072,1113,1046,1490,1345,1486,1481,1482,1496,1488,1491,1365,1362,1423,1507,1074,1151,1139,1099,1057,987
0.5,917,966,974,1019,1053,1021,1808,1644,1725,1906,1745,1790,1692,1715,1682,1808,1727,1676,1099,1090,1105,1089,1021,978
1,965,993,981,988,1108,1069,2394,2209,2170,2425,2213,2290,2041,2082,2126,2172,2180,2145,1068,1077,1081,988,1014,1003
1.5,949,945,934,1151,978,1067,3494,3246,3416,3665,3291,3342,2976,3093,3204,3269,3262,2882,1111,1115,1110,1106,995,954
2,858,837,859,892,837,848,5868,5528,5707,6175,5815,5767,5303,5445,5391,5545,5215,5363,1101,1102,1041,1071,1027,1019
2.5,850,852,752,1089,971,880,9336,8831,9086,9556,8815,8838,8651,8378,8501,8753,8639,8369,1145,1083,1137,1056,1055,1018
3,774,796,865,959,806,840,12340,11877,11877,12533,11754,11510,11594,11396,11484,11283,11548,11271,1043,1105,1084,1088,946,977
3.5,800,871,784,903,786,834,15509,14322,14611,15469,14813,14623,15117,14416,14491,14660,14515,14408,1071,1036,1104,1045,1037,1003
4,857,806,760,796,819,821,17111,16531,16690,17094,16889,16187,16996,16595,16848,16883,16703,16376,1019,1064,1076,1007,1003,968
4.5,804,755,794,891,879,831,19107,18207,18504,19173,18495,17947,18838,18288,18581,18355,18496,18270,1083,1064,1134,1063,987,965
5,848,777,758,872,804,847,20444,19603,19891,20778,20265,19941,20595,20193,20350,19950,20100,19773,1049,1075,1072,1059,1022,978
5.5,799,820,888,823,809,845,22745,21775,21985,23023,22445,21675,22732,22103,21858,22387,22324,21797,1059,1131,1047,1048,980,879
6,825,791,818,853,821,838,24891,23898,24519,24812,24571,23725,25339,24540,24291,24477,24951,24011,1015,1070,1086,1072,967,960
6.5,850,780,798,796,834,829,26969,25728,25919,26652,26356,25401,27184,25927,26173,26089,26398,25563,981,1075,1055,1056,993,956
7,866,856,812,942,889,862,28577,27667,27832,29206,28355,27603,28856,28193,28246,28140,28558,27553,943,1030,1093,1069,1007,902
7.5,869,847,832,978,848,869,30727,29103,29477,30503,29875,29476,31461,29963,29748,29827,30504,29600,1024,1102,1062,1028,971,892
8,960,780,835,898,882,902,33229,31555,31748,32837,31888,31500,33171,32227,32108,32282,33140,32517,972,1044,1064,1017,996,905
8.5,927,844,840,915,918,833,35850,33802,34582,35200,34877,33878,35894,35328,34601,34585,35705,34431,996,1066,1044,972,983,975
9,880,862,803,975,907,955,38396,36289,36550,37893,37090,36121,38417,37521,36992,36921,38534,36327,967,1003,1106,1028,939,909
9.5,918,864,868,905,916,958,41495,39026,39124,41370,39590,38387,41175,40291,39614,39832,41587,39692,862,1009,1026,988,1005,857
10,979,941,906,950,932,941,44034,42204,41610,43893,42451,41621,44461,43625,42996,43554,44727,42225,941,991,1011,1040,957,939
10.5,1010,992,920,968,967,941,47692,44665,44851,46460,45380,44512,47203,46922,45951,45464,47348,45064,882,1017,967,1072,941,842
11,990,930,943,990,968,963,50389,48553,48069,49580,48382,47119,50215,50045,49385,48906,49689,47877,831,1027,1032,977,904,834
11.5,1051,1008,978,1082,980,1010,54313,51669,51878,53891,51966,51115,53636,53565,52514,52719,54231,52121,869,994,1010,968,974,858
12,1032,951,1044,1041,1030,973,58218,56256,55965,57977,56061,55267,57410,57731,56621,56558,57880,55528,739,981,971,1041,938,810
12.5,1074,989,975,1013,991,960,62638,59461,60196,62441,60638,59253,61207,61655,61202,60730,62440,59825,750,959,1008,994,1003,851
13,1100,1011,954,985,1012,980,66931,63510,63763,66587,64659,64251,63104,65501,65595,64337,67201,64125,702,975,950,1053,1020,844
13.5,1075,1028,946,1008,1059,1063,71884,67581,67004,70911,67945,67239,66691,69324,69053,68900,72368,68654,689,881,1016,1038,942,830
14,1061,1049,1025,1120,1006,991,74425,71189,71470,74803,72093,70936,70328,73422,72007,71573,75910,72381,649,910,933,978,875,766
14.5,1095,1124,1043,1074,1057,1046,77366,75495,75478,79185,76028,75118,71140,76246,76473,76468,81366,76473,600,936,988,930,899,790
15,1158,1099,1050,1047,1107,1100,81490,77982,79280,82756,80126,79069,74310,79263,80334,80049,84066,79832,548,863,978,961,894,749
15.5,1174,1096,1026,1061,1109,1053,83237,80691,81492,84683,82460,80872,75862,81826,83287,81464,87092,82286,485,812,944,961,888,735
16,1099,1053,1020,1113,1113,1048,84943,82129,83814,87763,85488,84045,77731,84843,84446,84483,90379,85041,435,850,974,990,931,689
