Time,lb 1 1,lb 1 2,lb 1 3,lb 1 4,lb 1 5,lb 1 6,lb 75 1,lb 75 2,lb 75 3,lb 75 4,lb 75 5,lb 75 6,lb 76 1,lb 76 2,lb 76 3,lb 76 4,lb 76 5,lb 76 6,lb blank 1,lb blank 2,lb blank 3,lb blank 4,lb blank 5,lb blank 6
0,0.084,0.083,0.092,0.083,0.082,0.083,0.09,0.089,0.087,0.087,0.083,0.082,0.087,0.084,0.086,0.083,0.082,0.082,0.079,0.078,0.078,0.078,0.079,0.081
0.5,0.12,0.1,0.127,0.117,0.12,0.114,0.123,0.118,0.115,0.119,0.112,0.116,0.112,0.114,0.11,0.11,0.11,0.108,0.081,0.079,0.08,0.08,0.082,0.081
1,0.179,0.131,0.185,0.177,0.188,0.173,0.176,0.168,0.164,0.174,0.163,0.172,0.155,0.159,0.157,0.161,0.163,0.154,0.082,0.08,0.08,0.08,0.082,0.081
1.5,0.277,0.181,0.282,0.28,0.295,0.276,0.265,0.251,0.258,0.278,0.261,0.269,0.232,0.243,0.24,0.252,0.246,0.244,0.082,0.08,0.08,0.08,0.081,0.081
2,0.419,0.292,0.422,0.424,0.436,0.417,0.405,0.379,0.389,0.414,0.394,0.411,0.352,0.374,0.367,0.383,0.39,0.38,0.082,0.08,0.08,0.08,0.082,0.082
2.5,0.565,0.44,0.562,0.583,0.6,0.571,0.535,0.5,0.522,0.554,0.524,0.552,0.5,0.513,0.501,0.523,0.529,0.519,0.081,0.08,0.08,0.08,0.081,0.082
3,0.63,0.557,0.632,0.645,0.665,0.666,0.61,0.572,0.61,0.623,0.626,0.652,0.585,0.609,0.609,0.619,0.607,0.623,0.082,0.08,0.08,0.08,0.082,0.082
3.5,0.704,0.638,0.708,0.724,0.726,0.718,0.68,0.639,0.671,0.697,0.709,0.716,0.63,0.665,0.652,0.675,0.672,0.68,0.081,0.08,0.08,0.08,0.082,0.081
4,0.748,0.689,0.768,0.78,0.754,0.782,0.747,0.716,0.753,0.786,0.763,0.777,0.704,0.73,0.719,0.718,0.726,0.726,0.081,0.08,0.08,0.08,0.081,0.081
4.5,0.824,0.786,0.846,0.833,0.889,0.86,0.84,0.791,0.849,0.856,0.862,0.893,0.792,0.789,0.806,0.826,0.816,0.823,0.081,0.08,0.08,0.08,0.082,0.081
5,0.93,0.85,0.953,0.975,0.954,0.953,0.885,0.83,0.904,0.937,0.933,0.935,0.842,0.892,0.881,0.877,0.891,0.907,0.082,0.08,0.08,0.081,0.082,0.082
5.5,0.97,0.912,0.999,1.027,0.989,1.019,0.961,0.923,0.99,0.99,1.014,1.027,0.915,0.93,0.958,0.956,0.974,0.974,0.081,0.08,0.08,0.08,0.082,0.081
6,1.045,0.994,1.05,1.052,1.082,1.078,1.022,0.98,1.056,1.036,1.068,1.08,0.976,1.005,1,1.013,1.033,1.036,0.081,0.08,0.08,0.08,0.081,0.081
6.5,1.049,1.039,1.079,1.129,1.126,1.108,1.077,0.997,1.069,1.08,1.081,1.119,1,1.048,1.064,1.055,1.084,1.074,0.081,0.079,0.08,0.08,0.081,0.081
7,1.092,1.086,1.108,1.149,1.106,1.136,1.066,1.016,1.079,1.092,1.116,1.148,1.024,1.037,1.062,1.082,1.098,1.095,0.081,0.08,0.08,0.08,0.081,0.081
