"Gene"	"Essentiality"	"Control"	"Condition"	"Replicates"	"LESB_Locus"	"PAO1_Locus"	"PA14_Locus"	"LESB_Description"	"LESB_PGD_ID"	"PAO1_Locus_1"	"PAO1_Gene"	"PAO1_Description"	"PAO1_Accession"	"PAO1_PGD_ID"	"PA14_Locus_1"	"PA14_Gene"	"PA14_Description"	"PA14_Accession"	"PA14_PGD_ID"
"ORF159"	"probably always non-essential"	0	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ORFC109"	"inconsistent replicates"	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ORFC56"	"inconsistent replicates"	0	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ORFC92"	"always non-essential"	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_00051"	"conditionally essential"	0	4	4	"PALES_00051"	"PA0006"	"PA14_00070"	"D,D-heptose 1,7-bisphosphate phosphatase"	"PGD244054"	"PA0006"	"PA0006"	"conserved hypothetical protein"	"NP_064726.1 ; WP_003120688.1"	"PGD134014"	"PA14_00070"	"PA14_00070"	"D,D-heptose 1,7-bisphosphate phosphatase"	"YP_788161.1 ; WP_003142196.1"	"PGD1650845"
"PALES_00061"	"inconsistent replicates"	1	2	4	"PALES_00061"	"PA0007"	"PA14_00080"	"hypothetical protein"	"PGD244056"	"PA0007"	"PA0007"	"hypothetical protein"	"NP_064727.1 ; WP_003114647.1"	"PGD134016"	"PA14_00080"	"PA14_00080"	"hypothetical protein"	"YP_788162.1 ; WP_003142198.1"	"PGD1650847"
"PALES_00101"	"inconsistent replicates"	0	2	4	"PALES_00101"	"PA0011"	"PA14_00120"	"lipid A biosynthesis lauroyl acyltransferase"	"PGD244064"	"PA0011"	"htrB1"	"acyltransferase HtrB1"	"NP_248701.1 ; WP_003097282.1"	"PGD134034"	"PA14_00120"	"PA14_00120"	"lipid A biosynthesis lauroyl acyltransferase"	"YP_788166.1 ; WP_003097282.1"	"PGD1650855"
"PALES_00111"	"inconsistent replicates"	0	3	4	"PALES_00111"	"PA0012"	"PA14_00130"	"hypothetical protein"	"PGD244066"	"PA0012"	"PA0012"	"hypothetical protein"	"NP_248702.1 ; WP_003114645.1"	"PGD134036"	"PA14_00130"	"PA14_00130"	"hypothetical protein"	"YP_788167.1 ; WP_003114645.1"	"PGD1650857"
"PALES_00121"	"inconsistent replicates"	0	2	4	"PALES_00121"	"PA0013"	"PA14_00140"	"hypothetical protein"	"PGD244068"	"PA0013"	"PA0013"	"conserved hypothetical protein"	"NP_248703.1 ; WP_003097286.1"	"PGD134038"	"PA14_00140"	"PA14_00140"	"hypothetical protein"	"YP_788168.1 ; WP_003142200.1"	"PGD1650859"
"PALES_00131"	"inconsistent replicates"	0	2	4	"PALES_00131"	"PA0014"	"PA14_00150"	"hypothetical protein"	"PGD244070"	"PA0014"	"PA0014"	"hypothetical protein"	"NP_248704.1 ; WP_003114644.1"	"PGD134040"	"PA14_00150"	"PA14_00150"	"hypothetical protein"	"YP_788169.1 ; WP_003142201.1"	"PGD1650861"
"PALES_00141"	"conditionally essential"	0	4	4	"PALES_00141"	"PA0015"	"PA14_00160"	"putative tetratricopeptide repeat domain"	"PGD244072"	"PA0015"	"PA0015"	"hypothetical protein"	"NP_248705.1 ; WP_003120685.1"	"PGD134042"	"PA14_00160"	"PA14_00160"	"hypothetical protein"	"YP_788170.1 ; WP_003142202.1"	"PGD1650863"
"PALES_00161"	"probably always non-essential"	1	1	4	"PALES_00161"	"PA0017"	"PA14_00180"	"putative tRNA and rRNA cytosine-C5-methylases"	"PGD244076"	"PA0017"	"PA0017"	"conserved hypothetical protein"	"NP_248707.1 ; WP_003114643.1"	"PGD134046"	"PA14_00180"	"PA14_00180"	"tRNA and rRNA cytosine-C5-methylases"	"YP_788172.1 ; WP_003142203.1"	"PGD1650867"
"PALES_00191"	"inconsistent replicates"	0	2	4	"PALES_00191"	"PA0020"	"PA14_00210"	"putative lysin domain"	"PGD244082"	"PA0020"	"tsaP"	"T4P secretin-associated protein TsaP"	"NP_248710.1 ; WP_003097294.1"	"PGD134052"	"PA14_00210"	"PA14_00210"	"lysin domain-containing protein"	"YP_788175.1 ; WP_003097294.1"	"PGD1650873"
"PALES_00201"	"always essential"	4	4	4	"PALES_00201"	"PA0021"	"PA14_00230"	"putative Rossmann fold nucleotide-binding protein"	"PGD244084"	"PA0021"	"PA0021"	"conserved hypothetical protein"	"NP_248711.1 ; WP_003114641.1"	"PGD134054"	"PA14_00230"	"PA14_00230"	"Rossmann fold nucleotide-binding protein"	"YP_788176.1 ; WP_003142205.1"	"PGD1650875"
"PALES_00211"	"probably always essential"	4	3	4	"PALES_00211"	"PA0022"	"PA14_00240"	"putative translation factor"	"PGD244086"	"PA0022"	"PA0022"	"conserved hypothetical protein"	"NP_248712.1 ; WP_003097300.1"	"PGD134056"	"PA14_00240"	"PA14_00240"	"hypothetical protein"	"YP_788177.1 ; WP_003097300.1"	"PGD1650877"
"PALES_00261"	"inconsistent replicates"	0	2	4	"PALES_00261"	"PA0027"	"PA14_00310"	"putative peptidyl-prolyl isomerase"	"PGD244096"	"PA0027"	"PA0027"	"hypothetical protein"	"NP_248717.1 ; WP_003114640.1"	"PGD102793"	"PA14_00310"	"PA14_00310"	"peptidyl-prolyl isomerase"	"YP_788182.1 ; WP_003142206.1"	"PGD1650887"
"PALES_00271"	"conditionally essential"	0	4	4	"PALES_00271"	"PA0028"	"PA14_00320"	"hypothetical protein"	"PGD244098"	"PA0028"	"PA0028"	"hypothetical protein"	"NP_248718.1 ; WP_003114639.1"	"PGD102795"	"PA14_00320"	"PA14_00320"	"hypothetical protein"	"YP_788183.1 ; WP_003131389.1"	"PGD1650889"
"PALES_00281"	"always non-essential"	0	0	4	"PALES_00281"	"PA0029"	"PA14_00340"	"putative sulfate transporter"	"PGD244100"	"PA0029"	"PA0029"	"probable sulfate transporter"	"NP_248719.1 ; WP_003114638.1"	"PGD102797"	"PA14_00340"	"PA14_00340"	"sulfate transporter"	"YP_788184.1 ; WP_003097320.1"	"PGD1650891"
"PALES_00291"	"inconsistent replicates"	0	2	4	"PALES_00291"	"PA0030"	"PA14_00360"	"putative glycine betaine/L-proline ABC transporter, periplasmic substrate-binding protein"	"PGD244102"	"PA0030"	"cosX"	"CosX"	"NP_248720.1 ; WP_003115797.1"	"PGD102799"	"PA14_00360"	"PA14_00360"	"hypothetical protein"	"YP_788185.1 ; WP_003097322.1"	"PGD1650893"
"PALES_00311"	"conditionally essential"	0	4	4	"PALES_00311"	"PA0032"	"PA14_00400"	"putative transcriptional regulator"	"PGD244106"	"PA0032"	"PA0032"	"probable transcriptional regulator"	"NP_248722.1 ; WP_003122286.1"	"PGD102787"	"PA14_00400"	"PA14_00400"	"LysR family transcriptional regulator"	"YP_788187.1 ; WP_003111194.1"	"PGD1650897"
"PALES_00321"	"probably always essential"	3	4	4	"PALES_00321"	"PA0033"	"PA14_00420"	"putative histidine phosphotransfer domain"	"PGD244108"	"PA0033"	"hptC"	"Histidine phosphotransfer protein HptC"	"NP_248723.1 ; WP_003097330.1"	"PGD102783"	"PA14_00420"	"PA14_00420"	"histidine phosphotransfer domain-containing protein"	"YP_788189.1 ; WP_003097330.1"	"PGD1650901"
"PALES_00331"	"probably always non-essential"	0	1	4	"PALES_00331"	"PA0034"	"PA14_00430"	"putative two-component response regulator"	"PGD244110"	"PA0034"	"PA0034"	"probable two-component response regulator"	"NP_248724.1 ; WP_003111192.1"	"PGD102785"	"PA14_00430"	"PA14_00430"	"two-component response regulator"	"YP_788190.1 ; WP_003111192.1"	"PGD1650903"
"PALES_00371"	"inconsistent replicates"	0	3	4	"PALES_00371"	"PA0038"	"PA14_00470"	"hypothetical protein"	"PGD244118"	"PA0038"	"PA0038"	"hypothetical protein"	"NP_248728.1 ; WP_003097345.1"	"PGD102809"	"PA14_00470"	"PA14_00470"	"hypothetical protein"	"YP_788194.1 ; WP_003097345.1"	"PGD1650911"
"PALES_00381"	"inconsistent replicates"	0	2	4	"PALES_00381"	"PA0039"	"PA14_00480"	"hypothetical protein"	"PGD244120"	"PA0039"	"PA0039"	"hypothetical protein"	"NP_248729.1 ; WP_003097347.1"	"PGD102811"	"PA14_00480"	"PA14_00480"	"hypothetical protein"	"YP_788195.1 ; WP_003097347.1"	"PGD1650913"
"PALES_00391"	"inconsistent replicates"	3	2	4	"PALES_00391"	"PA0040"	"PA14_00490"	"putative hemolysin activation/secretion protein"	"PGD244122"	"PA0040"	"PA0040"	"conserved hypothetical protein"	"NP_248730.1 ; WP_003147036.1"	"PGD102813"	"PA14_00490"	"PA14_00490"	"hemolysin activation/secretion protein"	"YP_788196.1 ; WP_011666522.1"	"PGD1650915"
"PALES_00401"	"probably always non-essential"	0	1	4	"PALES_00401"	"PA0041"	"PA14_00510"	"putative hemagglutinin"	"PGD244124"	"PA0041"	"PA0041"	"probable hemagglutinin"	"NP_248731.1 ; WP_003147038.1"	"PGD102815"	"PA14_00510"	"PA14_00510"	"hemagglutinin"	"YP_788197.1 ;"	"PGD1650917"
"PALES_00411"	"always non-essential"	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_00421"	"probably always non-essential"	0	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PALES_00431"	"always non-essential"	0	0	4	"PALES_00431"	"PA0042"	"PA14_00530"	"hypothetical protein"	"PGD244130"	"PA0042"	"PA0042"	"hypothetical protein"	"NP_248732.1 ; WP_003114584.1"	"PGD102819"	"PA14_00530"	"PA14_00530"	"hypothetical protein"	"YP_788199.1 ; WP_003083536.1"	"PGD1650921"
"PALES_00441"	"inconsistent replicates"	1	3	4	"PALES_00441"	"PA0043"	"PA14_00550"	"hypothetical protein"	"PGD244132"	"PA0043"	"PA0043"	"hypothetical protein"	"NP_248733.1 ; WP_003128157.1"	"PGD102817"	"PA14_00550"	"PA14_00550"	"hypothetical protein"	"YP_788200.1 ; WP_003136947.1"	"PGD1650923"
"PALES_00461"	"probably always non-essential"	0	1	4	"PALES_00461"	"PA0045"	"PA14_00570"	"putative lipoprotein"	"PGD244136"	"PA0045"	"PA0045"	"hypothetical protein"	"NP_248735.1 ; WP_003111706.1"	"PGD102823"	"PA14_00570"	"PA14_00570"	"lipoprotein"	"YP_788202.1 ; WP_003083559.1"	"PGD1650927"
"PALES_00471"	"inconsistent replicates"	0	2	4	"PALES_00471"	"PA0046"	"PA14_00580"	"putative lipoprotein"	"PGD244138"	"PA0046"	"PA0046"	"hypothetical protein"	"NP_248736.1 ; WP_003083569.1"	"PGD102825"	"PA14_00580"	"PA14_00580"	"lipoprotein"	"YP_788203.1 ; WP_003083569.1"	"PGD1650929"
"PALES_00481"	"probably always non-essential"	0	1	4	"PALES_00481"	"PA0047"	"PA14_00590"	"putative lipoprotein"	"PGD244140"	"PA0047"	"PA0047"	"hypothetical protein"	"NP_248737.1 ; WP_003118560.1"	"PGD102827"	"PA14_00590"	"PA14_00590"	"lipoprotein"	"YP_788204.1 ; WP_003118560.1"	"PGD1650931"
"PALES_00491"	"inconsistent replicates"	0	3	4	"PALES_00491"	"PA0048"	"PA14_00600"	"putative transcriptional regulator"	"PGD244142"	"PA0048"	"PA0048"	"probable transcriptional regulator"	"NP_248738.1 ; WP_003083575.1"	"PGD102829"	"PA14_00600"	"PA14_00600"	"transcriptional regulator"	"YP_788205.1 ; WP_003104304.1"	"PGD1650933"
"PALES_00501"	"probably always non-essential"	0	1	4	"PALES_00501"	"PA0049"	"PA14_00620"	"hypothetical protein"	"PGD244144"	"PA0049"	"PA0049"	"hypothetical protein"	"NP_248739.1 ; WP_003114581.1"	"PGD102831"	"PA14_00620"	"PA14_00620"	"hypothetical protein"	"YP_788206.1 ; WP_003136949.1"	"PGD1650935"
"PALES_00531"	"inconsistent replicates"	1	4	4	"PALES_00531"	"PA0052"	"PA14_00650"	"hypothetical protein"	"PGD244148"	"PA0052"	"PA0052"	"hypothetical protein"	"NP_248742.1 ; WP_003083588.1"	"PGD102837"	"PA14_00650"	"PA14_00650"	"hypothetical protein"	"YP_788209.1 ; WP_003083588.1"	"PGD1650941"
"PALES_00541"	"inconsistent replicates"	2	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
