NR Number,Strain Name,Plate,Well,Gene Name,Gene Description,Accession Number,Plate 1,plate,underscore,location
NR-46544,NE1,1,A1,,cell surface protein,SAUSA300_1327,A1,1,_,1_A1
NR-46545,NE2,1,A3,,"peptidase, rhomboid family",SAUSA300_1509,A2,1,_,1_A2
NR-46546,NE3,1,A5,,conserved hypothetical protein,SAUSA300_1733,A3,1,_,1_A3
NR-46547,NE4,1,A7,,ABC transporter ATP-binding protein,SAUSA300_0309,A4,1,_,1_A4
NR-46548,NE5,1,A9,,aminotransferase,SAUSA300_2539,A5,1,_,1_A5
NR-46549,NE6,1,A11,,"formate dehydrogenase, alpha subunit",SAUSA300_2258,A6,1,_,1_A6
NR-46550,NE7,1,A13,,conserved hypothetical phage protein,SAUSA300_1425,A7,1,_,1_A7
NR-46551,NE8,1,A15,,putative membrane protein,SAUSA300_1481,A8,1,_,1_A8
NR-46552,NE9,1,A17,,conserved hypothetical protein,SAUSA300_1294,A9,1,_,1_A9
NR-46553,NE10,1,A19,,putative hemolysin III,SAUSA300_2129,A10,1,_,1_A10
NR-46554,NE11,1,A21,recJ,single-stranded-DNA-specific exonuclease RecJ,SAUSA300_1592,A11,1,_,1_A11
NR-46555,NE12,1,A23,,"drug resistance transporter, EmrB/QacA subfamily",SAUSA300_2126,A12,1,_,1_A12
NR-46556,NE13,1,C1,,ribose transporter RbsU,SAUSA300_0264,B1,1,_,1_B1
NR-46557,NE14,1,C3,,putative transporter,SAUSA300_2406,B2,1,_,1_B2
NR-46558,NE15,1,C5,,"transcriptional regulator, TetR family",SAUSA300_2509,B3,1,_,1_B3
NR-46559,NE16,1,C7,moaD,"molybdopterin converting factor, subunit 1",SAUSA300_2221,B4,1,_,1_B4
NR-46560,NE17,1,C9,,putative drug transporter,SAUSA300_1705,B5,1,_,1_B5
NR-46561,NE18,1,C11,,putative membrane protein,SAUSA300_1851,B6,1,_,1_B6
NR-46562,NE19,1,C13,,conserved hypothetical protein,SAUSA300_0369,B7,1,_,1_B7
NR-46563,NE20,1,C15,,"transcriptional antiterminator, BglG family",SAUSA300_0238,B8,1,_,1_B8
NR-46564,NE21,1,C17,upp,uracil phosphoribosyltransferase,SAUSA300_2066,B9,1,_,1_B9
NR-46565,NE22,1,C19,polA,DNA polymerase I superfamily,SAUSA300_1636,B10,1,_,1_B10
NR-46566,NE23,1,C21,,conserved hypothetical protein,SAUSA300_0740,B11,1,_,1_B11
NR-46567,NE24,1,C23,,secretory antigen precursor SsaA,SAUSA300_2503,B12,1,_,1_B12
NR-46568,NE25,1,E1,,conserved hypothetical protein,SAUSA300_1905,C1,1,_,1_C1
NR-46569,NE26,1,E3,coa,staphylocoagulase precursor,SAUSA300_0224,C2,1,_,1_C2
NR-46570,NE27,1,E5,,nitric oxide synthase oxygenase,SAUSA300_1895,C3,1,_,1_C3
NR-46571,NE28,1,E7,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_0947,C4,1,_,1_C4
NR-46572,NE29,1,E9,,PIN domain protein,SAUSA300_0512,C5,1,_,1_C5
NR-46573,NE30,1,E11,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_0600,C6,1,_,1_C6
NR-46574,NE31,1,E13,,conserved hypothetical protein,SAUSA300_2093,C7,1,_,1_C7
NR-46575,NE32,1,E15,,"transcriptional regulator, LysR family domain protein",SAUSA300_0095,C8,1,_,1_C8
NR-46576,NE33,1,E17,,LPXTG-motif cell wall surface anchor family protein,SAUSA300_2589,C9,1,_,1_C9
NR-46577,NE34,1,E19,,L-lactate permease,SAUSA300_2313,C10,1,_,1_C10
NR-46578,NE35,1,E21,trpD,anthranilate phosphoribosyltransferase,SAUSA300_1264,C11,1,_,1_C11
NR-46579,NE36,1,E23,,conserved hypothetical protein,SAUSA300_2528,C12,1,_,1_C12
