PA14 NR Set Plate (PO_PlateLabel96),PA14 NR Set Well (PO_PlateLocation96ADD),Parental Library Source Plate (WOR_PlateLabel),Parental Library Source Plate Well (WOR_PlateWellPosition),MutantID,PA14 Genomic Position,PA14 Genome BLASTN Bit Score,Unambiguous Insertion Location?,Locus Tag,"""Active"" GeneID","Tn insertion position within ""Active"" Gene (bp)","""Active"" Gene Length (bp)","PAO1 ortholog of ""Active"" gene","""Active"" Gene Name","""Active"" Gene Description","All predicted Gene Locus Names (Intragenic Position/Gene Length), ('*' indicates ""Active"" gene)",All Predicted GeneIDs,PAO1 Orthologs,PA14 NR Set Comments,library_position
ExMr_nr_mas_01_1,A1,,,,,,,,,,,,,,,,,Empty Well,
ExMr_nr_mas_01_1,A2,eUsU_MrT7_145wor,G9,13905,3340819,204,Y,PA14_37530,GID2429,35,903,PA2086,,putative hydrolase,PA14_37530(35/903),GID2429,PA2086,,
ExMr_nr_mas_01_1,A3,eUsU_MrT7_147wor,C11,14051,5930427,60,Y,PA14_66480,GID3137,159,768,PA5028,,putative ATPase nvolved in chromosome partitioning,"PA14_66480(159/768), PA14_66470*(685/1326)","GID3137, GID6836",PA5028,,
ExMr_nr_mas_01_1,A4,eUsU_MrT7_150wor,B3,14319,157238,97.6,Y,PA14_01720,GID734,367,1566,PA0140,ahpF,alkyl hydroperoxide reductase subunit F,"PA14_01720(367/1566), PA14_01700*(1173/2346)","GID734, GID7027",PA0140,,
ExMr_nr_mas_01_1,A5,eUsU_MrT7_150wor,G5,14381,4612317,904,Y,PA14_51950,GID5580,183,195,,,hypothetical protein,PA14_51950(183/195),GID5580,,,
ExMr_nr_mas_01_1,A6,eUsU_MrT7_151wor,E11,14459,2527984,218,Y,PA14_29220,GID1174,131,1308,PA2700,,putative porin,PA14_29220(131/1308),GID1174,PA2700,,
ExMr_nr_mas_01_1,A7,eUsU_MrT7_151wor,F9,14469,2823219,127,Y,PA14_32470,GID5296,6,273,PA2487,,hypothetical protein,PA14_32470(6/273),GID5296,PA2487,,
ExMr_nr_mas_01_1,A8,eUsU_MrT7_152wor,E5,14549,3935677,799,Y,PA14_44230,GID5734,9,189,,,hypothetical protein,PA14_44230(9/189),GID5734,,,
ExMr_nr_mas_01_1,A9,eUsU_MrT7_152wor,F10,14566,1715971,222,Y,PA14_19910,GID2142,215,1002,PA3416,,"putative pyruvate dehydrogenase E1 component, beta subunit",PA14_19910(215/1002),GID2142,PA3416,"Unknown source. This mutant was picked from well eUsU_MrT7_152:F10, but resequencing of the transposon junction of a purified colony showed that it was identical to mutant 14532.",
ExMr_nr_mas_01_1,A10,eUsU_MrT7_153wor,E12,14652,2535816,583,Y,PA14_29320,GID1528,12,1206,PA2691,,conserved hypothetical protein,"PA14_29320(12/1206), PA14_29310*(1378/1518)","GID1528, GID6135",PA2691,,
