"Locus Tag","Gene Name","Product Description","GO Term"
"PA14_01470","PA14_01470","transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_01470","PA14_01470","transcriptional regulator","regulation of DNA-templated transcription"
"PA14_01470","PA14_01470","transcriptional regulator","DNA-binding transcription factor activity"
"PA14_01730","PA14_01730","hypothetical protein","polyphosphate kinase activity"
"PA14_01730","PA14_01730","hypothetical protein","phosphorus metabolic process"
"PA14_01870","PA14_01870","TonB-dependent receptor","siderophore transmembrane transporter activity"
"PA14_01870","PA14_01870","TonB-dependent receptor","siderophore transport"
"PA14_01870","PA14_01870","TonB-dependent receptor","outer membrane"
"PA14_01870","PA14_01870","TonB-dependent receptor","siderophore-iron transmembrane transporter activity"
"PA14_01870","PA14_01870","TonB-dependent receptor","signaling receptor activity"
"PA14_01870","PA14_01870","TonB-dependent receptor","cell outer membrane"
"PA14_02250","cheA","two-component sensor","signal transduction"
"PA14_02250","cheA","two-component sensor","cytoplasm"
"PA14_02250","cheA","two-component sensor","phosphorelay sensor kinase activity"
"PA14_02250","cheA","two-component sensor","phosphorelay signal transduction system"
"PA14_02250","cheA","two-component sensor","transferase activity, transferring phosphorus-containing groups"
"PA14_02250","cheA","two-component sensor","chemotaxis"
"PA14_02250","cheA","two-component sensor","phosphorylation"
"PA14_02250","cheA","two-component sensor","protein histidine kinase activity"
"PA14_02380","PA14_02380","acid phosphatase","acid phosphatase activity"
"PA14_02380","PA14_02380","acid phosphatase","outer membrane-bounded periplasmic space"
"PA14_02830","pcaB","3-carboxy-cis,cis-muconate cycloisomerase","catalytic activity"
"PA14_02830","pcaB","3-carboxy-cis,cis-muconate cycloisomerase","3,4-dihydroxybenzoate catabolic process"
"PA14_03800","oprE","anaerobically-induced outer membrane porin OprE precursor","membrane"
"PA14_04150","PA14_04150","hypothetical protein","catalytic activity"
"PA14_05150","proC","pyrroline-5-carboxylate reductase","proline biosynthetic process"
"PA14_05150","proC","pyrroline-5-carboxylate reductase","pyrroline-5-carboxylate reductase activity"
"PA14_05200","PA14_05200","cation efflux system protein","membrane"
"PA14_05200","PA14_05200","cation efflux system protein","transmembrane transport"
"PA14_05200","PA14_05200","cation efflux system protein","monoatomic cation transmembrane transporter activity"
"PA14_05200","PA14_05200","cation efflux system protein","monoatomic cation transport"
"PA14_05200","PA14_05200","cation efflux system protein","cation transmembrane transporter activity"
"PA14_05200","PA14_05200","cation efflux system protein","cation transport"
"PA14_05850","PA14_05850","LysR family transcriptional regulator","regulation of transcription, DNA-templated"
"PA14_05850","PA14_05850","LysR family transcriptional regulator","regulation of DNA-templated transcription"
"PA14_05850","PA14_05850","LysR family transcriptional regulator","DNA-binding transcription factor activity"
"PA14_06510","bioF","8-amino-7-oxononanoate synthase","8-amino-7-oxononanoate synthase activity"
"PA14_06510","bioF","8-amino-7-oxononanoate synthase","pyridoxal phosphate binding"
"PA14_06510","bioF","8-amino-7-oxononanoate synthase","biotin biosynthetic process"
"PA14_06510","bioF","8-amino-7-oxononanoate synthase","biosynthetic process"
"PA14_07010","PA14_07010","hypothetical protein","membrane"
"PA14_07170","epd","D-erythrose 4-phosphate dehydrogenase","cytoplasm"
"PA14_07170","epd","D-erythrose 4-phosphate dehydrogenase","NAD binding"
