LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Gene Name,Product Description,Accession,GO Term,Namespace
PALES_00031,gyrB,always essential,4,4,4,DNA gyrase subunit B,gyrB,DNA gyrase subunit B,GO:0003677,DNA binding,molecular_function
PALES_00031,gyrB,always essential,4,4,4,DNA gyrase subunit B,gyrB,DNA gyrase subunit B,GO:0003918,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",molecular_function
PALES_00031,gyrB,always essential,4,4,4,DNA gyrase subunit B,gyrB,DNA gyrase subunit B,GO:0005524,ATP binding,molecular_function
PALES_00031,gyrB,always essential,4,4,4,DNA gyrase subunit B,gyrB,DNA gyrase subunit B,GO:0006265,DNA topological change,biological_process
PALES_00031,gyrB,always essential,4,4,4,DNA gyrase subunit B,gyrB,DNA gyrase subunit B,GO:0005694,chromosome,cellular_component
PALES_00081,glyQ,always essential,4,4,4,glycyl-tRNA synthetase subunit alpha,glyQ,glycyl-tRNA synthetase subunit alpha,GO:0000166,nucleotide binding,molecular_function
PALES_00081,glyQ,always essential,4,4,4,glycyl-tRNA synthetase subunit alpha,glyQ,glycyl-tRNA synthetase subunit alpha,GO:0004820,glycine-tRNA ligase activity,molecular_function
PALES_00081,glyQ,always essential,4,4,4,glycyl-tRNA synthetase subunit alpha,glyQ,glycyl-tRNA synthetase subunit alpha,GO:0005524,ATP binding,molecular_function
PALES_00081,glyQ,always essential,4,4,4,glycyl-tRNA synthetase subunit alpha,glyQ,glycyl-tRNA synthetase subunit alpha,GO:0005737,cytoplasm,cellular_component
PALES_00081,glyQ,always essential,4,4,4,glycyl-tRNA synthetase subunit alpha,glyQ,glycyl-tRNA synthetase subunit alpha,GO:0006426,glycyl-tRNA aminoacylation,biological_process
PALES_00201,PALES_00201,always essential,4,4,4,putative Rossmann fold nucleotide-binding protein,PALES_00201,putative Rossmann fold nucleotide-binding protein,GO:0009294,DNA mediated transformation,biological_process
PALES_00231,hemF,always essential,4,4,4,coproporphyrinogen III oxidase,hemF,coproporphyrinogen III oxidase,GO:0006779,porphyrin-containing compound biosynthetic process,biological_process
PALES_00231,hemF,always essential,4,4,4,coproporphyrinogen III oxidase,hemF,coproporphyrinogen III oxidase,GO:0055114,oxidation-reduction process,biological_process
PALES_00231,hemF,always essential,4,4,4,coproporphyrinogen III oxidase,hemF,coproporphyrinogen III oxidase,GO:0004109,coproporphyrinogen oxidase activity,molecular_function
PALES_00741,PALES_00741,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_00741,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_00741,PALES_00741,always essential,4,4,4,putative ATP-binding component of ABC transporter,PALES_00741,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_01261,PALES_01261,always essential,4,4,4,putative transcriptional regulator,PALES_01261,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_01981,tonB2,always essential,4,4,4,putative TonB protein,tonB2,putative TonB protein,GO:0015343,siderophore transmembrane transporter activity,molecular_function
PALES_01981,tonB2,always essential,4,4,4,putative TonB protein,tonB2,putative TonB protein,GO:0015891,siderophore transport,biological_process
PALES_01981,tonB2,always essential,4,4,4,putative TonB protein,tonB2,putative TonB protein,GO:0030288,outer membrane-bounded periplasmic space,cellular_component
PALES_01981,tonB2,always essential,4,4,4,putative TonB protein,tonB2,putative TonB protein,GO:0031992,energy transducer activity,molecular_function
PALES_01981,tonB2,always essential,4,4,4,putative TonB protein,tonB2,putative TonB protein,GO:0055085,transmembrane transport,biological_process
PALES_02081,PALES_02081,always essential,4,4,4,phosphoribosyl-dephospho-CoA transferase,PALES_02081,phosphoribosyl-dephospho-CoA transferase,GO:0016779,nucleotidyltransferase activity,molecular_function
PALES_02251,pcaF,always essential,4,4,4,beta-ketoadipyl CoA thiolase,pcaF,beta-ketoadipyl CoA thiolase,GO:0003824,catalytic activity,molecular_function
PALES_02251,pcaF,always essential,4,4,4,beta-ketoadipyl CoA thiolase,pcaF,beta-ketoadipyl CoA thiolase,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",molecular_function
PALES_02251,pcaF,always essential,4,4,4,beta-ketoadipyl CoA thiolase,pcaF,beta-ketoadipyl CoA thiolase,GO:0019619,"3,4-dihydroxybenzoate catabolic process",biological_process
PALES_02331,PALES_02331,always essential,4,4,4,putative transcriptional regulator,PALES_02331,putative transcriptional regulator,GO:0003677,DNA binding,molecular_function
PALES_02331,PALES_02331,always essential,4,4,4,putative transcriptional regulator,PALES_02331,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_02741,PALES_02741,always essential,4,4,4,hypothetical protein,PALES_02741,hypothetical protein,GO:0016021,integral component of membrane,cellular_component
PALES_02751,PALES_02751,always essential,4,4,4,putative transcriptional regulator,PALES_02751,putative transcriptional regulator,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_02751,PALES_02751,always essential,4,4,4,putative transcriptional regulator,PALES_02751,putative transcriptional regulator,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_03271,rpiA,always essential,4,4,4,ribose-5-phosphate isomerase A,rpiA,ribose-5-phosphate isomerase A,GO:0004751,ribose-5-phosphate isomerase activity,molecular_function
PALES_03271,rpiA,always essential,4,4,4,ribose-5-phosphate isomerase A,rpiA,ribose-5-phosphate isomerase A,GO:0009052,"pentose-phosphate shunt, non-oxidative branch",biological_process
PALES_03391,thyA,always essential,4,4,4,thymidylate synthase,thyA,thymidylate synthase,GO:0004799,thymidylate synthase activity,molecular_function
PALES_03391,thyA,always essential,4,4,4,thymidylate synthase,thyA,thymidylate synthase,GO:0006231,dTMP biosynthetic process,biological_process
PALES_03601,coaD,always essential,4,4,4,phosphopantetheine adenylyltransferase,coaD,phosphopantetheine adenylyltransferase,GO:0004595,pantetheine-phosphate adenylyltransferase activity,molecular_function
PALES_03601,coaD,always essential,4,4,4,phosphopantetheine adenylyltransferase,coaD,phosphopantetheine adenylyltransferase,GO:0015937,coenzyme A biosynthetic process,biological_process
PALES_03601,coaD,always essential,4,4,4,phosphopantetheine adenylyltransferase,coaD,phosphopantetheine adenylyltransferase,GO:0003824,catalytic activity,molecular_function
PALES_03601,coaD,always essential,4,4,4,phosphopantetheine adenylyltransferase,coaD,phosphopantetheine adenylyltransferase,GO:0009058,biosynthetic process,biological_process
PALES_03601,coaD,always essential,4,4,4,phosphopantetheine adenylyltransferase,coaD,phosphopantetheine adenylyltransferase,GO:0008771,[citrate (pro-3S)-lyase] ligase activity,molecular_function
PALES_03701,ftsY,always essential,4,4,4,signal recognition particle receptor FtsY,ftsY,signal recognition particle receptor FtsY,GO:0005525,GTP binding,molecular_function
PALES_03701,ftsY,always essential,4,4,4,signal recognition particle receptor FtsY,ftsY,signal recognition particle receptor FtsY,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,biological_process
PALES_04021,yqgF,always essential,4,4,4,Holliday junction resolvase-like protein,yqgF,Holliday junction resolvase-like protein,GO:0006364,rRNA processing,biological_process
PALES_04021,yqgF,always essential,4,4,4,Holliday junction resolvase-like protein,yqgF,Holliday junction resolvase-like protein,GO:0006139,nucleobase-containing compound metabolic process,biological_process
PALES_04151,chpE,always essential,4,4,4,putative chemotaxis protein,chpE,putative chemotaxis protein,GO:0006865,amino acid transport,biological_process
PALES_04151,chpE,always essential,4,4,4,putative chemotaxis protein,chpE,putative chemotaxis protein,GO:0016020,membrane,cellular_component
PALES_04181,bioA,always essential,4,4,4,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,GO:0004015,adenosylmethionine-8-amino-7-oxononanoate transaminase activity,molecular_function
PALES_04181,bioA,always essential,4,4,4,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,GO:0009102,biotin biosynthetic process,biological_process
PALES_04181,bioA,always essential,4,4,4,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,GO:0008483,transaminase activity,molecular_function
PALES_04181,bioA,always essential,4,4,4,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,GO:0030170,pyridoxal phosphate binding,molecular_function
PALES_04181,bioA,always essential,4,4,4,adenosylmethionine--8-amino-7-oxononanoate transaminase,bioA,adenosylmethionine--8-amino-7-oxononanoate transaminase,GO:0003824,catalytic activity,molecular_function
PALES_04231,mexA,always essential,4,4,4,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,GO:0016020,membrane,cellular_component
PALES_04231,mexA,always essential,4,4,4,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,GO:0022857,transmembrane transporter activity,molecular_function
PALES_04231,mexA,always essential,4,4,4,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,GO:0055085,transmembrane transport,biological_process
PALES_04231,mexA,always essential,4,4,4,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,GO:0042910,xenobiotic transmembrane transporter activity,molecular_function
PALES_04231,mexA,always essential,4,4,4,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,mexA,Resistance-Nodulation-Cell Division (RND) multidrug efflux membrane fusion protein MexA precursor,GO:0046677,response to antibiotic,biological_process
PALES_04251,oprM,always essential,4,4,4,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,GO:0016020,membrane,cellular_component
PALES_04251,oprM,always essential,4,4,4,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,GO:0022857,transmembrane transporter activity,molecular_function
PALES_04251,oprM,always essential,4,4,4,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,GO:0055085,transmembrane transport,biological_process
PALES_04251,oprM,always essential,4,4,4,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,GO:0015562,efflux transmembrane transporter activity,molecular_function
PALES_04251,oprM,always essential,4,4,4,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,oprM,Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor,GO:0042910,xenobiotic transmembrane transporter activity,molecular_function
PALES_04801,PALES_04801,always essential,4,4,4,putative ACT domain protein,PALES_04801,putative ACT domain protein,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_04991,PALES_04991,always essential,4,4,4,putative biotin synthesis protein BioC,PALES_04991,putative biotin synthesis protein BioC,GO:0008168,methyltransferase activity,molecular_function
PALES_04991,PALES_04991,always essential,4,4,4,putative biotin synthesis protein BioC,PALES_04991,putative biotin synthesis protein BioC,GO:0009102,biotin biosynthetic process,biological_process
PALES_04991,PALES_04991,always essential,4,4,4,putative biotin synthesis protein BioC,PALES_04991,putative biotin synthesis protein BioC,GO:0010340,carboxyl-O-methyltransferase activity,molecular_function
PALES_05141,nirC,always essential,4,4,4,putative c-type cytochrome precursor,nirC,putative c-type cytochrome precursor,GO:0009055,electron transfer activity,molecular_function
PALES_05141,nirC,always essential,4,4,4,putative c-type cytochrome precursor,nirC,putative c-type cytochrome precursor,GO:0020037,heme binding,molecular_function
PALES_05441,metK,always essential,4,4,4,S-adenosylmethionine synthetase,metK,S-adenosylmethionine synthetase,GO:0004478,methionine adenosyltransferase activity,molecular_function
PALES_05441,metK,always essential,4,4,4,S-adenosylmethionine synthetase,metK,S-adenosylmethionine synthetase,GO:0005524,ATP binding,molecular_function
PALES_05441,metK,always essential,4,4,4,S-adenosylmethionine synthetase,metK,S-adenosylmethionine synthetase,GO:0006556,S-adenosylmethionine biosynthetic process,biological_process
PALES_05461,tktA,always essential,4,4,4,transketolase,tktA,transketolase,GO:0003824,catalytic activity,molecular_function
PALES_05461,tktA,always essential,4,4,4,transketolase,tktA,transketolase,GO:0004802,transketolase activity,molecular_function
PALES_05731,rpoD,always essential,4,4,4,RNA polymerase sigma factor RpoD,rpoD,RNA polymerase sigma factor RpoD,GO:0003700,DNA-binding transcription factor activity,molecular_function
PALES_05731,rpoD,always essential,4,4,4,RNA polymerase sigma factor RpoD,rpoD,RNA polymerase sigma factor RpoD,GO:0006352,"DNA-templated transcription, initiation",biological_process
PALES_05731,rpoD,always essential,4,4,4,RNA polymerase sigma factor RpoD,rpoD,RNA polymerase sigma factor RpoD,GO:0006355,"regulation of transcription, DNA-templated",biological_process
PALES_05731,rpoD,always essential,4,4,4,RNA polymerase sigma factor RpoD,rpoD,RNA polymerase sigma factor RpoD,GO:0003677,DNA binding,molecular_function
PALES_05731,rpoD,always essential,4,4,4,RNA polymerase sigma factor RpoD,rpoD,RNA polymerase sigma factor RpoD,GO:0016987,sigma factor activity,molecular_function
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0003677,DNA binding,molecular_function
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0003896,DNA primase activity,molecular_function
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0006260,DNA replication,biological_process
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0008270,zinc ion binding,molecular_function
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0006269,"DNA replication, synthesis of RNA primer",biological_process
PALES_05741,dnaG,always essential,4,4,4,DNA primase,dnaG,DNA primase,GO:0016779,nucleotidyltransferase activity,molecular_function
PALES_05771,gcp,always essential,4,4,4,O-sialoglycoprotein endopeptidase,gcp,O-sialoglycoprotein endopeptidase,GO:0002949,tRNA threonylcarbamoyladenosine modification,biological_process
PALES_05771,gcp,always essential,4,4,4,O-sialoglycoprotein endopeptidase,gcp,O-sialoglycoprotein endopeptidase,GO:0004222,metalloendopeptidase activity,molecular_function
PALES_05791,folB,always essential,4,4,4,dihydroneopterin aldolase,folB,dihydroneopterin aldolase,GO:0004150,dihydroneopterin aldolase activity,molecular_function
