"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"pag00860","pag00860","Porphyrin metabolism - Pseudomonas aeruginosa LESB58","4/44","52/2004",0.0254384852266441,0.687631419780811,0.687631419780811,"PLES_21551/PLES_21191/PLES_34001/PLES_38601",4
"pag00130","pag00130","Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa LESB58","2/44","18/2004",0.0577066023393617,0.687631419780811,0.687631419780811,"PLES_40851/PLES_06961",2
"pag00270","pag00270","Cysteine and methionine metabolism - Pseudomonas aeruginosa LESB58","3/44","43/2004",0.0662538972759194,0.687631419780811,0.687631419780811,"PLES_18991/PLES_39821/PLES_33961",3
"pag02025","pag02025","Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa LESB58","5/44","115/2004",0.103899253290714,0.687631419780811,0.687631419780811,"PLES_39821/PLES_39841/PLES_30641/PLES_12771/PLES_12811",5
"pag00061","pag00061","Fatty acid biosynthesis - Pseudomonas aeruginosa LESB58","2/44","26/2004",0.109874780357892,0.687631419780811,0.687631419780811,"PLES_20951/PLES_35211",2
"pag01240","pag01240","Biosynthesis of cofactors - Pseudomonas aeruginosa LESB58","6/44","183/2004",0.208073966550973,0.687631419780811,0.687631419780811,"PLES_40851/PLES_21551/PLES_21191/PLES_34001/PLES_38601/PLES_35211",6
"pag00643","pag00643","Styrene degradation - Pseudomonas aeruginosa LESB58","1/44","11/2004",0.217159344969977,0.687631419780811,0.687631419780811,"PLES_47201",1
"pag00730","pag00730","Thiamine metabolism - Pseudomonas aeruginosa LESB58","1/44","13/2004",0.25135223820494,0.687631419780811,0.687631419780811,"PLES_53381",1
"pag00330","pag00330","Arginine and proline metabolism - Pseudomonas aeruginosa LESB58","2/44","44/2004",0.251358825114001,0.687631419780811,0.687631419780811,"PLES_47201/PLES_44181",2
"pag00561","pag00561","Glycerolipid metabolism - Pseudomonas aeruginosa LESB58","1/44","14/2004",0.267896940123063,0.687631419780811,0.687631419780811,"PLES_51981",1
"pag00500","pag00500","Starch and sucrose metabolism - Pseudomonas aeruginosa LESB58","1/44","16/2004",0.299921397196539,0.687631419780811,0.687631419780811,"PLES_31661",1
"pag00627","pag00627","Aminobenzoate degradation - Pseudomonas aeruginosa LESB58","1/44","16/2004",0.299921397196539,0.687631419780811,0.687631419780811,"PLES_47201",1
"pag01212","pag01212","Fatty acid metabolism - Pseudomonas aeruginosa LESB58","2/44","51/2004",0.309125958687218,0.687631419780811,0.687631419780811,"PLES_20951/PLES_35211",2
"pag00670","pag00670","One carbon pool by folate - Pseudomonas aeruginosa LESB58","1/44","17/2004",0.315416094642893,0.687631419780811,0.687631419780811,"PLES_28521",1
"pag03018","pag03018","RNA degradation - Pseudomonas aeruginosa LESB58","1/44","18/2004",0.330575476543101,0.687631419780811,0.687631419780811,"PLES_56331",1
