ID,Strain Name,Sanger Exact,Location,Locus Tag,Gene Abbrev.,Putative ORF Function
1,PW1001,+,phoAwp07q1B10,PA0003,recF,RecF protein
2,PW1002,+,phoAwp07q4H06,PA0003,recF,RecF protein
3,PW3706,+,phoAwp07q2E09,PA0003,recF,RecF protein
4,PW1003,,lacZwp05q2E05,PA0005,lptA,"lysophosphatidic acid acyltransferase, LptA"
5,PW1004,+,phoAwp09q4A09,PA0005,lptA,"lysophosphatidic acid acyltransferase, LptA"
6,PW1005,+,lacZwp09q4B04,PA0007,,hypothetical protein
7,PW1006,+,phoAbp03q2H02,PA0007,,hypothetical protein
8,PW1007,+,phoAwp08q1D11,PA0010,tag,DNA-3-methyladenine glycosidase I
9,PW1008,+,phoAwp09q3D11,PA0010,tag,DNA-3-methyladenine glycosidase I
10,PW1009,+,lacZwp09q2B06,PA0011,,probable 2-OH-lauroyltransferase
11,PW1011,+,phoAwp10q2B06,PA0012,,hypothetical protein
12,PW1010,+,lacZwp01q3D10,PA0012,,hypothetical protein
13,PW1015,+,lacZwp07q2E02,PA0015,,hypothetical protein
14,PW1014,+,lacZbp02q2D04,PA0015,,hypothetical protein
15,PW1016,+,lacZwp04q4F12,PA0016,trkA,potassium uptake protein TrkA
16,PW10425,,phoAwp08q3E01,PA0016,trkA,potassium uptake protein TrkA
17,PW1018,+,phoAwp10q3C01,PA0017,,conserved hypothetical protein
18,PW1017,+,phoAwp06q3G06,PA0017,,conserved hypothetical protein
19,PW1019,+,lacZwp08q4G12,PA0020,,hypothetical protein
20,PW1020,+,phoAbp02q2G11,PA0020,,hypothetical protein
21,PW1021,+,lacZwp02q4C04,PA0021,,conserved hypothetical protein
22,PW1022,+,phoAwp04q4B06,PA0021,,conserved hypothetical protein
23,PW1700,+,phoAwp05q1B01,PA0023,qor,quinone oxidoreductase
24,PW3689,+,phoAwp06q4F06,PA0023,qor,quinone oxidoreductase
25,PW1023,+,lacZbp01q4F09,PA0023,qor,quinone oxidoreductase
26,PW1024,+,lacZwp01q1A12,PA0023,qor,quinone oxidoreductase
27,PW1026,+,phoAbp01q3G09,PA0026,plcB,"phospholipase C,  PlcB"
28,PW1025,+,phoAbp01q2C09,PA0026,plcB,"phospholipase C,  PlcB"
29,PW1028,+,phoAbp03q2G09,PA0027,,hypothetical protein
30,PW1027,+,phoAbp01q1F09,PA0027,,hypothetical protein
31,PW1029,+,lacZwp05q1H06,PA0028,,hypothetical protein
32,PW1030,+,phoAwp07q3C10,PA0028,,hypothetical protein
33,PW1032,,phoAwp04q4H01,PA0029,,probable sulfate transporter
34,PW1031,+,phoAwp04q4B04,PA0029,,probable sulfate transporter
35,PW1034,+,phoAwp07q3E06,PA0030,,hypothetical protein
36,PW1033,+,phoAwp02q3G06,PA0030,,hypothetical protein
37,PW1035,+,lacZwp05q4G03,PA0031,betC,choline sulfatase
38,PW1036,+,phoAwp04q2C12,PA0031,betC,choline sulfatase
39,PW1037,+,lacZwp09q4C11,PA0032,,probable transcriptional regulator
40,PW1436,,phoAwp02q1E12,PA0032,,probable transcriptional regulator
41,PW1038,+,phoAwp02q1D12,PA0032,,probable transcriptional regulator
42,PW1039,+,lacZwp06q3B06,PA0033,,hypothetical protein
43,PW1040,+,lacZwp05q4G10,PA0034,,probable two-component response regulator
44,PW1041,+,phoAwp03q3H01,PA0034,,probable two-component response regulator
45,PW1043,,phoAbp02q1E06,PA0035,trpA,tryptophan synthase alpha chain
46,PW5433,+,phoAbp02q1G07,PA0035,trpA,tryptophan synthase alpha chain
47,PW1042,+,phoAbp01q3E12,PA0035,trpA,tryptophan synthase alpha chain
48,PW1046,+,phoAbp03q1G12,PA0036,trpB,tryptophan synthase beta chain
49,PW1045,+,phoAbp01q2G02,PA0036,trpB,tryptophan synthase beta chain
50,PW1044,+,lacZwp03q2F03,PA0036,trpB,tryptophan synthase beta chain
51,PW1048,+,phoAwp09q1G11,PA0037,trpI,transcriptional regulator TrpI
52,PW1047,+,lacZbp01q2C12,PA0037,trpI,transcriptional regulator TrpI
53,PW1049,+,phoAwp01q4C09,PA0038,,hypothetical protein
54,PW1050,+,phoAwp02q1E04,PA0038,,hypothetical protein
55,PW1052,+,phoAwp05q4F05,PA0040,,conserved hypothetical protein
56,PW1051,+,phoAwp04q3G12,PA0040,,conserved hypothetical protein
57,PW2063,+,lacZwp01q3D12,PA0041,,probable hemagglutinin
58,PW2691,+,lacZwp01q4E07,PA0041,,probable hemagglutinin
59,PW6283,+,lacZwp01q3G03,PA0041,,probable hemagglutinin
60,PW1053,+,phoAbp02q2D11,PA0041,,probable hemagglutinin
61,PW9750,+,phoAwp08q1G02,PA0041,,probable hemagglutinin
62,PW1054,+,phoAbp02q2G10,PA0041,,probable hemagglutinin
63,PW1056,+,lacZwp03q3G02,PA0043,,hypothetical protein
64,PW1057,+,phoAbp01q3A11,PA0043,,hypothetical protein
65,PW8072,,phoAwp09q4C03,PA0043,,hypothetical protein
66,PW1055,+,lacZwp03q1F08,PA0043,,hypothetical protein
67,PW1058,+,Supplemental_Plate2F08,PA0043,,hypothetical protein
68,PW1059,+,lacZwp03q3C09,PA0044,exoT,exoenzyme T
69,PW1060,+,Supplemental_Plate4C09,PA0044,exoT,exoenzyme T
70,PW1062,+,phoAwp02q2C03,PA0045,,hypothetical protein
71,PW1061,+,lacZwp02q1G10,PA0045,,hypothetical protein
72,PW1064,+,phoAwp05q3A11,PA0046,,hypothetical protein
73,PW1063,,lacZwp08q2G02,PA0046,,hypothetical protein
74,PW1065,+,phoAbp02q2D04,PA0047,,hypothetical protein
75,PW1066,+,phoAwp03q2A12,PA0047,,hypothetical protein
76,PW1068,+,phoAwp09q2F05,PA0048,,probable transcriptional regulator
77,PW1067,+,lacZwp07q2A04,PA0048,,probable transcriptional regulator
78,PW8444,+,phoAbp01q1H11,PA0049,,hypothetical protein
79,PW1070,+,phoAbp01q3F10,PA0049,,hypothetical protein
80,PW7245,+,phoAbp02q2B08,PA0049,,hypothetical protein
81,PW1069,+,phoAbp01q3E09,PA0049,,hypothetical protein
82,PW1072,+,phoAwp09q2F11,PA0051,phzH,potential phenazine-modifying enzyme
83,PW1071,+,phoAwp03q1C02,PA0051,phzH,potential phenazine-modifying enzyme
84,PW3575,+,phoAwp07q2G09,PA0051,phzH,potential phenazine-modifying enzyme
85,PW3567,+,phoAwp02q4C04,PA0051,phzH,potential phenazine-modifying enzyme
86,PW1075,+,phoAwp02q2A03,PA0053,,hypothetical protein
87,PW3364,+,phoAwp02q2D01,PA0053,,hypothetical protein
88,PW1073,+,lacZwp04q2H01,PA0053,,hypothetical protein
89,PW1074,+,phoAwp01q2H09,PA0053,,hypothetical protein
90,PW1077,+,phoAwp05q4A09,PA0054,,conserved hypothetical protein
91,PW1076,+,phoAwp01q2D11,PA0054,,conserved hypothetical protein
92,PW1078,+,lacZbp01q3C05,PA0055,,hypothetical protein
93,PW1079,+,lacZbp02q1H07,PA0055,,hypothetical protein
94,PW1080,+,lacZwp06q3C01,PA0056,,probable transcriptional regulator
95,PW1081,+,lacZwp09q2A01,PA0056,,probable transcriptional regulator
96,PW1083,+,phoAwp09q3C09,PA0057,,hypothetical protein
97,PW1082,+,phoAbp02q2D07,PA0057,,hypothetical protein
98,PW1084,+,phoAwp02q1A12,PA0058,,hypothetical protein
99,PW1086,+,phoAwp06q3C10,PA0059,osmC,osmotically inducible protein OsmC
100,PW1085,+,lacZbp02q4F06,PA0059,osmC,osmotically inducible protein OsmC
101,PW1087,+,lacZwp04q3D08,PA0060,,conserved hypothetical protein
102,PW1089,+,phoAbp03q2F07,PA0061,,hypothetical protein
103,PW1088,+,phoAbp02q3B12,PA0061,,hypothetical protein
104,PW1091,+,phoAwp04q2E06,PA0062,,hypothetical protein
105,PW1090,+,phoAwp02q3D03,PA0062,,hypothetical protein
106,PW1092,+,lacZwp07q2C09,PA0063,,hypothetical protein
107,PW1093,+,phoAbp01q4G11,PA0063,,hypothetical protein
108,PW1094,+,lacZwp09q3E09,PA0064,,hypothetical protein
109,PW1095,+,phoAwp09q2G05,PA0064,,hypothetical protein
110,PW1096,+,lacZwp06q1G07,PA0065,,hypothetical protein
111,PW1097,+,phoAwp02q3C05,PA0065,,hypothetical protein
112,PW1098,+,lacZwp03q3A11,PA0066,,conserved hypothetical protein
113,PW1100,+,Supplemental_Plate4A11,PA0066,,conserved hypothetical protein
114,PW1099,+,phoAwp03q2D08,PA0066,,conserved hypothetical protein
115,PW1102,+,lacZbp03q3D02,PA0067,prlC,oligopeptidase A
116,PW1101,+,lacZbp02q3G02,PA0067,prlC,oligopeptidase A
117,PW1103,+,phoAwp05q4F11,PA0068,,hypothetical protein
118,PW1104,+,phoAwp06q1G01,PA0068,,hypothetical protein
119,PW1105,+,lacZwp04q2E10,PA0069,,conserved hypothetical protein
120,PW1106,+,phoAwp03q3D01,PA0069,,conserved hypothetical protein
121,PW1108,+,phoAbp02q4C07,PA0070,,hypothetical protein
122,PW1107,+,lacZwp02q3F05,PA0070,,hypothetical protein
123,PW1110,+,phoAbp02q2E07,PA0071,,hypothetical protein
124,PW1109,+,phoAbp02q2A10,PA0071,,hypothetical protein
125,PW5804,+,phoAbp01q3B02,PA0071,,hypothetical protein
126,PW1112,+,phoAwp10q1B03,PA0072,,hypothetical protein
127,PW1113,+,lacZwp03q4E01,PA0073,,probable ATP-binding component of ABC transporter
128,PW1114,+,phoAwp03q3C04,PA0073,,probable ATP-binding component of ABC transporter
129,PW1116,+,phoAbp02q3G08,PA0074,ppkA,serine/threonine protein kinase PpkA
130,PW1115,+,phoAbp01q3F11,PA0074,ppkA,serine/threonine protein kinase PpkA
131,PW1118,+,phoAwp09q4E02,PA0075,pppA,PppA
132,PW1117,+,phoAwp05q3E02,PA0075,pppA,PppA
133,PW1119,+,phoAwp09q1B03,PA0076,,hypothetical protein
134,PW1120,+,phoAbp02q2E11,PA0077,icmF1,IcmF1
135,PW1121,+,phoAbp03q2B10,PA0077,icmF1,IcmF1
136,PW1122,+,phoAwp08q2E07,PA0077,icmF1,IcmF1
137,PW1124,+,phoAwp05q2G03,PA0078,,hypothetical protein
138,PW9749,+,phoAwp05q2B10,PA0078,,hypothetical protein
139,PW1123,+,lacZwp02q3B09,PA0078,,hypothetical protein
140,PW1125,+,lacZbp01q1F10,PA0079,,hypothetical protein
141,PW1126,+,phoAwp03q2D01,PA0079,,hypothetical protein
142,PW1128,+,phoAbp02q1H10,PA0080,,hypothetical protein
143,PW1127,+,lacZwp07q2E05,PA0080,,hypothetical protein
144,PW1129,+,phoAwp05q3F11,PA0081,fha1,Fha1
145,PW1130,+,phoAwp08q3E05,PA0081,fha1,Fha1
146,PW1131,+,phoAwp04q1F08,PA0082,,hypothetical protein
147,PW1132,+,phoAwp07q2D09,PA0082,,hypothetical protein
148,PW5327,,phoAwp07q2C09,PA0082,,hypothetical protein
149,PW1134,+,phoAwp06q2F06,PA0083,,conserved hypothetical protein
150,PW1133,+,lacZwp09q2E08,PA0083,,conserved hypothetical protein
151,PW1135,+,lacZbp01q1B10,PA0084,,conserved hypothetical protein
152,PW1136,+,lacZbp01q1D05,PA0084,,conserved hypothetical protein
153,PW1137,,lacZwp03q2D07,PA0085,hcp1,Hcp1
154,PW1139,+,phoAwp07q2H11,PA0085,hcp1,Hcp1
155,PW1138,+,phoAwp01q4E02,PA0085,hcp1,Hcp1
156,PW1141,+,phoAwp05q3G05,PA0086,,hypothetical protein
157,PW1144,+,phoAwp07q4B03,PA0087,,hypothetical protein
158,PW1142,+,phoAwp03q1F01,PA0087,,hypothetical protein
159,PW1143,+,phoAwp03q1F02,PA0087,,hypothetical protein
160,PW1146,+,phoAwp08q1A06,PA0088,,hypothetical protein
161,PW1145,+,lacZwp01q4E01,PA0088,,hypothetical protein
162,PW1147,+,phoAwp04q1F02,PA0089,,hypothetical protein
163,PW1148,,phoAwp08q1H05,PA0089,,hypothetical protein
164,PW4660,+,phoAwp02q4F02,PA0090,clpV1,ClpV1
165,PW1150,+,phoAwp06q2B11,PA0090,clpV1,ClpV1
166,PW1149,+,lacZbp01q2E09,PA0090,clpV1,ClpV1
167,PW1151,+,phoAwp01q2D02,PA0091,vgrG1,VgrG1
168,PW1152,+,phoAwp05q1B02,PA0091,vgrG1,VgrG1
169,PW1153,+,lacZwp06q3G11,PA0092,,hypothetical protein
170,PW6650,,lacZwp06q3C09,PA0092,,hypothetical protein
171,PW1154,+,phoAwp01q1B02,PA0093,,hypothetical protein
172,PW1155,+,phoAwp08q2B08,PA0093,,hypothetical protein
173,PW4701,+,phoAwp02q3D01,PA0093,,hypothetical protein
174,PW1157,+,phoAwp08q1A04,PA0095,,conserved hypothetical protein
175,PW1156,+,lacZbp03q2F12,PA0095,,conserved hypothetical protein
176,PW1159,+,phoAwp05q3E08,PA0096,,hypothetical protein
177,PW1158,+,phoAwp02q4B10,PA0096,,hypothetical protein
178,PW1161,+,lacZwp07q3G11,PA0097,,hypothetical protein
179,PW7941,+,phoAwp04q4C12,PA0097,,hypothetical protein
180,PW1160,+,lacZwp03q1A07,PA0097,,hypothetical protein
181,PW1162,+,Supplemental_Plate2A07,PA0097,,hypothetical protein
182,PW1163,,phoAbp01q1G03,PA0098,,hypothetical protein
183,PW1164,+,phoAwp09q1H10,PA0098,,hypothetical protein
184,PW1165,+,lacZwp05q2F02,PA0099,,hypothetical protein
185,PW1166,+,phoAwp07q4G05,PA0099,,hypothetical protein
186,PW1168,+,phoAwp10q2F05,PA0100,,hypothetical protein
187,PW1167,+,phoAwp02q4G04,PA0100,,hypothetical protein
188,PW1169,+,lacZwp03q4C11,PA0101,,hypothetical protein
189,PW1170,+,phoAwp06q4A11,PA0101,,hypothetical protein
190,PW1172,+,phoAwp03q4E10,PA0102,,probable carbonic anhydrase
191,PW1171,+,phoAwp03q2C04,PA0102,,probable carbonic anhydrase
192,PW1173,+,phoAwp03q2C05,PA0103,,probable sulfate transporter
193,PW1174,+,phoAwp10q1G02,PA0103,,probable sulfate transporter
194,PW1176,+,phoAwp07q4A05,PA0104,,hypothetical protein
195,PW1175,+,lacZwp01q4H11,PA0104,,hypothetical protein
196,PW1177,+,phoAbp01q3F12,PA0105,coxB,"cytochrome c oxidase, subunit II"
197,PW9683,+,phoAwp01q1G08,PA0105,coxB,"cytochrome c oxidase, subunit II"
198,PW1178,+,phoAbp02q4C08,PA0105,coxB,"cytochrome c oxidase, subunit II"
199,PW1180,+,phoAbp02q1E02,PA0106,coxA,"cytochrome c oxidase, subunit I"
