Gene	Essentiality	Control	Condition	Replicates	loci	description	old_loci
SAUSA300_0003	inconsistent replicates	2	1	4	NA	NA	NA
SAUSA300_0007	always non-essential	0	0	4	SAUSA300_RS00040	NAD(P)H-hydrate dehydratase	SAUSA300_0007
SAUSA300_0010	always non-essential	0	0	4	SAUSA300_RS00055	AzlC family ABC transporter permease	SAUSA300_0010
SAUSA300_0011	always non-essential	0	0	4	SAUSA300_RS00060	AzlD domain-containing protein	SAUSA300_0011
SAUSA300_0012	always non-essential	0	0	4	SAUSA300_RS00065	alpha/beta fold hydrolase family protein	SAUSA300_0012
SAUSA300_0013	always non-essential	0	0	4	SAUSA300_RS00070	YybS family protein	SAUSA300_0013
SAUSA300_0014	probably essential in control	4	1	4	NA	NA	NA
SAUSA300_0018	inconsistent replicates	3	2	4	SAUSA300_RS00095	tRNA-Glu	SAUSA300_0018
SAUSA300_0019	probably always essential	3	4	4	NA	NA	NA
SAUSA300_0020	always essential	4	4	4	SAUSA300_RS00105	response regulator transcription factor	SAUSA300_0020
SAUSA300_0021	always essential	4	4	4	NA	NA	NA
SAUSA300_0022	always non-essential	0	0	4	SAUSA300_RS00115	hypothetical protein	SAUSA300_0022
SAUSA300_0023	always non-essential	0	0	4	SAUSA300_RS00120	two-component system regulatory protein YycI	SAUSA300_0023
SAUSA300_0024	always non-essential	0	0	4	SAUSA300_RS00125	MBL fold metallo-hydrolase	SAUSA300_0024
SAUSA300_0025	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0026	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0027	always non-essential	0	0	4	SAUSA300_RS00140	DUF3578 domain-containing protein	SAUSA300_0027
SAUSA300_0028	probably always non-essential	1	1	4	SAUSA300_RS00145	IS6-like element IS257 family transposase	SAUSA300_0028
SAUSA300_0029	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0030	always non-essential	0	0	4	SAUSA300_RS00155	glycerophosphoryl diester phosphodiesterase	SAUSA300_0030
SAUSA300_0031	always non-essential	0	0	4	SAUSA300_RS00160	MaoC family dehydratase	SAUSA300_0031
SAUSA300_0033	always non-essential	0	0	4	SAUSA300_RS00170	beta-lactam sensor/signal transducer MecR1	SAUSA300_0033
SAUSA300_0034	always non-essential	0	0	4	SAUSA300_RS00180	IS1182 family transposase	SAUSA300_0034
SAUSA300_0035	always non-essential	0	0	4	SAUSA300_RS00175	DUF3387 domain-containing protein	SAUSA300_0035
SAUSA300_0036	always non-essential	0	0	4	SAUSA300_RS00185	DUF1643 domain-containing protein	SAUSA300_0036
SAUSA300_0039	always non-essential	0	0	4	SAUSA300_RS00210	DUF927 domain-containing protein	SAUSA300_0039
SAUSA300_0040	always non-essential	0	0	4	SAUSA300_RS00215	hypothetical protein	SAUSA300_0040
SAUSA300_0041	always non-essential	0	0	4	SAUSA300_RS00220	hypothetical protein	SAUSA300_0041
SAUSA300_0042	always non-essential	0	0	4	SAUSA300_RS00225	putative DNA binding domain-containing protein	SAUSA300_0042
SAUSA300_0043	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0044	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0045	always non-essential	0	0	4	SAUSA300_RS00240	HNH endonuclease	SAUSA300_0045
SAUSA300_0046	always non-essential	0	0	4	SAUSA300_RS00245	hypothetical protein	SAUSA300_0046
SAUSA300_0047	always non-essential	0	0	4	SAUSA300_RS00250	HNH endonuclease	SAUSA300_0047
SAUSA300_0048	inconsistent replicates	2	3	4	SAUSA300_RS00255	hypothetical protein	SAUSA300_0048
SAUSA300_0049	always non-essential	0	0	4	SAUSA300_RS00260	hypothetical protein	SAUSA300_0049
SAUSA300_0050	always non-essential	0	0	4	SAUSA300_RS00265	hypothetical protein	SAUSA300_0050
SAUSA300_0051	always non-essential	0	0	4	SAUSA300_RS00270	IS3 family transposase	SAUSA300_0051
SAUSA300_0052	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0054	probably always non-essential	0	1	4	NA	NA	NA
SAUSA300_0055	always non-essential	0	0	4	SAUSA300_RS00280	zinc-dependent alcohol dehydrogenase family protein	SAUSA300_0055
SAUSA300_0056	always non-essential	0	0	4	SAUSA300_RS00290	DUF1643 domain-containing protein	SAUSA300_0056
SAUSA300_0057	always non-essential	0	0	4	SAUSA300_RS00295	DUF960 family protein	SAUSA300_0057
SAUSA300_0058	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0059	always non-essential	0	0	4	SAUSA300_RS00300	hypothetical protein	SAUSA300_0059
SAUSA300_0060	always non-essential	0	0	4	SAUSA300_RS00305	IS3 family transposase	SAUSA300_0060
SAUSA300_0063	always non-essential	0	0	4	SAUSA300_RS00320	Crp/Fnr family transcriptional regulator	SAUSA300_0063
SAUSA300_0067	always non-essential	0	0	4	SAUSA300_RS00340	universal stress protein	SAUSA300_0067
SAUSA300_0068	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0069	inconsistent replicates	2	2	4	SAUSA300_RS14985	IS6 family transposase	SAUSA300_0069
SAUSA300_0070	always non-essential	0	0	4	SAUSA300_RS00355	alpha/beta hydrolase	SAUSA300_0070
SAUSA300_0071	always non-essential	0	0	4	SAUSA300_RS00360	IS110 family transposase	SAUSA300_0071
SAUSA300_0072	always non-essential	0	0	4	SAUSA300_RS00365	class I SAM-dependent methyltransferase	SAUSA300_0072
SAUSA300_0073	always non-essential	0	0	4	SAUSA300_RS00370	ABC transporter substrate-binding protein	SAUSA300_0073
SAUSA300_0076	always non-essential	0	0	4	SAUSA300_RS00385	ATP-binding cassette domain-containing protein	SAUSA300_0076
SAUSA300_0077	always non-essential	0	0	4	SAUSA300_RS00390	ATP-binding cassette domain-containing protein	SAUSA300_0077
SAUSA300_0079	always non-essential	0	0	4	SAUSA300_RS00400	YdhK family protein	SAUSA300_0079
SAUSA300_0080	always non-essential	0	0	4	SAUSA300_RS00410	hypothetical protein	SAUSA300_0080
SAUSA300_0081	always non-essential	0	0	4	SAUSA300_RS00415	TIGR04141 family sporadically distributed protein	SAUSA300_0081
SAUSA300_0082	always non-essential	0	0	4	SAUSA300_RS00420	tRNA-dihydrouridine synthase	SAUSA300_0082
SAUSA300_0083	always non-essential	0	0	4	SAUSA300_RS00430	sulfite exporter TauE/SafE family protein	SAUSA300_0083
SAUSA300_0084	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0085	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0086	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0087	always non-essential	0	0	4	NA	NA	NA
SAUSA300_0088	always non-essential	0	0	4	SAUSA300_RS00455	universal stress protein	SAUSA300_0088
SAUSA300_0089	always non-essential	0	0	4	SAUSA300_RS00460	tRNA-dihydrouridine synthase	SAUSA300_0089
SAUSA300_0090	always non-essential	0	0	4	SAUSA300_RS00470	TfoX/Sxy family protein	SAUSA300_0090
SAUSA300_0091	always non-essential	0	0	4	SAUSA300_RS00475	MFS transporter	SAUSA300_0091
SAUSA300_0092	always non-essential	0	0	4	SAUSA300_RS00480	flavodoxin family protein	SAUSA300_0092
SAUSA300_0093	always non-essential	0	0	4	SAUSA300_RS00485	LysR family transcriptional regulator	SAUSA300_0093
SAUSA300_0094	always non-essential	0	0	4	SAUSA300_RS00490	DUF4865 family protein	SAUSA300_0094
SAUSA300_0095	always non-essential	0	0	4	SAUSA300_RS00495	LysR family transcriptional regulator	SAUSA300_0095
SAUSA300_0096	always non-essential	0	0	4	SAUSA300_RS00500	hypothetical protein	SAUSA300_0096
SAUSA300_0097	always non-essential	0	0	4	SAUSA300_RS00505	DNA2/NAM7 family helicase	SAUSA300_0097
SAUSA300_0098	always non-essential	0	0	4	SAUSA300_RS00510	hypothetical protein	SAUSA300_0098
SAUSA300_0100	always non-essential	0	0	4	SAUSA300_RS00520	tandem-type lipoprotein	SAUSA300_0100
SAUSA300_0101	always non-essential	0	0	4	SAUSA300_RS00525	tandem-type lipoprotein	SAUSA300_0101
SAUSA300_0102	always non-essential	0	0	4	SAUSA300_RS00530	tandem-type lipoprotein	SAUSA300_0102
