"Locus Tag","Gene Name","Product Description","GO Term"
"PA0032","PA0032","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA0032","PA0032","probable transcriptional regulator","DNA-binding transcription factor activity"
"PA0032","PA0032","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA0053","PA0053","hypothetical protein","kinase activity"
"PA0053","PA0053","hypothetical protein","kinase activity"
"PA0202","PA0202","probable amidase","catalytic activity"
"PA0225","erfA","ErfA","sequence-specific DNA binding"
"PA0225","erfA","ErfA","DNA binding"
"PA0280","cysA","sulfate transport protein CysA","membrane"
"PA0280","cysA","sulfate transport protein CysA","ABC-type sulfate transporter activity"
"PA0280","cysA","sulfate transport protein CysA","sulfate transport"
"PA0280","cysA","sulfate transport protein CysA","ATP binding"
"PA0280","cysA","sulfate transport protein CysA","ATP-binding cassette (ABC) transporter complex"
"PA0280","cysA","sulfate transport protein CysA","ATPase-coupled sulfate transmembrane transporter activity"
"PA0280","cysA","sulfate transport protein CysA","ATPase activity"
"PA0280","cysA","sulfate transport protein CysA","ATP hydrolysis activity"
"PA0280","cysA","sulfate transport protein CysA","transport"
"PA0296","spuI","Glutamylpolyamine synthetase","glutamine synthetase activity"
"PA0296","spuI","Glutamylpolyamine synthetase","catalytic activity"
"PA0296","spuI","Glutamylpolyamine synthetase","glutamine biosynthetic process"
"PA0296","spuI","Glutamylpolyamine synthetase","spermidine catabolic process"
"PA0296","spuI","Glutamylpolyamine synthetase","putrescine catabolic process"
"PA0296","spuI","Glutamylpolyamine synthetase","glutamate-ammonia ligase activity"
"PA0296","spuI","Glutamylpolyamine synthetase","nitrogen compound metabolic process"
"PA0487","PA0487","probable molybdenum transport regulator","molybdate ion transport"
"PA0487","PA0487","probable molybdenum transport regulator","regulation of DNA-templated transcription"
"PA0487","PA0487","probable molybdenum transport regulator","molybdenum ion binding"
"PA0487","PA0487","probable molybdenum transport regulator","regulation of transcription, DNA-templated"
"PA0487","PA0487","probable molybdenum transport regulator","DNA-binding transcription factor activity"
"PA0497","PA0497","hypothetical protein","pilus"
"PA0497","PA0497","hypothetical protein","cell adhesion"
"PA0504","bioD","dethiobiotin synthase","biotin biosynthetic process"
"PA0504","bioD","dethiobiotin synthase","magnesium ion binding"
"PA0504","bioD","dethiobiotin synthase","ATP binding"
"PA0504","bioD","dethiobiotin synthase","dethiobiotin synthase activity"
"PA0519","nirS","nitrite reductase precursor","electron transfer activity"
"PA0519","nirS","nitrite reductase precursor","nitrite reductase (NO-forming) activity"
"PA0519","nirS","nitrite reductase precursor","heme binding"
"PA0543","PA0543","hypothetical protein","extracellular region"
"PA0543","PA0543","hypothetical protein","hydrolase activity"
"PA0608","PA0608","probable phosphoglycolate phosphatase","carbohydrate metabolic process"
"PA0608","PA0608","probable phosphoglycolate phosphatase","phosphoglycolate phosphatase activity"
"PA0703","PA0703","probable major facilitator superfamily (MFS) transporter","membrane"
"PA0703","PA0703","probable major facilitator superfamily (MFS) transporter","transmembrane transporter activity"
"PA0703","PA0703","probable major facilitator superfamily (MFS) transporter","transmembrane transport"
"PA0975","PA0975","probable radical activating enzyme","iron-sulfur cluster binding"
"PA0975","PA0975","probable radical activating enzyme","catalytic activity"
"PA1026","PA1026","hypothetical protein","regulation of DNA-templated transcription elongation"
"PA1026","PA1026","hypothetical protein","regulation of DNA-templated transcription, elongation"
"PA1026","PA1026","hypothetical protein","DNA binding"
"PA1141","PA1141","probable transcriptional regulator","DNA-binding transcription factor activity"
"PA1141","PA1141","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA1141","PA1141","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA1320","cyoD","cytochrome o ubiquinol oxidase subunit IV","electron transport coupled proton transport"
"PA1320","cyoD","cytochrome o ubiquinol oxidase subunit IV","generation of precursor metabolites and energy"
"PA1320","cyoD","cytochrome o ubiquinol oxidase subunit IV","cytochrome bo3 ubiquinol oxidase activity"
"PA1320","cyoD","cytochrome o ubiquinol oxidase subunit IV","membrane"
"PA1385","PA1385","probable glycosyl transferase","glycosyltransferase activity"
"PA1385","PA1385","probable glycosyl transferase","transferase activity, transferring glycosyl groups"
"PA1484","PA1484","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA1484","PA1484","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA1484","PA1484","probable transcriptional regulator","DNA binding"
"PA1525","alkB2","alkane-1-monooxygenase 2","alkane 1-monooxygenase activity"
"PA1525","alkB2","alkane-1-monooxygenase 2","alkane catabolic process"
"PA1525","alkB2","alkane-1-monooxygenase 2","lipid metabolic process"
"PA1525","alkB2","alkane-1-monooxygenase 2","oxidoreductase activity"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","isoprenoid catabolic process"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","isovaleryl-CoA dehydrogenase activity"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","flavin adenine dinucleotide binding"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","oxidoreductase activity, acting on the CH-CH group of donors"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","isovaleryl-CoA dehydrogenase activity"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","acyl-CoA dehydrogenase activity"
"PA2015","liuA","putative isovaleryl-CoA dehydrogenase","cellular catabolic process"
"PA2032","PA2032","probable transcriptional regulator","pyridoxal phosphate binding"
"PA2032","PA2032","probable transcriptional regulator","biosynthetic process"
"PA2032","PA2032","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA2032","PA2032","probable transcriptional regulator","DNA-binding transcription factor activity"
"PA2032","PA2032","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA2179","PA2179","hypothetical protein","S-adenosylmethionine-dependent methyltransferase activity"
"PA2179","PA2179","hypothetical protein","methyltransferase activity"
"PA2187","PA2187","hypothetical protein","transmembrane transport"
"PA2558","PA2558","probable transport protein","membrane"
"PA2616","trxB1","thioredoxin reductase 1","glutamine synthetase activity"
"PA2616","trxB1","thioredoxin reductase 1","cytoplasm"
"PA2616","trxB1","thioredoxin reductase 1","thioredoxin-disulfide reductase (NADP) activity"
"PA2616","trxB1","thioredoxin reductase 1","pyrimidine nucleotide metabolic process"
"PA2616","trxB1","thioredoxin reductase 1","oxidoreductase activity"
"PA2616","trxB1","thioredoxin reductase 1","glutamate-ammonia ligase activity"
"PA2616","trxB1","thioredoxin reductase 1","nucleotide metabolic process"
"PA2616","trxB1","thioredoxin reductase 1","removal of superoxide radicals"
"PA2616","trxB1","thioredoxin reductase 1","thioredoxin-disulfide reductase activity"
"PA2621","clpS","ClpS","cellular response to antibiotic"
"PA2621","clpS","ClpS","protein catabolic process"
"PA2621","clpS","ClpS","bacterial-type flagellum-dependent swarming motility"
"PA2621","clpS","ClpS","single-species biofilm formation on inanimate substrate"
"PA2621","clpS","ClpS","proteolysis"
"PA2621","clpS","ClpS","single-species biofilm formation"
"PA2643","nuoH","NADH dehydrogenase I chain H","generation of precursor metabolites and energy"
"PA2643","nuoH","NADH dehydrogenase I chain H","membrane"
"PA2643","nuoH","NADH dehydrogenase I chain H","alcohol dehydrogenase (NAD+) activity"
"PA2643","nuoH","NADH dehydrogenase I chain H","oxidative phosphorylation"
"PA2704","PA2704","probable transcriptional regulator","regulation of transcription, DNA-templated"
"PA2704","PA2704","probable transcriptional regulator","sequence-specific DNA binding"
"PA2704","PA2704","probable transcriptional regulator","regulation of DNA-templated transcription"
"PA2704","PA2704","probable transcriptional regulator","DNA-binding transcription factor activity"
"PA2725","PA2725","probable chaperone","ATP hydrolysis activity"
"PA2725","PA2725","probable chaperone","ATPase activity"
"PA2725","PA2725","probable chaperone","ATP binding"
"PA2881","PA2881","probable two-component response regulator","phosphorelay signal transduction system"
"PA2912","PA2912","probable ATP-binding component of ABC transporter","ATPase activity"
"PA2912","PA2912","probable ATP-binding component of ABC transporter","ATP binding"
