LESB_Locus,Gene,Essentiality,Control,Condition,Replicates,LESB_Description,Product Description,Accession,GO Term,Namespace
PALES_00051,PALES_00051,conditionally essential,0,4,4,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",GO:0016791,phosphatase activity,molecular_function
PALES_00051,PALES_00051,conditionally essential,0,4,4,"D,D-heptose 1,7-bisphosphate phosphatase","D,D-heptose 1,7-bisphosphate phosphatase",GO:0005975,carbohydrate metabolic process,biological_process
PALES_00761,PALES_00761,conditionally essential,0,4,4,putative phosphoprotein phosphatase,putative phosphoprotein phosphatase,GO:0003824,catalytic activity,molecular_function
PALES_00761,PALES_00761,conditionally essential,0,4,4,putative phosphoprotein phosphatase,putative phosphoprotein phosphatase,GO:0050709,negative regulation of protein secretion,biological_process
PALES_00761,PALES_00761,conditionally essential,0,4,4,putative phosphoprotein phosphatase,putative phosphoprotein phosphatase,GO:0004722,protein serine/threonine phosphatase activity,molecular_function
PALES_01041,PALES_01041,conditionally essential,0,4,4,putative sulfate transporter,putative sulfate transporter,GO:0008272,sulfate transport,biological_process
PALES_01041,PALES_01041,conditionally essential,0,4,4,putative sulfate transporter,putative sulfate transporter,GO:0015116,sulfate transmembrane transporter activity,molecular_function
PALES_01041,PALES_01041,conditionally essential,0,4,4,putative sulfate transporter,putative sulfate transporter,GO:0016021,integral component of membrane,cellular_component
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0015185,gamma-aminobutyric acid transmembrane transporter activity,molecular_function
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0015812,gamma-aminobutyric acid transport,biological_process
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0016021,integral component of membrane,cellular_component
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0006865,amino acid transport,biological_process
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0055085,transmembrane transport,biological_process
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0016020,membrane,cellular_component
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0022857,transmembrane transporter activity,molecular_function
PALES_01301,gabP,conditionally essential,0,4,4,gamma-aminobutyrate permease,gamma-aminobutyrate permease,GO:0019483,beta-alanine biosynthetic process,biological_process
PALES_01851,PALES_01851,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0005524,ATP binding,molecular_function
PALES_01851,PALES_01851,conditionally essential,0,4,4,putative ATP-binding component of ABC transporter,putative ATP-binding component of ABC transporter,GO:0016887,ATPase activity,molecular_function
PALES_01881,PALES_01881,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0016491,oxidoreductase activity,molecular_function
PALES_01881,PALES_01881,conditionally essential,0,4,4,hypothetical protein,hypothetical protein,GO:0055114,oxidation-reduction process,biological_process
PALES_02071,mdcE,conditionally essential,0,4,4,malonate decarboxylase gamma subunit,malonate decarboxylase gamma subunit,GO:0044262,cellular carbohydrate metabolic process,biological_process
PALES_02161,PALES_02161,conditionally essential,0,4,4,putative aldehyde dehydrogenase,putative aldehyde dehydrogenase,GO:0016491,oxidoreductase activity,molecular_function
PALES_02161,PALES_02161,conditionally essential,0,4,4,putative aldehyde dehydrogenase,putative aldehyde dehydrogenase,GO:0055114,oxidation-reduction process,biological_process
PALES_02161,PALES_02161,conditionally essential,0,4,4,putative aldehyde dehydrogenase,putative aldehyde dehydrogenase,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",molecular_function
PALES_02241,PALES_02241,conditionally essential,0,4,4,"putative CoA transferase, subunit B","putative CoA transferase, subunit B",GO:0008410,CoA-transferase activity,molecular_function
PALES_02281,pcaD,conditionally essential,0,4,4,beta-ketoadipate enol-lactone hydrolase,beta-ketoadipate enol-lactone hydrolase,GO:0042952,beta-ketoadipate pathway,biological_process
PALES_02281,pcaD,conditionally essential,0,4,4,beta-ketoadipate enol-lactone hydrolase,beta-ketoadipate enol-lactone hydrolase,GO:0047570,3-oxoadipate enol-lactonase activity,molecular_function
PALES_02631,PALES_02631,conditionally essential,0,4,4,putative response regulator,putative response regulator,GO:0000160,phosphorelay signal transduction system,biological_process
PALES_02731,PALES_02731,conditionally essential,0,4,4,putative putative Zn-dependent protease with chaperone function,putative putative Zn-dependent protease with chaperone function,GO:0004222,metalloendopeptidase activity,molecular_function
PALES_02731,PALES_02731,conditionally essential,0,4,4,putative putative Zn-dependent protease with chaperone function,putative putative Zn-dependent protease with chaperone function,GO:0006508,proteolysis,biological_process
PALES_02991,spuG,conditionally essential,0,4,4,polyamine transport protein PotH,polyamine transport protein PotH,GO:0016020,membrane,cellular_component
PALES_02991,spuG,conditionally essential,0,4,4,polyamine transport protein PotH,polyamine transport protein PotH,GO:0055085,transmembrane transport,biological_process
